abs_error_mean,abs_error_median,abs_error_se,abs_error_std,algorithm,amplification_factor_median,budget,estimate_mean,estimate_se,estimate_std,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_q25,normalized_abs_error_q75,normalized_abs_error_se,normalized_abs_error_std,run_kind,success_rate,total_repetitions
0.02338674850188587,0.018537570295827643,0.002519942881595958,0.01868839658605943,BAE,1.0,256,0.36151174249060924,0.004055885287284249,0.030079250331391003,0.0,0.02848977698290142,0.01873449416660959,55,55,0.07907834441395852,0.05200085571107106,0.06491399893599363,0.051454259165707755,0.06749972739511687,0.03946136188323022,0.0251977674988915,0.08935759014513445,0.006994540926520591,0.051872903837190704,hardware_replay,0.18333333333333332,300
0.05966107766119422,0.05966107766119422,0.0,0.0,BIQAE,1.0,256,0.3006117276692187,0.0,0.0,0.0,0.05966107766119422,0.05966107766119422,1,1,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.0,0.0,hardware_replay,0.0033333333333333335,300
0.02239461001699233,0.01822172666597327,0.0009825252657963053,0.017017836800793166,CABIQAE,1.0,256,0.36516945485358226,0.0016007761440462438,0.027726256130322903,0.0,0.024290487839599518,0.020502629869364346,300,300,0.06742248507300533,0.05690862470333004,0.06216014554985303,0.050577580090347886,0.058216396426569984,0.047327658959020115,0.025572507298643757,0.08321635853370284,0.002727170220064801,0.047235973820410324,hardware_replay,1.0,300
0.02338674850188587,0.018537570295827643,0.002519942881595958,0.01868839658605943,BAE,1.0,512,0.36151174249060924,0.004055885287284249,0.030079250331391003,0.0,0.02848977698290142,0.01873449416660959,55,55,0.07907834441395852,0.05200085571107106,0.06491399893599363,0.051454259165707755,0.06749972739511687,0.03946136188323022,0.0251977674988915,0.08935759014513445,0.006994540926520591,0.051872903837190704,hardware_replay,0.18333333333333332,300
0.05966107766119422,0.05966107766119422,0.0,0.0,BIQAE,1.0,512,0.3006117276692187,0.0,0.0,0.0,0.05966107766119422,0.05966107766119422,1,1,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.0,0.0,hardware_replay,0.0033333333333333335,300
0.021839327550112763,0.01822172666597327,0.0009700636296344152,0.016801994931014853,CABIQAE,1.0,512,0.3657247373204618,0.0015610204573735771,0.027037667438254427,0.0,0.02371187273453071,0.019974912562210533,300,300,0.06581643794286418,0.055443853287486314,0.06061886222603871,0.050577580090347886,0.058216396426569984,0.047327658959020115,0.025572507298643757,0.08321635853370284,0.0026925807756840035,0.04663686706967913,hardware_replay,1.0,300
0.02338674850188587,0.018537570295827643,0.002519942881595958,0.01868839658605943,BAE,1.0,1024,0.36151174249060924,0.004055885287284249,0.030079250331391003,0.0,0.02848977698290142,0.01873449416660959,55,55,0.07907834441395852,0.05200085571107106,0.06491399893599363,0.051454259165707755,0.06749972739511687,0.03946136188323022,0.0251977674988915,0.08935759014513445,0.006994540926520591,0.051872903837190704,hardware_replay,0.18333333333333332,300
0.05966107766119422,0.05966107766119422,0.0,0.0,BIQAE,1.0,1024,0.3006117276692187,0.0,0.0,0.0,0.05966107766119422,0.05966107766119422,1,1,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.1655997254815776,0.0,0.0,hardware_replay,0.0033333333333333335,300
0.013237300415228323,0.009025396951391318,0.0008046733622843558,0.013937351469737824,CABIQAE,3.0,1024,0.356242655862021,0.0010859182023502086,0.018808654993344224,1.0,0.014859660035969127,0.011728057292305659,300,300,0.04124557784021766,0.03255326829775463,0.036742435785815555,0.025051563198376738,0.029576703000554625,0.021363393667350964,0.013580960282928541,0.04348089012945269,0.002233511245863742,0.03868554957112464,hardware_replay,1.0,300
0.02338674850188587,0.018537570295827643,0.002519942881595958,0.01868839658605943,BAE,1.0,2048,0.36151174249060924,0.004055885287284249,0.030079250331391003,0.0,0.02848977698290142,0.01873449416660959,55,55,0.07907834441395852,0.05200085571107106,0.06491399893599363,0.051454259165707755,0.06749972739511687,0.03946136188323022,0.0251977674988915,0.08935759014513445,0.006994540926520591,0.051872903837190704,hardware_replay,0.18333333333333332,300
