a_true,abs_error,algorithm,estimate,k_value,nrmse,objective_ry_offset,query_budget,run_id,run_uuid,runtime_seconds_total_algorithm,step_index
0.36022559526332343,0.019102870828422935,cabiqae,0.37932846609174636,1,0.05303029845632933,-0.1,16.0,20260420_110033,616f312c-fac9-409a-b00a-d164b16e5181,55.3973938000272,0
0.36022559526332343,0.06246810666233704,cabiqae,0.42269370192566047,1,0.17341384811002425,-0.1,32.0,20260420_110033,616f312c-fac9-409a-b00a-d164b16e5181,55.3973938000272,1
0.36022559526332343,0.049338829663304495,cabiqae,0.4095644249266279,1,0.13696647409864926,-0.1,48.0,20260420_110033,616f312c-fac9-409a-b00a-d164b16e5181,55.3973938000272,2
0.36022559526332343,0.017255544166572934,cabiqae,0.37748113942989636,1,0.04790204914217493,-0.1,64.0,20260420_110033,616f312c-fac9-409a-b00a-d164b16e5181,55.3973938000272,3
0.36022559526332343,0.0070143077274221755,cabiqae,0.3672399029907456,1,0.01947198594340512,-0.1,80.0,20260420_110033,616f312c-fac9-409a-b00a-d164b16e5181,55.3973938000272,4
0.36022559526332343,0.005365144719681969,cabiqae,0.3655907399830054,1,0.014893846495721855,-0.1,96.0,20260420_110033,616f312c-fac9-409a-b00a-d164b16e5181,55.3973938000272,5
0.36022559526332343,0.0067828933917182255,cabiqae,0.36700848865504165,1,0.018829570915858875,-0.1,112.0,20260420_110033,616f312c-fac9-409a-b00a-d164b16e5181,55.3973938000272,6
0.36022559526332343,0.00690960080171632,cabiqae,0.36713519606503975,1,0.019181315521639795,-0.1,128.0,20260420_110033,616f312c-fac9-409a-b00a-d164b16e5181,55.3973938000272,7
0.36022559526332343,0.01046058211041656,cabiqae,0.37068617737374,1,0.02903897515325061,-0.1,144.0,20260420_110033,616f312c-fac9-409a-b00a-d164b16e5181,55.3973938000272,8
0.36022559526332343,0.007348401239099134,cabiqae,0.36757399650242256,1,0.02039944228207183,-0.1,160.0,20260420_110033,616f312c-fac9-409a-b00a-d164b16e5181,55.3973938000272,9
