target_name,algorithm,algorithm_key,budget,query_budget_actual_median,normalized_abs_error_median,processed_relative_error_median,cva_relative_error_median,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
cva,BIQAE,biqae,128,128.0,0.2322316709124774,0.23223167091247737,0.23223167091247737,0.031711989801647716,0.026767270281366162,1.0,0.11787937312193009,0.13284025010878217,0.0,0.041292456904582504,0.022860374441864364,25,25,0.3597427528845926,0.20094835260171,0.27513184206619884,0.29735552027325274,0.15784337660064282,0.04153986556811974,0.20769932784059872,0.11787937312193009,0.15093584000162796,0.08012033075430458,0.021085381220826906,0.29735552027325274,0.1578433766006428,0.04153986556811975,128.0,0.7066545980894495,0.6752067213271328,0.6905788239731661,0.6874139946417667,0.7035009460774816,0.6627751819987315,0.008202119898244235,1.0,25
cva,BIQAE,biqae,512,512.0,0.39057387007432887,0.39057387007432887,0.39057387007432887,0.042713520512675233,0.04501796117661678,3.0,0.1982529031516966,0.07254754692137906,1.0,0.04611513896199047,0.039151465474421436,18,18,0.3998347436232865,0.33918810966599877,0.37058064326112056,0.4165496113677515,0.31850226171552454,0.01594127349145052,0.06763309551932407,0.1982529031516966,0.2125278913872021,0.1616697963780001,0.008091692741795047,0.41869672382210354,0.3161845320878965,0.015941273491450525,512.0,2.8522319923177606,2.692189777921095,2.7687546356939925,2.766664961381226,2.8514851044025677,2.643602293771945,0.04229905657468331,0.72,25
cva,BIQAE,biqae,2176,2176.0,0.33062444160241106,0.33062444160241106,0.33062444160241106,0.04042983426175805,0.038108126058882044,13.0,0.16782294060816838,0.07483123317229624,6.0,0.04680959575424116,0.03674655520097297,7,7,0.405676549252009,0.3188582658608951,0.3507674808311979,0.33608240818431984,0.3176843475844249,0.026748497303576986,0.07076987180994648,0.16782294060816838,0.17059337100066346,0.16125462817694136,0.01357737332599919,0.3360824081843198,0.3176843475844249,0.026748497303576993,2139.4285714285716,12.069099851422106,10.967756729811075,11.482982677094384,11.203441403083096,12.103066335705451,10.83566404814418,0.3044163864108662,0.28,25
cva,BIQAE,biqae,2432,2432.0,0.4903763497990335,0.49037634979903344,0.49037634979903344,0.05721423673851847,0.05652130152225179,15.0,0.24891203030578807,0.0580468306955358,7.0,0.05827686280308534,0.0561960795883096,13,13,0.5053513500509006,0.4875249763679038,0.4963882255493873,0.5127423381921045,0.483913437759645,0.0047616762131191545,0.017168467743558305,0.24891203030578807,0.26026486896327333,0.2456314957570253,0.002416997667917714,0.5127423381921045,0.483913437759645,0.0047616762131191545,2461.5384615384614,13.949886540121675,12.967936815467743,13.439254916983167,13.366517975472151,13.826986450454438,12.782553592860717,0.2605008709451267,0.52,25
cva,BIQAE,biqae,12352,12352.0,0.4580687999943644,0.45806879999436434,0.45806879999436434,0.04926629933190879,0.05279749884558676,77.0,0.23251291599413493,0.0659947681021455,38.0,0.05427165763529005,0.044198910643345815,14,14,0.47124859866492047,0.3829895823385505,0.42743226684149976,0.4949230328005963,0.34757617594024415,0.023251445431780145,0.0869989425529914,0.23251291599413493,0.25121989873692185,0.17642753708384187,0.011802291224567626,0.49492303280059624,0.34783991172821016,0.023251445431780145,12068.57142857143,67.72766867657192,61.139342436932836,64.44945869432254,64.66606429999229,70.62454119988251,59.3904518999625,1.7519963999945807,0.56,25
cva,CABIQAE,cabiqae_latentt,128,128.0,0.16286120634654158,0.16286120634654172,0.16286120634654172,0.03188253854118094,0.01877155648710016,1.0,0.08266735038584339,0.14530416817198213,0.0,0.04280236313343136,0.021925891510258103,25,25,0.3707032854403803,0.19327175747397485,0.2766115155008631,0.3921283250094547,0.16286120634654158,0.04693652201095758,0.2346826100547879,0.08266735038584339,0.19904193495161848,0.08266735038584339,0.02382469096241637,0.3921283250094548,0.16286120634654172,0.04693652201095758,128.0,0.3253653858605755,0.28978594700971033,0.3065985417420048,0.29190154044936,0.3037034045449797,0.28429390000343163,0.009271149616933656,1.0,25
cva,CABIQAE,cabiqae_latentt,256,256.0,0.2490942224026788,0.2490942224026789,0.2490942224026789,0.0325989505746861,0.02871086596578848,1.0,0.1264387009306266,0.1478600180087404,0.0,0.048733799429034316,0.01948528133643643,10,10,0.4198181352979731,0.17021683609821317,0.28282707509486965,0.37357365002400644,0.1383973332857929,0.06820755214583488,0.21569121840554345,0.1264387009306266,0.18962369562546683,0.0702496383261374,0.034621735517558073,0.3735736500240065,0.13839733328579293,0.0682075521458349,256.0,0.6868603779271266,0.5752564952853491,0.6266554576987801,0.5875707827702601,0.7022837111122768,0.5553977618153152,0.030592149585175525,0.4,25
cva,CABIQAE,cabiqae_latentt,512,512.0,0.18008355597048586,0.180083555970486,0.180083555970486,0.020728143883383628,0.02075662288847846,3.0,0.09140930952251247,0.13087794831416266,1.0,0.024893645047786375,0.01659374359769491,19,19,0.2160030253285241,0.14551312640776695,0.17983647336289918,0.21638010906494057,0.1406001256080117,0.01850390280234923,0.08065664237653938,0.09140930952251247,0.10983321746086461,0.0713677622109663,0.009392467677124481,0.2163801090649407,0.14060012560801183,0.018503902802349235,512.0,1.315490779612323,1.1579420250995822,1.232309670012066,1.1796716979647777,1.2718422353158103,1.1371756000137265,0.04101320901450418,0.76,25
cva,CABIQAE,cabiqae_latentt,640,640.0,0.14292511520648263,0.1429251152064827,0.1429251152064827,0.01884145741769479,0.016473701341834374,3.0,0.07254791268443916,0.13410252485174906,1.0,0.02502533357529768,0.01328748563876477,7,7,0.21547420368806675,0.11703269603439066,0.16346766377532274,0.2453952440102624,0.09634255246366488,0.02795809195090066,0.0739701584339598,0.07254791268443916,0.12456112216466253,0.048902889277593786,0.014191356157014062,0.2453952440102624,0.0963425524636649,0.02795809195090066,640.0,1.7687200196093105,1.4280580333326172,1.5804366750892505,1.4595077022468002,1.755709277780692,1.4221994479218363,0.09482917892411548,0.28,25
cva,CABIQAE,cabiqae_latentt,896,896.0,0.07079111764047955,0.07079111764047953,0.07079111764047953,0.011923487285784323,0.008159459784091383,3.0,0.03593313753146743,0.12109564488867278,1.0,0.019074272213099187,0.006747249059136117,13,13,0.1655528916697505,0.058759749269938426,0.10344765627479767,0.1357539958903066,0.04173497211240745,0.029028744432136787,0.10466462651240896,0.03593313753146743,0.06890789646162176,0.021184416107163706,0.01473481279591117,0.13575399589030657,0.04173497211240747,0.029028744432136794,896.0,2.326895711727473,1.9711718785974195,2.1340828553575593,2.0644254714383607,2.1259238318148577,1.8941981614376586,0.09512471761579729,0.52,25
