profile,scenario_id,objective_ry_offset,a_true,t_eff,k,K,p_ideal,p_noisy,c_est
realistic,1,0.3,0.3602728053304129,15.362746843755327,0.0,1.0,0.3602728053304129,0.36391666666666667,0.9739216024133999
realistic,1,0.3,0.3602728053304129,15.362746843755327,1.0,3.0,0.875533739467591,0.8095833333333333,0.8243822080334028
realistic,1,0.3,0.3602728053304129,15.362746843755327,2.0,5.0,0.0059685783291602915,0.13266666666666665,0.7435424493668704
realistic,1,0.3,0.3602728053304129,15.362746843755327,3.0,7.0,0.9582040510986927,0.7965,0.6470916162549091
realistic,1,0.3,0.3602728053304129,15.362746843755327,4.0,9.0,0.2207566532370246,0.3436666666666667,0.5598462242541115
realistic,1,0.3,0.3602728053304129,15.362746843755327,6.0,13.0,0.7572150349943744,0.61075,0.4305735860363772
realistic,1,0.3,0.3602728053304129,15.362746843755327,8.0,17.0,0.9973783028589261,0.6590833333333334,0.3198437334699237
realistic,1,0.3,0.3602728053304129,15.362746843755327,10.0,21.0,0.6645938777683754,0.55025,0.3052968961015323
realistic,1,0.3,0.3602728053304129,15.362746843755327,12.0,25.0,0.1422079320649065,0.4340833333333333,0.1842317719537162
realistic,2,0.44,0.49216902723816036,15.051456073986444,0.0,1.0,0.49216902723816036,0.48975,nan
realistic,2,0.44,0.49216902723816036,15.051456073986444,1.0,3.0,0.5234852346435013,0.5230833333333333,0.982887064307908
realistic,2,0.44,0.49216902723816036,15.051456073986444,2.0,5.0,0.46088354686180766,0.46825,0.8116789088170185
realistic,2,0.44,0.49216902723816036,15.051456073986444,3.0,7.0,0.5547092911108147,0.5379166666666667,0.6930571735953551
realistic,2,0.44,0.49216902723816036,15.051456073986444,4.0,9.0,0.42975155091529804,0.46275,0.5302608169339921
realistic,2,0.44,0.49216902723816036,15.051456073986444,6.0,13.0,0.3988951945600623,0.453,0.46486415552147803
realistic,2,0.44,0.49216902723816036,15.051456073986444,8.0,17.0,0.36843555140789963,0.4483333333333333,0.3927099396498285
realistic,2,0.44,0.49216902723816036,15.051456073986444,10.0,21.0,0.3384921384545336,0.46016666666666667,0.24663402110689062
realistic,2,0.44,0.49216902723816036,15.051456073986444,12.0,25.0,0.3091824471209902,0.4568333333333333,0.22621957998820494
realistic,3,0.48,0.530324472540106,15.494557523091858,0.0,1.0,0.530324472540106,0.5273333333333333,0.9013622016733625
realistic,3,0.48,0.530324472540106,15.494557523091858,1.0,3.0,0.4094727517466918,0.4315,0.7566782523680294
realistic,3,0.48,0.530324472540106,15.494557523091858,2.0,5.0,0.6493980804348607,0.6043333333333333,0.6983579242092326
realistic,3,0.48,0.530324472540106,15.494557523091858,3.0,7.0,0.29392920795739114,0.3705833333333333,0.628020426300431
realistic,3,0.48,0.530324472540106,15.494557523091858,4.0,9.0,0.7597115473740004,0.6404166666666666,0.5406639330690142
realistic,3,0.48,0.530324472540106,15.494557523091858,6.0,13.0,0.8547965069844328,0.65075,0.424891443496129
realistic,3,0.48,0.530324472540106,15.494557523091858,8.0,17.0,0.9290775352277615,0.6401666666666667,0.3266697861314596
realistic,3,0.48,0.530324472540106,15.494557523091858,10.0,21.0,0.9781990722745366,0.6204166666666666,0.25181284040119334
realistic,3,0.48,0.530324472540106,15.494557523091858,12.0,25.0,0.9992808161340343,0.592,0.1842650408889376
realistic,4,0.52,0.5682384803402307,14.56998855318773,0.0,1.0,0.5682384803402307,0.5641666666666667,0.9403296548624422
realistic,4,0.52,0.5682384803402307,14.56998855318773,1.0,3.0,0.3003685880178481,0.33558333333333334,0.8236011809672837
realistic,4,0.52,0.5682384803402307,14.56998855318773,2.0,5.0,0.8161510362106941,0.734,0.7401525638019868
realistic,4,0.52,0.5682384803402307,14.56998855318773,3.0,7.0,0.09088380678579312,0.239,0.6379605704420125
realistic,4,0.52,0.5682384803402307,14.56998855318773,4.0,9.0,0.9716006215135108,0.77575,0.5847108494366141
realistic,4,0.52,0.5682384803402307,14.56998855318773,6.0,13.0,0.9891237432205318,0.7109166666666666,0.43121330663265395
realistic,4,0.52,0.5682384803402307,14.56998855318773,8.0,17.0,0.8635955094254387,0.6213333333333333,0.333704158021827
realistic,4,0.52,0.5682384803402307,14.56998855318773,10.0,21.0,0.6317284785494246,0.5321666666666667,0.24418916107497382
realistic,4,0.52,0.5682384803402307,14.56998855318773,12.0,25.0,0.3613355374596604,0.4751666666666667,0.17908938511270633
realistic,5,0.56,0.6056665183230261,15.370020583079045,0.0,1.0,0.6056665183230261,0.60625,1.0
realistic,5,0.56,0.6056665183230261,15.370020583079045,1.0,3.0,0.20187741026828598,0.2684166666666667,0.7768057212361512
realistic,5,0.56,0.6056665183230261,15.370020583079045,2.0,5.0,0.9373200712658452,0.8234166666666667,0.7395422435803615
realistic,5,0.56,0.6056665183230261,15.370020583079045,3.0,7.0,0.001608195203286102,0.18925,0.623505436905709
realistic,5,0.56,0.6056665183230261,15.370020583079045,4.0,9.0,0.970427532192001,0.7599166666666667,0.5525115961124994
realistic,5,0.56,0.6056665183230261,15.370020583079045,6.0,13.0,0.6823873702650798,0.5803333333333334,0.44045447454271525
realistic,5,0.56,0.6056665183230261,15.370020583079045,8.0,17.0,0.26983648906514385,0.41983333333333334,0.3483031099979895
realistic,5,0.56,0.6056665183230261,15.370020583079045,10.0,21.0,0.014411752374283741,0.3745,0.2584494180277884
realistic,5,0.56,0.6056665183230261,15.370020583079045,12.0,25.0,0.09048443183963491,0.42475,0.18375369790711424
realistic,6,0.6,0.6423672082866361,16.412494819743234,0.0,1.0,0.6423672082866361,0.6305,0.9166436679523616
realistic,6,0.6,0.6423672082866361,16.412494819743234,1.0,3.0,0.11906731363370228,0.188,0.8190423430873208
realistic,6,0.6,0.6423672082866361,16.412494819743234,2.0,5.0,0.9959636934205677,0.86325,0.7324124826451176
realistic,6,0.6,0.6423672082866361,16.412494819743234,3.0,7.0,0.04984372244693333,0.21,0.6442207172503851
realistic,6,0.6,0.6423672082866361,16.412494819743234,4.0,9.0,0.7583655433288832,0.643,0.5534793771550642
realistic,6,0.6,0.6423672082866361,16.412494819743234,6.0,13.0,0.21279258546500254,0.3749166666666667,0.4355156831025732
realistic,6,0.6,0.6423672082866361,16.412494819743234,8.0,17.0,0.009574289691532572,0.33116666666666666,0.3442587323310206
realistic,6,0.6,0.6423672082866361,16.412494819743234,10.0,21.0,0.39094928725257516,0.45925,0.3736793549839709
realistic,6,0.6,0.6423672082866361,16.412494819743234,12.0,25.0,0.9023140344647872,0.5693333333333334,0.1723363526842159
realistic,7,0.63,0.6692728078979026,15.75499755223819,0.0,1.0,0.6692728078979026,0.6558333333333334,0.9206046456517976
realistic,7,0.63,0.6692728078979026,15.75499755223819,1.0,3.0,0.06978512434570153,0.15441666666666667,0.8032807624509681
realistic,7,0.63,0.6692728078979026,15.75499755223819,2.0,5.0,0.9939238426858319,0.859,0.726832699648289
realistic,7,0.63,0.6692728078979026,15.75499755223819,3.0,7.0,0.16880782850255896,0.28683333333333333,0.6436343760870377
realistic,7,0.63,0.6692728078979026,15.75499755223819,4.0,9.0,0.5166246094164008,0.5173333333333333,nan
realistic,7,0.63,0.6692728078979026,15.75499755223819,6.0,13.0,0.012333138021077042,0.303,0.4039642948068807
realistic,7,0.63,0.6692728078979026,15.75499755223819,8.0,17.0,0.2998329042385609,0.42933333333333334,0.3530383772510134
realistic,7,0.63,0.6692728078979026,15.75499755223819,10.0,21.0,0.9123302555680745,0.5965833333333334,0.2342378033847379
realistic,7,0.63,0.6692728078979026,15.75499755223819,12.0,25.0,0.855355250222341,0.576,0.21387048580947593
realistic,8,0.67,0.7041348196258655,14.987698075815391,0.0,1.0,0.7041348196258655,0.69025,0.9319821103949176
realistic,8,0.67,0.7041348196258655,14.987698075815391,1.0,3.0,0.023699654514650767,0.1095,0.819860837182642
realistic,8,0.67,0.7041348196258655,14.987698075815391,2.0,5.0,0.9308990968498324,0.8124166666666667,0.7250343965690496
realistic,8,0.67,0.7041348196258655,14.987698075815391,3.0,7.0,0.4017982615123564,0.4365,0.6466280635957378
realistic,8,0.67,0.7041348196258655,14.987698075815391,4.0,9.0,0.2000297071865897,0.3255,0.5817242713049047
realistic,8,0.67,0.7041348196258655,14.987698075815391,6.0,13.0,0.13581674257555998,0.34675,0.4208046275487993
realistic,8,0.67,0.7041348196258655,14.987698075815391,8.0,17.0,0.880967619234862,0.6209166666666667,0.31739355410183295
realistic,8,0.67,0.7041348196258655,14.987698075815391,10.0,21.0,0.7794529520573186,0.5676666666666667,0.24213974541513358
realistic,8,0.67,0.7041348196258655,14.987698075815391,12.0,25.0,0.05687976524596343,0.413,0.19633497452060894
