profile,scenario_id,objective_ry_offset,a_true,rep,budget,algorithm,estimate,abs_error,normalized_abs_error,k_max_budget,time_to_budget_seconds
realistic,1,0.3,0.3602728053304129,7,3846,BIQAE,0.3726651697151629,0.012392364384749999,0.03439716848287989,13,0.45731000352176265
realistic,1,0.3,0.3602728053304129,7,3846,BAE,0.36028543794717705,1.2632616764152171e-05,3.506403086007717e-05,11,12.494977516082068
realistic,1,0.3,0.3602728053304129,7,7595,CABIQAE_latentt,0.3658080554653024,0.00553525013488948,0.015364052054423033,11,1.0206826221750716
realistic,1,0.3,0.3602728053304129,7,7595,BIQAE,0.3726651697151629,0.012392364384749999,0.03439716848287989,13,0.9030861874019208
realistic,1,0.3,0.3602728053304129,7,7595,BAE,0.3617871208885347,0.0015143155581218148,0.004203246916549829,11,24.67481909377101
realistic,1,0.3,0.3602728053304129,8,128,CABIQAE_latentt,0.3401962875906445,0.020076517739768374,0.055725876176959364,1,0.016417409642599523
realistic,1,0.3,0.3602728053304129,8,128,BIQAE,0.327807061606848,0.032465743723564866,0.0901143334806798,1,0.014916084527323572
realistic,1,0.3,0.3602728053304129,8,128,BAE,0.24849233066406407,0.11178047466634883,0.3102662010912338,1,0.38199728000058136
realistic,1,0.3,0.3602728053304129,8,253,CABIQAE_latentt,0.3401962875906445,0.020076517739768374,0.055725876176959364,1,0.03245003624670062
realistic,1,0.3,0.3602728053304129,8,253,BIQAE,0.327807061606848,0.032465743723564866,0.0901143334806798,1,0.029482573323537997
realistic,1,0.3,0.3602728053304129,8,253,BAE,0.24849233066406407,0.11178047466634883,0.3102662010912338,1,0.7550414987511491
realistic,1,0.3,0.3602728053304129,8,499,CABIQAE_latentt,0.3724050777826475,0.012132272452234583,0.03367523796615137,1,0.06400224540357158
realistic,1,0.3,0.3602728053304129,8,499,BIQAE,0.33174965611922014,0.028523149211192755,0.07917097485344098,1,0.05814942327448799
realistic,1,0.3,0.3602728053304129,8,499,BAE,0.24849233066406407,0.11178047466634883,0.3102662010912338,1,1.4891925212522663
realistic,1,0.3,0.3602728053304129,8,986,CABIQAE_latentt,0.3710161333268057,0.010743327996392826,0.029819980407735522,3,0.12646535865314945
realistic,1,0.3,0.3602728053304129,8,986,BIQAE,0.33174965611922014,0.028523149211192755,0.07917097485344098,1,0.1149004636245394
realistic,1,0.3,0.3602728053304129,8,986,BAE,0.3390483473306378,0.02122445799977507,0.058912184560557454,5,2.9425727975044786
realistic,1,0.3,0.3602728053304129,8,1947,CABIQAE_latentt,0.3710161333268057,0.010743327996392826,0.029819980407735522,3,0.24972419198547868
realistic,1,0.3,0.3602728053304129,8,1947,BIQAE,0.3494813829887917,0.01079142234162117,0.029953474650200578,9,0.2268876294898359
realistic,1,0.3,0.3602728053304129,8,1947,BAE,0.3590237728595246,0.0012490324708883116,0.0034669074446038207,7,5.810536751258843
realistic,1,0.3,0.3602728053304129,8,3846,CABIQAE_latentt,0.36048719922512185,0.00021439389470895298,0.000595087643410466,11,0.49329185535498254
realistic,1,0.3,0.3602728053304129,8,3846,BIQAE,0.3494813829887917,0.01079142234162117,0.029953474650200578,9,0.44818172728192546
realistic,1,0.3,0.3602728053304129,8,3846,BAE,0.3584053669543037,0.0018674383761091984,0.005183400879776468,11,11.477824522517468
realistic,1,0.3,0.3602728053304129,8,7595,CABIQAE_latentt,0.3632678213989937,0.0029950160685808247,0.008313189406105852,11,0.9741423924651826
realistic,1,0.3,0.3602728053304129,8,7595,BIQAE,0.3494813829887917,0.01079142234162117,0.029953474650200578,9,0.8850598592579885
realistic,1,0.3,0.3602728053304129,8,7595,BAE,0.36487815911843385,0.0046053537880209605,0.012782962576920855,23,22.666166731284495
realistic,1,0.3,0.3602728053304129,8,15000,CABIQAE_latentt,0.36227588804258837,0.0020030827121754746,0.005559905389857028,11,1.9239151924921316
realistic,1,0.3,0.3602728053304129,8,15000,BIQAE,0.3491598307359653,0.0111129745944476,0.030845999004159318,51,1.747978655545731
realistic,1,0.3,0.3602728053304129,8,15000,BAE,0.35862335195466616,0.0016494533757467345,0.004578345496363485,23,44.76530625006813
realistic,1,0.3,0.3602728053304129,9,128,CABIQAE_latentt,0.40411929174897476,0.04384648641856187,0.12170356954461062,1,0.016294019435441887
realistic,1,0.3,0.3602728053304129,9,128,BIQAE,0.2978586488936286,0.062414156436784274,0.17324137573898504,1,0.01459399670372707
realistic,1,0.3,0.3602728053304129,9,128,BAE,0.24649849670913923,0.11377430862127366,0.3158004349424296,1,0.36342854906631783
realistic,1,0.3,0.3602728053304129,9,253,CABIQAE_latentt,0.40411929174897476,0.04384648641856187,0.12170356954461062,1,0.032206147790365604
realistic,1,0.3,0.3602728053304129,9,253,BIQAE,0.2978586488936286,0.062414156436784274,0.17324137573898504,1,0.028845946609710533
realistic,1,0.3,0.3602728053304129,9,253,BAE,0.24649849670913923,0.11377430862127366,0.3158004349424296,1,0.7183392415138938
realistic,1,0.3,0.3602728053304129,9,499,CABIQAE_latentt,0.40411929174897476,0.04384648641856187,0.12170356954461062,1,0.06352121639285548
realistic,1,0.3,0.3602728053304129,9,499,BIQAE,0.3585169543338772,0.0017558509965356905,0.004873670647789713,1,0.05689378402468599
realistic,1,0.3,0.3602728053304129,9,499,BAE,0.24649849670913923,0.11377430862127366,0.3158004349424296,1,1.4168034842507233
realistic,1,0.3,0.3602728053304129,9,986,CABIQAE_latentt,0.3380954073813749,0.022177397949038002,0.06155723557513229,3,0.12551486846363827
realistic,1,0.3,0.3602728053304129,9,986,BIQAE,0.3790081187177807,0.01873531338736778,0.05200312960115121,3,0.11241938085839757
realistic,1,0.3,0.3602728053304129,9,986,BAE,0.333460529829665,0.026812275500747884,0.07442214650688898,5,2.79953554202648
realistic,1,0.3,0.3602728053304129,9,1947,CABIQAE_latentt,0.36094359303892376,0.0006707877085108671,0.0018618882651874743,9,0.24784731125629184
realistic,1,0.3,0.3602728053304129,9,1947,BIQAE,0.3790081187177807,0.01873531338736778,0.05200312960115121,3,0.22198837173559843
realistic,1,0.3,0.3602728053304129,9,1947,BAE,0.3266211284839885,0.033651676846424394,0.0934060976807889,9,5.528088945563444
realistic,1,0.3,0.3602728053304129,9,3846,CABIQAE_latentt,0.3607926852560607,0.0005198799256477815,0.0014430173966946797,9,0.48958436522429294
realistic,1,0.3,0.3602728053304129,9,3846,BIQAE,0.3730943666366948,0.012821561306281926,0.03558847938723277,13,0.4385039947072992
realistic,1,0.3,0.3602728053304129,9,3846,BAE,0.3674797630500034,0.007206957719590512,0.020004167988702,9,10.919892185227019
realistic,1,0.3,0.3602728053304129,9,7595,CABIQAE_latentt,0.3571741587731755,0.0030986465572374056,0.008600833899732119,9,0.9668209188451651
realistic,1,0.3,0.3602728053304129,9,7595,BIQAE,0.3730943666366948,0.012821561306281926,0.03558847938723277,13,0.8659484762875554
realistic,1,0.3,0.3602728053304129,9,7595,BAE,0.3630736735542621,0.002800868223849229,0.007774298205162892,13,21.564373673114716
realistic,1,0.3,0.3602728053304129,10,128,CABIQAE_latentt,0.38813821009667054,0.02786540476625765,0.07734529044095285,1,0.01488237934265758
realistic,1,0.3,0.3602728053304129,10,128,BIQAE,0.36524141713209257,0.004968611801679679,0.013791248543233433,1,0.013211198229408633
realistic,1,0.3,0.3602728053304129,10,128,BAE,0.25072593494019557,0.10954687039021732,0.30406644289942963,1,0.3115230942156963
