profile,scenario_id,objective_ry_offset,a_true,rep,algorithm,final_queries,final_estimate,final_abs_error,final_normalized_abs_error,coverage,runtime_seconds,k_max
realistic,1,0.3,0.3602728053304129,1,CABIQAE_latentt,34048,0.36053201780914634,0.00025921247873345044,0.0007194894393866944,1.0,4.3855688001494855,9
realistic,1,0.3,0.3602728053304129,1,BIQAE,14592,0.39972060786823055,0.039447802537817656,0.10949425533697817,0.0,1.542476600036025,93
realistic,1,0.3,0.3602728053304129,1,BAE,15760,0.35961435582682344,0.0006584495035894533,0.0018276414257400778,1.0,36.282829199917614,21
realistic,1,0.3,0.3602728053304129,2,CABIQAE_latentt,32640,0.3630547272021285,0.002781921871715609,0.007721709300717985,1.0,4.143526300089434,9
realistic,1,0.3,0.3602728053304129,2,BIQAE,11520,0.37148692227754077,0.011214116947127872,0.03112673724247157,0.0,1.1690390000585467,73
realistic,1,0.3,0.3602728053304129,2,BAE,17680,0.3621033926695905,0.001830587339177625,0.005081114400235564,1.0,43.33261649985798,23
realistic,1,0.3,0.3602728053304129,3,CABIQAE_latentt,43136,0.3640791380974505,0.0038063327670376235,0.010565140390062927,0.0,5.360345100052655,9
realistic,1,0.3,0.3602728053304129,3,BIQAE,14848,0.4013769613627345,0.04110415603232159,0.11409175331627988,0.0,1.4938064999878407,95
realistic,1,0.3,0.3602728053304129,3,BAE,16144,0.3592378519225199,0.0010349534078930023,0.0028726936715188015,1.0,40.99446569988504,23
realistic,1,0.3,0.3602728053304129,4,CABIQAE_latentt,30080,0.3586973637668118,0.0015754415636010655,0.004372912804662563,1.0,3.6383879999630153,11
realistic,1,0.3,0.3602728053304129,4,BIQAE,14592,0.39919283982295944,0.03892003449254655,0.10802934308864158,0.0,1.4863188001327217,93
realistic,1,0.3,0.3602728053304129,4,BAE,17296,0.3599340202082927,0.00033878512212021095,0.0009403571879634512,1.0,45.144714100053534,21
realistic,1,0.3,0.3602728053304129,5,CABIQAE_latentt,40832,0.3591935862146646,0.00107921911574832,0.002995560863270121,1.0,5.21830469998531,9
realistic,1,0.3,0.3602728053304129,5,BIQAE,32384,0.32361003596235016,0.03666276936806273,0.10176391008596561,0.0,3.1788520000409335,209
realistic,1,0.3,0.3602728053304129,5,BAE,15248,0.35703650898369516,0.0032362963467177375,0.008982904895499038,1.0,48.179036000045016,23
realistic,1,0.3,0.3602728053304129,6,CABIQAE_latentt,37376,0.359839015828739,0.00043378950167388686,0.001204058411447543,1.0,4.636194200022146,9
realistic,1,0.3,0.3602728053304129,6,BIQAE,13184,0.3878775712101423,0.02760476587972943,0.07662184175797723,0.0,1.3513208001386374,83
realistic,1,0.3,0.3602728053304129,6,BAE,15376,0.3564846209786878,0.0037881843517250657,0.01051476629841892,1.0,48.024126400006935,11
realistic,1,0.3,0.3602728053304129,7,CABIQAE_latentt,23040,0.3619112199091047,0.0016384145786917936,0.004547705390056219,1.0,3.0963169999886304,11
realistic,1,0.3,0.3602728053304129,7,BIQAE,11648,0.3726306331048736,0.012357827774460706,0.03430130609810283,0.0,1.3850095998495817,73
realistic,1,0.3,0.3602728053304129,7,BAE,16016,0.3599773466822356,0.0002954586481773158,0.0008200970037312286,1.0,52.03316690004431,21
realistic,1,0.3,0.3602728053304129,8,CABIQAE_latentt,35840,0.3617048038489534,0.0014319985185405337,0.003974761617733598,1.0,4.5968746999278665,11
realistic,1,0.3,0.3602728053304129,8,BIQAE,44672,0.3493175115110181,0.010955293819394807,0.03040832851468626,0.0,5.205713500035927,287
realistic,1,0.3,0.3602728053304129,8,BAE,15760,0.35853227325544446,0.0017405320749684372,0.004831150309477738,1.0,47.03341510007158,23
realistic,1,0.3,0.3602728053304129,9,CABIQAE_latentt,40832,0.35715111868537214,0.0031216866450407554,0.008664785681444367,0.0,5.197792199905962,9
realistic,1,0.3,0.3602728053304129,9,BIQAE,11648,0.37294565627580023,0.012672850945387337,0.03517570784662703,0.0,1.3280537000391632,73
realistic,1,0.3,0.3602728053304129,9,BAE,16272,0.36496709893930723,0.00469429360889434,0.013029830560175409,1.0,46.20085430005565,23
realistic,1,0.3,0.3602728053304129,10,CABIQAE_latentt,27264,0.3602178561986847,5.4949131728210254e-05,0.0001525208978174619,1.0,3.1699467999860644,11
