target_name,algorithm,algorithm_key,budget,query_budget_actual_median,normalized_abs_error_median,processed_relative_error_median,cva_relative_error_median,coverage,coverage_ci_low,coverage_ci_high,coverage_se,coverage_n,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
cva,BIQAE,biqae,512,512.0,0.35008829302010963,0.35008829302010963,0.35008829302010963,0.0,0.0,0.0,0.0,25,0.04606551669821722,0.04685289812942352,3.0,0.16811760295268408,0.12233813065246091,1.0,0.05337957719629538,0.03886673457166858,25,25,0.3991641262402679,0.28969228140433306,0.34420492118587864,0.39422863809210806,0.30854505789731224,0.028807526813696423,0.1440376340684821,0.16811760295268408,0.18931445287586174,0.1481679238374694,0.013833802647709854,0.3942286380921081,0.30854505789731235,0.028807526813696423,389.12,2.3285246184648303,1.7321939531082133,2.0306785859695626,2.4922637953531255,2.5388530821406414,1.2885794651174787,0.15556415874724344,1.0,25
cva,BIQAE,biqae,608,512.0,0.35008829302010963,0.35008829302010963,0.35008829302010963,0.0,0.0,0.0,0.0,25,0.04606551669821722,0.04685289812942352,3.0,0.16811760295268408,0.12233813065246091,1.0,0.053413775333917834,0.03855260357611139,25,25,0.4005641455773006,0.2899841516783124,0.34420492118587864,0.39422863809210806,0.30854505789731224,0.028807526813696423,0.1440376340684821,0.16811760295268408,0.18931445287586174,0.1481679238374694,0.013833802647709854,0.3942286380921081,0.30854505789731235,0.028807526813696423,389.12,2.331683467658634,1.7255238268807749,2.0306785859695626,2.4922637953531255,2.5388530821406414,1.2885794651174787,0.15556415874724344,1.0,25
cva,BIQAE,biqae,724,512.0,0.35565336084911425,0.3556533608491143,0.3556533608491143,0.0,0.0,0.0,0.0,25,0.051397477334074966,0.04759768040656384,3.0,0.17079003125815623,0.1096629894686036,1.0,0.056769150146528745,0.046662335265159186,25,25,0.42375341414348416,0.3486668730076442,0.38404572233123196,0.39422863809210806,0.32964330738345926,0.020077542411310607,0.10038771205655303,0.17079003125815623,0.18931445287586174,0.15829961690126743,0.009641534351954192,0.3942286380921081,0.3296433073834593,0.020077542411310607,465.92,2.75421654275984,2.0954399209249166,2.4330855773145452,2.5388530821406414,2.673503016326006,2.4922637953531255,0.17240938915854695,1.0,25
cva,BIQAE,biqae,861,512.0,0.35565336084911425,0.3556533608491143,0.3556533608491143,0.0,0.0,0.0,0.0,25,0.05066220122956913,0.04759768040656384,3.0,0.17079003125815623,0.10892771336409775,1.0,0.0553108442067599,0.04636372209358339,25,25,0.4144316648392711,0.34582899952901885,0.3785516853217418,0.39422863809210806,0.32964330738345926,0.017659343281863835,0.08829671640931917,0.17079003125815623,0.18931445287586174,0.15829961690126743,0.008480279179444019,0.3942286380921081,0.3296433073834593,0.017659343281863835,517.12,3.0920546601031447,2.399987078220992,2.7333130001659534,2.5902987999994473,3.0775100804581683,2.5133173791031393,0.17915115899896245,1.0,25
cva,BIQAE,biqae,1024,512.0,0.38211260045691675,0.3821126004569168,0.3821126004569168,0.0,0.0,0.0,0.0,25,0.05587052127004032,0.05113876442063331,3.0,0.18349615147840292,0.11413603340456895,1.0,0.06122271694764694,0.05068777809628032,25,25,0.4572436443600429,0.38024139220083625,0.4174686348652731,0.47473449872597673,0.34377600653225526,0.020516091455260392,0.10258045727630195,0.18349615147840292,0.22797456400568866,0.1650863491385849,0.009852132122619416,0.4747344987259768,0.3437760065322553,0.020516091455260392,619.52,3.6139037210603475,2.932529821458772,3.260964208916946,3.0476396445729153,3.3465734530639435,2.5638557265284563,0.17599860236027337,1.0,25
cva,BIQAE,biqae,1217,512.0,0.38211260045691675,0.3821126004569168,0.3821126004569168,0.0,0.0,0.0,0.0,25,0.05587052127004032,0.05113876442063331,3.0,0.18349615147840292,0.11413603340456895,1.0,0.06131763331631787,0.050686883921906546,25,25,0.45841530305071804,0.3793606125998309,0.4174686348652731,0.47473449872597673,0.34377600653225526,0.020516091455260392,0.10258045727630195,0.18349615147840292,0.22797456400568866,0.1650863491385849,0.009852132122619416,0.4747344987259768,0.3437760065322553,0.020516091455260392,619.52,3.613597517613421,2.935951454893866,3.260964208916946,3.0476396445729153,3.3465734530639435,2.5638557265284563,0.17599860236027337,1.0,25
cva,BIQAE,biqae,1448,512.0,0.38211260045691675,0.3821126004569168,0.3821126004569168,0.0,0.0,0.0,0.0,25,0.05587052127004032,0.05113876442063331,3.0,0.18349615147840292,0.11413603340456895,1.0,0.061282779630755825,0.05080472652809398,25,25,0.45778390364787436,0.37858144939753435,0.4174686348652731,0.47473449872597673,0.34377600653225526,0.020516091455260392,0.10258045727630195,0.18349615147840292,0.22797456400568866,0.1650863491385849,0.009852132122619416,0.4747344987259768,0.3437760065322553,0.020516091455260392,619.52,3.609874454476017,2.935212349110036,3.260964208916946,3.0476396445729153,3.3465734530639435,2.5638557265284563,0.17599860236027337,1.0,25
cva,BIQAE,biqae,1722,512.0,0.38211260045691675,0.3821126004569168,0.3821126004569168,0.0,0.0,0.0,0.0,25,0.05572921680206024,0.05113876442063331,3.0,0.18349615147840292,0.11427733787254903,1.0,0.061122000749828743,0.05060481263186556,25,25,0.4567658663019136,0.37795147679061325,0.41641279751120786,0.47473449872597673,0.34377600653225526,0.020502768615355414,0.10251384307677706,0.18349615147840292,0.22797456400568866,0.1650863491385849,0.009845734296830885,0.4747344987259768,0.3437760065322553,0.02050276861535541,665.6,4.0594196814371735,3.04498140480855,3.494942073236806,3.0775100804581683,3.876284706594351,2.5638557265284563,0.26986806143236086,1.0,25
cva,BIQAE,biqae,2048,512.0,0.38211260045691675,0.3821126004569168,0.3821126004569168,0.0,0.0,0.0,0.0,25,0.05572921680206024,0.05113876442063331,3.0,0.18349615147840292,0.11427733787254903,1.0,0.06115744992295406,0.05067940826275275,25,25,0.4559955059006022,0.3779520042233256,0.41641279751120786,0.47473449872597673,0.34377600653225526,0.020502768615355414,0.10251384307677706,0.18349615147840292,0.22797456400568866,0.1650863491385849,0.009845734296830885,0.4747344987259768,0.3437760065322553,0.02050276861535541,665.6,4.069613634937619,3.038936039128787,3.494942073236806,3.0775100804581683,3.876284706594351,2.5638557265284563,0.26986806143236086,1.0,25
cva,BIQAE,biqae,2435,2176.0,0.4237393047695703,0.4237393047695703,0.4237393047695703,0.0,0.0,0.0,0.0,25,0.06177634200639177,0.05670973544568372,13.0,0.20348591373949482,0.10823021266821749,6.0,0.06595297991120887,0.05778938069825012,25,25,0.4931108051094496,0.4312696836453133,0.46159736079297886,0.5196823980996517,0.40484039384974174,0.016160925049561185,0.08080462524780592,0.20348591373949482,0.24955921351016846,0.19441037575206666,0.0077607164678144425,0.5196823980996518,0.40484039384974174,0.016160925049561178,1628.16,10.22352308115239,6.918275881041361,8.5648969815281,10.592121130250783,11.178498441742343,4.568175274314476,0.8527266921752155,1.0,25
