quantity,training_regime,evaluation_regime,cva_estimate,cva_reference,absolute_error,relative_error,std,shots,repetitions,source,p111_mean,p111_std,backend_name,noise_snapshot_iso_utc,thermal_relaxation
CVA,ideal_statevector,ideal_statevector,0.6714100069431603,0.5215900006813697,0.1498200062617906,0.28723711356827375,,,,statevector recomputation from training artifacts,,,,,
CVA,shots_backend_noise,ideal_statevector,0.5864946085782612,0.5215900006813697,0.06490460789689145,0.1244360662821459,,,,statevector recomputation from training artifacts,,,,,
CVA,ideal_statevector,shots_backend_noise,0.0,0.5215900006813697,0.5215900006813697,1.0,0.0,100000.0,10.0,Aer density-matrix simulation of full measured CVA circuit,0.0,0.0,ibm_basquecountry,2026-04-07T12:10:00+00:00,False
CVA,shots_backend_noise,shots_backend_noise,0.0,0.5215900006813697,0.5215900006813697,1.0,0.0,100000.0,10.0,Aer density-matrix simulation of full measured CVA circuit,0.0,0.0,ibm_basquecountry,2026-04-07T12:10:00+00:00,False
