a_true,abs_error,algorithm,algorithm_key,amplification_factor,estimate,grover_power,normalized_abs_error,objective_ry_offset,query_budget,repetition,run_kind,step_index
0.07232750360492672,0.06029550163932029,CABIQAE,cabiqae_latentt,1,0.012032001965606429,0,0.8336455516102336,-0.1,128.0,0,hardware_replay,0
0.07232750360492672,0.060312907594982604,BIQAE,biqae,1,0.012014596009944116,0,0.8338862063376162,-0.1,128.0,0,hardware_replay,0
0.07232750360492672,0.025290354603402843,CABIQAE,cabiqae_latentt,1,0.09761785820832956,0,0.3496644200738064,-0.1,128.0,1,hardware_replay,0
0.07232750360492672,0.010089850910972337,BIQAE,biqae,1,0.08241735451589906,0,0.13950226964953685,-0.1,128.0,1,hardware_replay,0
0.07232750360492672,0.078457023520859,CABIQAE,cabiqae_latentt,1,0.15078452712578572,0,1.0847467368625556,-0.1,128.0,2,hardware_replay,0
0.07232750360492672,0.07845621491643016,BIQAE,biqae,1,0.15078371852135689,0,1.0847355570984476,-0.1,128.0,2,hardware_replay,0
0.07232750360492672,0.005118490604415826,CABIQAE,cabiqae_latentt,1,0.0672090130005109,0,0.07076824650791862,-0.1,128.0,3,hardware_replay,0
0.07232750360492672,0.0024869615412677765,BIQAE,biqae,1,0.0748144651461945,0,0.034384728040003476,-0.1,128.0,3,hardware_replay,0
0.07232750360492672,0.06029550163932029,CABIQAE,cabiqae_latentt,1,0.012032001965606429,0,0.8336455516102336,-0.1,128.0,4,hardware_replay,0
0.07232750360492672,0.060312907594982604,BIQAE,biqae,1,0.012014596009944116,0,0.8338862063376162,-0.1,128.0,4,hardware_replay,0
0.07232750360492672,0.10123722560620292,CABIQAE,cabiqae_latentt,1,0.17356472921112964,0,1.3997057904720351,-0.1,128.0,5,hardware_replay,0
0.07232750360492672,0.02528917016104308,BIQAE,biqae,1,0.0976166737659698,0,0.3496480439748022,-0.1,128.0,5,hardware_replay,0
0.07232750360492672,0.012730075160167331,CABIQAE,cabiqae_latentt,1,0.05959742844475939,0,0.1760060077519418,-0.1,128.0,6,hardware_replay,0
