amplification_factor,batch_index,counts_json,grover_power,one_counts,p_hw_raw,repeat_index,shots,zero_counts
1,0,"{""0"": 30, ""1"": 2}",0,2,0.0625,0,32,30
3,1,"{""0"": 15, ""1"": 17}",1,17,0.53125,0,32,15
