a_true,algorithm,algorithm_key,amplification_factor_max,ci_high,ci_low,coverage,final_abs_error,final_estimate,final_normalized_abs_error,final_queries,k_max,objective_ry_offset,repetition,run_kind
0.07232750360492672,CABIQAE,cabiqae_latentt,1,0.02406216238189401,1.8415493188471581e-06,0.0,0.06029550163932029,0.012032001965606429,0.8336455516102336,128.0,0,-0.1,0,hardware_replay
0.07232750360492672,BIQAE,biqae,1,0.024028235074764922,9.5694512330935e-07,0.0,0.060312907594982604,0.012014596009944116,0.8338862063376162,128.0,0,-0.1,0,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,1,0.15323493138718247,0.042000785029476656,1.0,0.025290354603402843,0.09761785820832956,0.3496644200738064,128.0,0,-0.1,1,hardware_replay
0.07232750360492672,BIQAE,biqae,1,0.1333480837868878,0.03148662524491031,1.0,0.010089850910972337,0.08241735451589906,0.13950226964953685,128.0,0,-0.1,1,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,1,0.2193038968244449,0.08226515742712653,0.0,0.078457023520859,0.15078452712578572,1.0847467368625556,128.0,0,-0.1,2,hardware_replay
0.07232750360492672,BIQAE,biqae,1,0.21929903206681256,0.08226840497590121,0.0,0.07845621491643016,0.15078371852135689,1.0847355570984476,128.0,0,-0.1,2,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,1,0.11278196498524304,0.021636061015778755,1.0,0.005118490604415826,0.0672090130005109,0.07076824650791862,128.0,0,-0.1,3,hardware_replay
0.07232750360492672,BIQAE,biqae,1,0.12316286027853518,0.02646607001385381,1.0,0.0024869615412677765,0.0748144651461945,0.034384728040003476,128.0,0,-0.1,3,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,1,0.02406216238189401,1.8415493188471581e-06,0.0,0.06029550163932029,0.012032001965606429,0.8336455516102336,128.0,0,-0.1,4,hardware_replay
0.07232750360492672,BIQAE,biqae,1,0.024028235074764922,9.5694512330935e-07,0.0,0.060312907594982604,0.012014596009944116,0.8338862063376162,128.0,0,-0.1,4,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,1,0.2464475905654694,0.10068186785678993,0.0,0.10123722560620292,0.17356472921112964,1.3997057904720351,128.0,0,-0.1,5,hardware_replay
0.07232750360492672,BIQAE,biqae,1,0.15323081629308066,0.04200253123885895,1.0,0.02528917016104308,0.0976166737659698,0.3496480439748022,128.0,0,-0.1,5,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,1,0.10215737366466311,0.017037483224855675,1.0,0.012730075160167331,0.05959742844475939,0.1760060077519418,128.0,0,-0.1,6,hardware_replay
0.07232750360492672,BIQAE,biqae,1,0.07993914055341629,0.008752468338130759,1.0,0.027981699159153196,0.044345804445773525,0.3868749474888163,128.0,0,-0.1,6,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,1,0.15323493138718247,0.042000785029476656,1.0,0.025290354603402843,0.09761785820832956,0.3496644200738064,128.0,0,-0.1,7,hardware_replay
0.07232750360492672,BIQAE,biqae,1,0.162968253974516,0.047460068751373756,1.0,0.03288665775801816,0.10521416136294488,0.4546909006794205,128.0,0,-0.1,7,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,1,0.02406216238189401,1.8415493188471581e-06,0.0,0.06029550163932029,0.012032001965606429,0.8336455516102336,128.0,0,-0.1,8,hardware_replay
