run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,grover_power,grover_power_exceeds_calibration,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,n_shots,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,normalized_sq_error
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,1024,1024.0,0.1202092104316664,0.1328730942948926,0.012663883863226214,0.09530811283073273,0.5864946085782612,0.5305969142492678,0.055897694328993386,0.0953081128307328,0.5864946085782612,0.5305969142492678,0.055897694328993386,0.0953081128307328,1,False,1,3,6.2225929620762646,ok,2.0249922141711427,2.0249922141711427,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.009083636371355681
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,2048,1920.0,0.10812355013248637,0.1328730942948926,0.02474954416240624,0.18626452777172636,0.5864946085782612,0.47725146727076784,0.10924314130749335,0.18626452777172642,0.5864946085782612,0.47725146727076784,0.10924314130749335,0.18626452777172642,3,False,3,7,6.2225929620762646,ok,3.796860401570892,3.796860401570892,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.03469447430602422
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,4096,3712.0,0.10418633597147312,0.1328730942948926,0.028686758323419492,0.21589591538941197,0.5864946085782612,0.4598728181883026,0.12662179038995858,0.215895915389412,0.5864946085782612,0.4598728181883026,0.12662179038995858,0.215895915389412,3,False,3,7,6.2225929620762646,ok,7.3405967763703925,7.3405967763703925,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.04661104628183213
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,8192,8192.0,0.10185635338803493,0.1328730942948926,0.031016740906857673,0.2334313133253336,0.5864946085782612,0.4495884018396102,0.136906206738651,0.23343131332533365,0.5864946085782612,0.4495884018396102,0.136906206738651,0.23343131332533365,3,False,3,7,6.2225929620762646,ok,16.199937713369142,16.199937713369142,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.054490178040790066
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,BIQAE,biqae,1024,768.0,0.20564258821157624,0.1328730942948926,0.07276949391668364,0.5476616188013375,0.5864946085782612,0.9076951953304884,0.3212005867522272,0.5476616188013372,0.5864946085782612,0.9076951953304884,0.3212005867522272,0.5476616188013372,2,False,2,5,6.2225929620762646,ok,3.5685303870836393,3.5685303870836393,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.29993324870810145
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,BIQAE,biqae,2048,768.0,0.20564258821157624,0.1328730942948926,0.07276949391668364,0.5476616188013375,0.5864946085782612,0.9076951953304884,0.3212005867522272,0.5476616188013372,0.5864946085782612,0.9076951953304884,0.3212005867522272,0.5476616188013372,2,False,2,5,6.2225929620762646,ok,3.5685303870836393,3.5685303870836393,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.29993324870810145
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,1,CABIQAE,cabiqae_latentt,1024,1024.0,0.12246098667762215,0.1328730942948926,0.01041210761727046,0.0783612940793137,0.5864946085782612,0.540536132079528,0.04595847649873319,0.07836129407931385,0.5864946085782612,0.540536132079528,0.04595847649873319,0.07836129407931385,1,False,1,3,6.2225929620762646,ok,2.0474915459431156,2.0474915459431156,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.006140492409784685
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,1,CABIQAE,cabiqae_latentt,2048,1920.0,0.11425647322542681,0.1328730942948926,0.018616621069465794,0.14010828278107904,0.5864946085782612,0.5043218561099999,0.08217275246826128,0.14010828278107904,0.5864946085782612,0.5043218561099999,0.08217275246826128,0.14010828278107904,3,False,3,7,6.2225929620762646,ok,3.8390466486433414,3.8390466486433414,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.01963033090386281
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,1,CABIQAE,cabiqae_latentt,4096,3712.0,0.10858313173859185,0.1328730942948926,0.024289962556300754,0.18280572666120573,0.5864946085782612,0.4792800354742327,0.10721457310402849,0.1828057266612058,0.5864946085782612,0.4792800354742327,0.10721457310402849,0.1828057266612058,3,False,3,7,6.2225929620762646,ok,7.422156854043793,7.422156854043793,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.033417933700131464
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,1,CABIQAE,cabiqae_latentt,8192,8192.0,0.10680027546335055,0.1328730942948926,0.026072818831542055,0.1962234639744086,0.5864946085782612,0.47141060488071984,0.11508400369754135,0.19622346397440868,0.5864946085782612,0.47141060488071984,0.11508400369754135,0.19622346397440868,3,False,3,7,6.2225929620762646,ok,16.379932367544924,16.379932367544924,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.03850364781411603
