shots,counts_json,good_counts,p_observed_good,prepared_bitstring,prepared_label
8192,"{""000"": 8154, ""001"": 12, ""010"": 15, ""100"": 11}",0,0.0,000,bad
8192,"{""011"": 6, ""101"": 12, ""110"": 8, ""111"": 8166}",8166,0.996826171875,111,good
