sampler_call_index,n_circuits,shots,backend_mode,context,job_id,submitted_at_epoch
52,1,8192,dry_run_aer,amplification_scan,local-b1f82f0d-f2d7-4504-b6b3-629385fb55bc,1778180872.1624017
53,1,8192,dry_run_aer,amplification_scan,local-1610aaf6-4aac-40a8-9c00-e669ef7a44cd,1778180879.6038082
54,1,8192,dry_run_aer,amplification_scan,local-cabd9528-0260-482b-aed2-7f8fc365b829,1778180884.0525308
55,1,8192,dry_run_aer,amplification_scan,local-f8923777-68b3-4fc9-8a5d-22630094a431,1778180886.3114278
56,1,8192,dry_run_aer,amplification_scan,local-0c096635-c9c3-40f5-8e18-551a03a715c6,1778180891.9937236
57,1,8192,dry_run_aer,amplification_scan,local-b4222276-61c8-4843-a63b-abf2f18fa700,1778180896.8734605
58,1,8192,dry_run_aer,amplification_scan,local-7f0a1671-4eeb-4264-b776-9d5c208d5f7d,1778180900.2900398
59,1,8192,dry_run_aer,amplification_scan,local-9a71ed08-d1fb-407a-8389-4cc85b21f010,1778180902.3276668
60,1,8192,dry_run_aer,amplification_scan,local-d3016ccf-67f7-4a8e-a4c2-5053bc7e6527,1778180906.0551262
61,1,8192,dry_run_aer,amplification_scan,local-63956ff9-5f72-4083-b353-dc6cd199b4e5,1778180907.479837
62,1,8192,dry_run_aer,amplification_scan,local-6fd3df65-4251-428c-b961-1c4496196048,1778180910.7873843
63,1,8192,dry_run_aer,amplification_scan,local-be4692d9-a577-44c9-81c9-3bb78651336e,1778180912.1927128
64,1,8192,dry_run_aer,amplification_scan,local-407f343a-bb8d-4187-b2c3-972a8be82eb6,1778180913.7789123
65,1,8192,dry_run_aer,amplification_scan,local-aa13604a-dd75-4ef1-812c-7c7c81bae34f,1778180914.5463488
66,1,8192,dry_run_aer,amplification_scan,local-a218c66d-b6de-40f5-a58a-7dd3db925cfd,1778180916.348717
67,1,8192,dry_run_aer,amplification_scan,local-12ae4206-1bbc-4bc1-8aa2-e827d54e6e75,1778180918.815504
68,1,8192,dry_run_aer,amplification_scan,local-98bc53f3-9276-4e33-ae7c-42428765dc0d,1778180925.8895054
69,1,8192,dry_run_aer,amplification_scan,local-621b2711-bf79-48ad-940b-c539a056d79e,1778180932.0206099
70,1,8192,dry_run_aer,amplification_scan,local-34333856-47d3-4d82-bfee-ed7749e70b76,1778180933.017469
71,1,8192,dry_run_aer,amplification_scan,local-2942ab7c-edd0-4b6d-b28d-1515d885f178,1778180937.470564
72,1,8192,dry_run_aer,amplification_scan,local-36807dfc-2f01-44f0-bf9f-8856d47e8969,1778180945.8117225
73,1,8192,dry_run_aer,amplification_scan,local-434dd843-3461-4025-a1e5-f1a7a86adaff,1778180953.0572307
74,1,8192,dry_run_aer,amplification_scan,local-7db63e39-8a43-4dd4-992d-e320a33497f1,1778180958.1554978
75,1,8192,dry_run_aer,amplification_scan,local-c8374d1e-1bc4-44c0-8134-4a4eb37fdade,1778180964.5279067
76,1,8192,dry_run_aer,amplification_scan,local-ac0e6c0b-57ef-4b93-9f52-dd58215da088,1778180970.058327
77,1,8192,dry_run_aer,amplification_scan,local-caf6fa36-3f1a-411a-9c3c-2d724dc0859f,1778180978.5259984
78,1,8192,dry_run_aer,amplification_scan,local-359a444c-47d0-46ab-9ba5-6c9484141115,1778180980.8752215
79,1,8192,dry_run_aer,amplification_scan,local-ce6fe472-cb56-46f8-a622-5b28dabb464d,1778180985.0064168
80,1,8192,dry_run_aer,amplification_scan,local-acf71cb5-fddf-4085-96e8-a77b1e83d8bf,1778180989.3117182
81,1,8192,dry_run_aer,amplification_scan,local-ebdf1369-f76a-4133-8d22-f88f8bc3234b,1778180994.173408
82,1,8192,dry_run_aer,amplification_scan,local-b70ad4d8-110c-4b38-aa18-396e743e5d71,1778180997.0657513
83,1,8192,dry_run_aer,amplification_scan,local-88201244-3f45-4344-bf82-be1ab209b439,1778180999.579122
84,1,8192,dry_run_aer,amplification_scan,local-0993f6af-323e-4cfe-8e0c-9c42dc0d749b,1778181003.006672
85,1,8192,dry_run_aer,amplification_scan,local-06eb6d9e-7433-463c-92e9-1cd6b01b5683,1778181011.3637602
86,1,8192,dry_run_aer,amplification_scan,local-59e5f6b8-2ad7-427e-845f-f74937c0f0d1,1778181018.5056381
87,1,8192,dry_run_aer,amplification_scan,local-dba66f30-e747-43a4-8512-0985493ff1cc,1778181020.8520508
88,1,8192,dry_run_aer,amplification_scan,local-02ae613c-9341-4611-957e-3ebe410627b2,1778181026.005653
89,1,8192,dry_run_aer,amplification_scan,local-4cb9e301-0775-4774-b05e-5d86df3a7f8e,1778181032.628958
0,1,128,dry_run_aer,simulated_noise_cabiqae_latentt,local-4626b222-bf6c-4ba3-b5fe-12aa192db306,1778181065.8792963
1,1,128,dry_run_aer,simulated_noise_cabiqae_latentt,local-07f9797c-07cd-49cf-9264-7751744f6bc4,1778181066.167452
