run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,step_index,budget,query_budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,grover_power,grover_power_exceeds_calibration,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,construct_circuit_mode,normalized_sq_error
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,0,128,128.0,128.0,0.1675792472337089,0.1328730942948926,0.03470615293881629,0.2611977475424107,0.5864946085782612,0.7396856792846708,0.15319107070640958,0.2611977475424106,0.5864946085782612,0.7396856792846708,0.15319107070640958,0.2611977475424106,0,False,0,1,6.2225929620762646,ok,0.25312402677139284,0.25312402677139284,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.06822426332122893
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,1,256,256.0,256.0,0.13167685174782925,0.1328730942948926,0.001196242547063353,0.00900289523181018,0.5864946085782612,0.5812144590632096,0.005280149515051624,0.009002895231810212,0.5864946085782612,0.5812144590632096,0.005280149515051624,0.009002895231810212,0,False,0,1,6.2225929620762646,ok,0.5062480535427857,0.5062480535427857,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,8.105212255495049e-05
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,2,640,640.0,640.0,0.13068612755409278,0.1328730942948926,0.002186966740799823,0.016459063833842588,0.5864946085782612,0.5768414563774671,0.009653152200794102,0.01645906383384255,0.5864946085782612,0.5768414563774671,0.009653152200794102,0.01645906383384255,1,False,1,3,6.2225929620762646,ok,1.2656201338569641,1.2656201338569641,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0002709007822865051
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,3,1024,1024.0,1024.0,0.1202092104316664,0.1328730942948926,0.012663883863226214,0.09530811283073273,0.5864946085782612,0.5305969142492678,0.055897694328993386,0.0953081128307328,0.5864946085782612,0.5305969142492678,0.055897694328993386,0.0953081128307328,1,False,1,3,6.2225929620762646,ok,2.0249922141711427,2.0249922141711427,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.009083636371355681
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,4,1920,1920.0,1920.0,0.10812355013248637,0.1328730942948926,0.02474954416240624,0.18626452777172636,0.5864946085782612,0.47725146727076784,0.10924314130749335,0.18626452777172642,0.5864946085782612,0.47725146727076784,0.10924314130749335,0.18626452777172642,3,False,3,7,6.2225929620762646,ok,3.796860401570892,3.796860401570892,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.03469447430602422
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,5,2816,2816.0,2816.0,0.10605915504353096,0.1328730942948926,0.02681393925136165,0.20180112003602468,0.5864946085782612,0.46813933967207816,0.11835526890618303,0.20180112003602474,0.5864946085782612,0.46813933967207816,0.11835526890618303,0.20180112003602474,3,False,3,7,6.2225929620762646,ok,5.568728588970642,5.568728588970642,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.040723692047794045
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,6,3712,3712.0,3712.0,0.10418633597147312,0.1328730942948926,0.028686758323419492,0.21589591538941197,0.5864946085782612,0.4598728181883026,0.12662179038995858,0.215895915389412,0.5864946085782612,0.4598728181883026,0.12662179038995858,0.215895915389412,3,False,3,7,6.2225929620762646,ok,7.3405967763703925,7.3405967763703925,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.04661104628183213
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,7,4608,4608.0,4608.0,0.10273549266499347,0.1328730942948926,0.030137601629899133,0.22681493036515796,0.5864946085782612,0.4534688747740423,0.1330257338042189,0.22681493036515799,0.5864946085782612,0.4534688747740423,0.1330257338042189,0.22681493036515799,3,False,3,7,6.2225929620762646,ok,9.112464963770142,9.112464963770142,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.051445012636551456
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,8,5504,5504.0,5504.0,0.10180907573767323,0.1328730942948926,0.03106401855721938,0.2337871238873785,0.5864946085782612,0.4493797208632957,0.1371148877149655,0.23378712388737846,0.5864946085782612,0.4493797208632957,0.1371148877149655,0.23378712388737846,3,False,3,7,6.2225929620762646,ok,10.884333151169892,10.884333151169892,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.05465641929553246
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,9,6400,6400.0,6400.0,0.10205174051834656,0.1328730942948926,0.030821353776546045,0.23196083405826698,0.5864946085782612,0.4504508300017709,0.1360437785764903,0.231960834058267,0.5864946085782612,0.4504508300017709,0.1360437785764903,0.231960834058267,3,False,3,7,6.2225929620762646,ok,12.656201338569641,12.656201338569641,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.05380582853700687
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,10,7296,7296.0,7296.0,0.10199859310837531,0.1328730942948926,0.0308745011865173,0.2323608203026853,0.5864946085782612,0.45021624022591406,0.13627836835234713,0.23236082030268534,0.5864946085782612,0.45021624022591406,0.13627836835234713,0.23236082030268534,3,False,3,7,6.2225929620762646,ok,14.42806952596939,14.42806952596939,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0539915508117368
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,11,8192,8192.0,8192.0,0.10185635338803493,0.1328730942948926,0.031016740906857673,0.2334313133253336,0.5864946085782612,0.4495884018396102,0.136906206738651,0.23343131332533365,0.5864946085782612,0.4495884018396102,0.136906206738651,0.23343131332533365,3,False,3,7,6.2225929620762646,ok,16.199937713369142,16.199937713369142,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.054490178040790066
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,12,9088,9088.0,9088.0,0.10212092755478885,0.1328730942948926,0.030752166740103754,0.23144013393602297,0.5864946085782612,0.45075621781615305,0.13573839076210814,0.23144013393602297,0.5864946085782612,0.45075621781615305,0.13573839076210814,0.23144013393602297,3,False,3,7,6.2225929620762646,ok,17.971805900768892,17.971805900768892,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.05356453559632425
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,13,9984,9984.0,9984.0,0.10266872359175733,0.1328730942948926,0.03020437070313528,0.22731743294922485,0.5864946085782612,0.45317415971769043,0.13332044886057076,0.22731743294922485,0.5864946085782612,0.45317415971769043,0.13332044886057076,0.22731743294922485,3,False,3,7,6.2225929620762646,ok,19.74367408816864,19.74367408816864,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.05167321532262534
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,14,10880,10880.0,10880.0,0.1031272960130914,0.1328730942948926,0.02974579828180121,0.2238662269412099,0.5864946085782612,0.4551982734344841,0.1312963351437771,0.2238662269412099,0.5864946085782612,0.4551982734344841,0.1312963351437771,0.2238662269412099,3,False,3,7,6.2225929620762646,ok,21.51554227556839,21.51554227556839,0.8599400999955833,0.8599400999955833,18,3,3,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.05011608756489329
