algorithm,algorithm_key,mean_final_normalized_abs_error,mean_final_queries,median_final_normalized_abs_error,median_final_queries,n
BIQAE,biqae,0.4518143479842234,1075.2,0.4249310263135465,512.0,80
CABIQAE,cabiqae_latentt,0.17645908833833407,10992.0,0.19084973460605925,8192.0,80
