abs_error_mean,abs_error_median,algorithm,algorithm_key,amplification_factor_median,budget,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,query_budget_actual_median,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,target_name,total_repetitions
0.05508375628423931,0.05361165572341438,BIQAE,biqae,3.0,512,0.07778933801065332,1.0,0.05638630167819972,0.053763978083932594,107,58,0.42510897859125635,0.40488372298144937,0.4145591443967496,0.4034801477899737,0.42692032443299494,0.3955182451343617,0.0051417035744564495,0.05318619533573417,0.23663893134717962,0.25038646857243363,0.23196931836563822,0.003015581425326281,0.4034801477899737,0.42692032443299494,0.3955182451343617,0.005141703574456449,512.0,512.0,2.1939646255353824,2.14352080261642,2.1683073057129194,2.123628526301074,2.1772849866499504,2.0969615368491135,0.013083351930698026,,cva,
0.07948647865060983,0.07772435731703398,BIQAE,biqae,5.0,768,0.21235957294550245,2.0,0.08201737251537344,0.0771402598776419,21,10,0.6179056178196045,0.5800437776786889,0.5982134989210162,0.5849518123250446,0.6343803062001694,0.572646438561025,0.00987026966263151,0.04523125785863513,0.3430710842067215,0.3720606293746258,0.33585404883758363,0.005788859942346959,0.5849518123250446,0.6343803062001694,0.5726464385610249,0.009870269662631518,768.0,768.0,3.636635802075355,3.5798285640194356,3.6066819940008528,3.5726578257895345,3.6532552545593884,3.5685303870836393,0.015033471699614786,,cva,
0.07507964618330358,0.07377744953967562,BIQAE,biqae,5.0,896,0.20795274047819623,2.0,0.07726994662204012,0.07318397521680362,20,9,0.5810777039789895,0.5495505492980602,0.5650477742068322,0.5552474707628712,0.6027808311777725,0.5381522004885341,0.008272240682947213,0.036994584986618506,0.32564964802913965,0.35387572568701564,0.3156233641810527,0.004851624561410291,0.5552474707628712,0.6027808311777725,0.538152200488534,0.008272240682947208,896.0,896.0,4.128782950722768,4.018095566516628,4.078947368008525,4.108607639051115,4.1265102605317034,4.066432573434213,0.02886916384299518,,cva,
0.0509601113026268,0.05128086130101285,BIQAE,biqae,9.0,1664,0.0819129829922658,4.0,0.051622624621961155,0.05018208484621052,20,8,0.38840707106650363,0.37789182010030864,0.3835246825029017,0.38593863997177935,0.39008306363079404,0.3832278133904811,0.0027869719205295385,0.01246371733137438,0.22635093158547526,0.22878161371715153,0.22476104641075317,0.0016345440056495767,0.38593863997177946,0.3900830636307941,0.3832278133904812,0.002786971920529537,1664.0,1664.0,8.104573693980887,7.983852047101045,8.041113407640804,8.000471706159948,8.02227565285284,7.935125757832793,0.031144563376222918,,cva,
0.01906079040005398,0.01714866131757127,CABIQAE,cabiqae_latentt,3.0,896,0.12280336922815845,1.0,0.022569532448378723,0.015580348416473119,46,46,0.17050010752959505,0.11718393877224195,0.14345109144332346,0.1290604498117,0.16708379397678388,0.09082573498263781,0.01374833253334707,0.09324572795889641,0.07569325799524734,0.09585845573456525,0.05333083268246175,0.008063322907749164,0.12906044981170006,0.16344302970992103,0.09082573498263795,0.01374833253334707,896.0,896.0,1.883148253885199,1.835394775678971,1.8589965358051288,1.846202354203398,1.8684180667898636,1.8254379105178247,0.012672708006627467,,cva,
0.013144985797538299,0.013205438198051221,CABIQAE,cabiqae_latentt,3.0,1024,0.13215231302662225,1.0,0.015747095473463882,0.010765794923910131,28,28,0.11796164109890668,0.0810724631266206,0.09892887546040663,0.09938383890378635,0.11856856276747241,0.08023777372895358,0.009588146889812337,0.050735704408801735,0.05828808569688121,0.06953982280999571,0.04680198670590818,0.005623396457131357,0.09938383890378646,0.11856856276747238,0.07979951737214133,0.009588146889812335,1024.0,1024.0,2.153181639188111,2.0594573758546466,2.1025264743581995,2.0799784764547393,2.130778130533411,2.053391683418173,0.02337689285609859,,cva,
0.019183227286317214,0.0203852200061823,CABIQAE,cabiqae_latentt,7.0,1920,0.11472969159975144,3.0,0.02102722604819439,0.017345748018642856,50,50,0.15925975686286148,0.13143012262611642,0.14437254877005282,0.15341871967653778,0.16686792443713602,0.12439587660632478,0.0071291439485725435,0.05041066030090685,0.08997925194526901,0.09786713802702501,0.07269171405243374,0.004181204489616135,0.1534187196765378,0.1650291175630265,0.12439587660632487,0.007129143948572546,1891.84,1920.0,3.966950455376661,3.8381720782763282,3.8995323453224353,3.8384776697616547,3.9517666821397874,3.770081534712517,0.03353388833318486,,cva,
0.021703290042001108,0.023147742931354548,CABIQAE,cabiqae_latentt,7.0,3584,0.11249891026987839,3.0,0.02318640462668524,0.0201337506444183,65,65,0.17424997746732576,0.151808038043005,0.16333848592276923,0.17420940675906502,0.1826135202629173,0.15627211995425935,0.005825150624425476,0.046963865756780424,0.10217287782780893,0.10647999681484371,0.09156641336338922,0.003416419435381833,0.17420940675906502,0.18155324065632078,0.15612490212886707,0.005825150624425477,3672.6153846153848,3584.0,7.7314727545986415,7.449377404364655,7.588815825491728,7.53358517837,7.741385399969295,7.4114287740149445,0.07459839323279617,,cva,
0.025607579693340557,0.02547154188133935,CABIQAE,cabiqae_latentt,7.0,8064,0.11253037597632908,3.0,0.02649487063136699,0.02460703297178559,54,54,0.19939273514404957,0.18562484782601174,0.19272208440113717,0.19169826680493302,0.1960266680045873,0.18834555267247852,0.00369359649641889,0.027142280195873864,0.11242999995489031,0.1149685839222512,0.11046365119210158,0.002166274431413236,0.19169826680493307,0.19602666800458735,0.1884078323626212,0.003693596496418894,8030.814814814815,8064.0,16.711019123746595,16.367898991342784,16.534229538038623,16.50757032638068,16.66823613154089,16.24204407294105,0.08857264721908008,,cva,
0.025800842054752027,0.026613007671335148,CABIQAE,cabiqae_latentt,7.0,16128,0.11398878013918197,3.0,0.02749944966712633,0.023687505837376648,35,35,0.2075663315427487,0.17790144191074622,0.19417657270395758,0.20028891336173318,0.21136823719998551,0.19225371184484236,0.00758852361666069,0.04489431115210029,0.11746836784465498,0.12383339644314384,0.11275576547615868,0.004450628188240305,0.20028891336173318,0.21136823719998557,0.19225371184484244,0.0075885236166606945,16032.914285714285,16128.0,32.72415922386315,32.31985420850017,32.52859590925866,32.55198825353778,32.75032189308086,32.33424643396731,0.10286231086766015,,cva,
