run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,final_queries,final_estimate,a_true,final_abs_error,final_normalized_abs_error,min_abs_error,min_normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,min_processed_abs_error,min_processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,ci_low,ci_high,processed_ci_low,processed_ci_high,cva_ci_low,cva_ci_high,coverage,k_max,k_max_exceeds_calibration,amplification_factor_max,t_eff,calibration_status,runtime_wall_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_queries_requested,max_queries_reached,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,construct_circuit_mode
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,CABIQAE,cabiqae_latentt,16256.0,0.10425379083631867,0.1328730942948926,0.02861930345857394,0.2153882515526999,0.001196242547063353,0.00900289523181018,0.5864946085782612,0.4601705602915044,0.1263240482867568,0.21538825155269994,0.005280149515051624,0.009002895231810212,0.5864946085782612,0.4601705602915044,0.1263240482867568,0.21538825155269994,0.09931616028804222,0.10919142138459513,0.43837612770842294,0.4819649928745859,0.43837612770842294,0.4819649928745859,0.0,3,False,7,6.2225929620762646,ok,32.14675139996689,0.8599400999955833,0.8599400999955833,18,3,3,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,0,BIQAE,biqae,3968.0,0.21686097372755958,0.1328730942948926,0.08398787943266697,0.6320909427025763,0.05981369633070485,0.45015656968112,0.5864946085782612,0.9572125386044728,0.37071793002621156,0.6320909427025763,0.26401440113406116,0.4501565696811199,0.5864946085782612,0.9572125386044728,0.37071793002621156,0.6320909427025763,0.21297490954515233,0.22074703790996686,0.9400596627444985,0.974365414464447,0.9400596627444985,0.974365414464447,0.0,12,False,25,6.2225929620762646,ok,18.437406999932136,2.864441500045359,2.864441500045359,1,2,5,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,1,CABIQAE,cabiqae_latentt,18944.0,0.10720087085611013,0.1328730942948926,0.025672223438782477,0.19320859181473332,0.004310685044376122,0.03244212131320718,0.5864946085782612,0.4731788111479221,0.1133157974303391,0.19320859181473338,0.019027129241037888,0.032442121313207145,0.5864946085782612,0.4731788111479221,0.1133157974303391,0.19320859181473338,0.10234115765806878,0.1120605840541515,0.45172830150928694,0.4946293207865573,0.45172830150928694,0.4946293207865573,0.0,3,False,7,6.2225929620762646,ok,37.878593599947635,7.540005026385188e-05,7.540005026385188e-05,24,0,5,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,1,BIQAE,biqae,2304.0,0.0778978108868497,0.1328730942948926,0.054975283408042905,0.4137427799042086,0.015125983862890352,0.11383782355004407,0.5864946085782612,0.34383669882626067,0.24265790975200052,0.41374277990420866,0.06676526976438424,0.11383782355004403,0.5864946085782612,0.34383669882626067,0.24265790975200052,0.41374277990420866,0.07308660776015169,0.08270901401354772,0.3226003100030968,0.3650730876494246,0.3226003100030968,0.3650730876494246,0.0,6,False,13,6.2225929620762646,ok,9.137080800079275,1.3256580999586731,1.3256580999586731,3,1,6,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,2,CABIQAE,cabiqae_latentt,13440.0,0.1057631022987301,0.1328730942948926,0.027109991996162514,0.20402920651487055,0.00855807909950665,0.0644079160263494,0.5864946085782612,0.4668325789647889,0.11966202961347228,0.20402920651487064,0.03777489549921531,0.0644079160263494,0.5864946085782612,0.4668325789647889,0.11966202961347228,0.20402920651487064,0.10087256834129445,0.11065363625616573,0.4452460281711482,0.4884191297584296,0.4452460281711482,0.4884191297584296,0.0,3,False,7,6.2225929620762646,ok,27.684106099943165,5.300005432218313e-05,5.300005432218313e-05,17,0,6,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,2,BIQAE,biqae,2176.0,0.0780660142760681,0.1328730942948926,0.054807080018824506,0.4124768848777475,0.029820187551440502,0.224426078956654,0.5864946085782612,0.3445791394343061,0.24191546914395506,0.4124768848777476,0.13162468533243665,0.22442607895665387,0.5864946085782612,0.3445791394343061,0.24191546914395506,0.4124768848777476,0.0732388241715335,0.0828932043806027,0.32327218496082477,0.36588609390778754,0.32327218496082477,0.36588609390778754,0.0,6,False,13,6.2225929620762646,ok,9.114600800035987,9.7999582067132e-06,9.7999582067132e-06,3,0,6,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,3,CABIQAE,cabiqae_latentt,14720.0,0.10438818385305992,0.1328730942948926,0.028484910441832684,0.21437681264962902,0.016368917430833907,0.12319211438325853,0.5864946085782612,0.4607637637550618,0.1257308448231994,0.21437681264962902,0.0722515109051376,0.12319211438325854,0.5864946085782612,0.4607637637550618,0.1257308448231994,0.21437681264962902,0.09951720134811519,0.10925916635800467,0.4392635120089193,0.4822640155012043,0.4392635120089193,0.4822640155012043,0.0,3,False,7,6.2225929620762646,ok,30.84867099998519,6.360001862049103e-05,6.360001862049103e-05,19,0,6,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,3,BIQAE,biqae,2432.0,0.05895978589413528,0.1328730942948926,0.07391330840075733,0.5562699415783713,0.007319459231970082,0.05508609000800118,0.5864946085782612,0.2602452869284021,0.3262493216498591,0.5562699415783713,0.03230769479734952,0.05508609000800118,0.5864946085782612,0.2602452869284021,0.3262493216498591,0.5562699415783713,0.05525647027160725,0.06266310151666331,0.24389905326836592,0.2765915205884383,0.24389905326836592,0.2765915205884383,0.0,7,False,15,6.2225929620762646,ok,10.126655100029893,1.489086799963843,1.489086799963843,2,1,7,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,4,CABIQAE,cabiqae_latentt,16128.0,0.10965154870940247,0.1328730942948926,0.02322154558549014,0.1747648439190652,0.012096402275487347,0.09103725881961575,0.5864946085782612,0.4839959698507081,0.1024986387275531,0.17476484391906527,0.05339286147744837,0.0910372588196157,0.5864946085782612,0.4839959698507081,0.1024986387275531,0.17476484391906527,0.10475879772970641,0.11454429968909852,0.46239963324143835,0.5055923064599779,0.46239963324143835,0.5055923064599779,0.0,3,False,7,6.2225929620762646,ok,34.965164300228935,6.349978502839804e-05,6.349978502839804e-05,20,0,7,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,4,BIQAE,biqae,3968.0,0.21702017140836843,0.1328730942948926,0.08414707711347583,0.6332890609646191,0.0760893042285535,0.572646438561025,0.5864946085782612,0.9579152285056,0.37142061992733877,0.6332890609646189,0.33585404883758363,0.5726464385610249,0.5864946085782612,0.9579152285056,0.37142061992733877,0.6332890609646189,0.21313123587805116,0.22090910693868573,0.9407496786721813,0.9750807783390188,0.9407496786721813,0.9750807783390188,0.0,12,False,25,6.2225929620762646,ok,18.80568910005968,9.09995287656784e-06,9.09995287656784e-06,3,0,7,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
