amplification_factor,batch_index,counts_json,grover_power,p_ideal_111,p_observed_111,p_observed_111_se,repeat_index,shots
1,16,"{""001"": 1, ""010"": 125, ""011"": 70, ""100"": 7, ""101"": 2, ""110"": 3076, ""111"": 815}",0,0.13287309429489258,0.198974609375,0.006237951554747871,0,4096
1,17,"{""000"": 1, ""001"": 1, ""010"": 133, ""011"": 70, ""100"": 11, ""110"": 2991, ""111"": 889}",0,0.13287309429489258,0.217041015625,0.006441105884095071,1,4096
