rep,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth
1,BAE,0.929029790028328,4300,0.01648570168264607,37,5 37 23,1.0,0.003041911969228983,37.0
1,BIQAE,0.929029790028328,1300,0.0021169243654011183,9,1 3 9,1.0,0.0072754310529940525,6.0
1,CABIQAE_latentt,0.929029790028328,1300,0.0006396124185910068,9,1 3 9,1.0,0.007991903631954844,6.0
2,BAE,0.39217616151765594,1700,0.008738888181949234,45,5 11 45,1.0,0.004995909261423737,45.0
2,BIQAE,0.39217616151765594,2000,0.0022312477413055642,15,1 1 3 15,1.0,0.008523203428482923,9.0
2,CABIQAE_latentt,0.39217616151765594,4400,0.005123537853385374,29,1 3 11 29,1.0,0.007329033846220495,16.0
3,BAE,0.8809216103875599,4100,0.0014317048595904325,47,7 33 47,1.0,0.0025307197558344097,47.0
3,BIQAE,0.8809216103875599,2600,0.002446943202143226,19,1 1 5 19,1.0,0.004351133758928094,11.0
3,CABIQAE_latentt,0.8809216103875599,3200,0.0017084441343990786,21,1 3 7 21,1.0,0.004016898103558708,12.0
4,BAE,0.28552318147718975,3700,0.012216488158592442,43,7 29 43,1.0,0.003716286443990968,43.0
4,BIQAE,0.28552318147718975,4400,0.012005346652955273,35,1 1 7 35,0.0,0.0033966975718895676,19.0
4,CABIQAE_latentt,0.28552318147718975,2200,0.007862745198534471,15,1 1 5 15,1.0,0.009951238567702414,9.0
5,BAE,0.33718735257277777,1700,0.013094495222861768,37,11 5 37,1.0,0.00512184605490984,37.0
5,BIQAE,0.33718735257277777,7600,0.0008432933482875882,59,1 1 1 3 11 59,1.0,0.002102460257493277,31.0
5,CABIQAE_latentt,0.33718735257277777,2800,0.012445013357808898,19,1 1 7 19,1.0,0.009091716344648254,11.0
6,BAE,0.15628210966997852,2100,0.011325115557015764,37,9 11 37,1.0,0.0036269138055129713,37.0
6,BIQAE,0.15628210966997852,1700,0.007896270792861482,13,1 3 13,1.0,0.007245916666705904,8.0
6,CABIQAE_latentt,0.15628210966997852,2400,0.007269662468661342,17,1 1 5 17,1.0,0.007774174277642473,10.0
7,BAE,0.26758966392750655,2700,0.01863527436774537,33,9 17 33,1.0,0.005256224582593172,33.0
7,BIQAE,0.26758966392750655,3500,0.006579066551112733,25,1 1 1 7 25,1.0,0.004560014596363765,14.0
7,CABIQAE_latentt,0.26758966392750655,2800,0.006956508982101983,19,1 1 7 19,1.0,0.007620673832075209,11.0
8,BAE,0.3366805359040037,4500,0.014017398130258929,37,7 37 13,1.0,0.005563827713743252,37.0
8,BIQAE,0.3366805359040037,8100,0.0036513593493066043,65,1 1 3 11 65,1.0,0.0019175208593381066,34.0
8,CABIQAE_latentt,0.3366805359040037,3200,0.005774796074621724,19,1 3 9 19,1.0,0.007163526236104639,11.0
9,BAE,0.9176713206605386,2500,0.0005668210772198368,35,3 21 35,1.0,0.0028218038425460445,35.0
9,BIQAE,0.9176713206605386,1700,0.00517928668583334,13,1 3 13,1.0,0.005351765333446112,8.0
9,CABIQAE_latentt,0.9176713206605386,1300,0.0009732827040007663,9,1 3 9,1.0,0.009460822076434505,6.0
10,BAE,0.28728482384758436,3100,2.57811606430014e-05,43,13 17 43,1.0,0.004152328836874608,43.0
10,BIQAE,0.28728482384758436,4300,0.010785443324465405,33,1 1 1 7 33,1.0,0.0035481655585097027,18.0
10,CABIQAE_latentt,0.28728482384758436,3700,0.007898877265337778,15,1 1 5 15 15,1.0,0.00738413953248887,9.0
