rep,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth
1,BAE,0.929029790028328,820,0.0006052945555203859,95,11 21 37 7 23 45 95,1.0,0.004016647993655864,95.0
1,BIQAE,0.929029790028328,5115,0.000288789932827882,197,1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 9 21 21 21 21 45 45 45 45 91 91 91 197 197,1.0,0.0008732065724205706,100.0
1,CABIQAE_latentt,0.929029790028328,3865,7.683099295219264e-06,241,1 1 1 1 1 1 1 1 1 3 3 3 7 7 7 7 19 19 19 19 43 43 43 43 119 119 241,1.0,0.000973414251224991,122.0
2,BAE,0.39217616151765594,730,0.007696317270093567,61,5 15 21 55 7 23 61,1.0,0.006697509128537726,61.0
2,BIQAE,0.39217616151765594,8510,0.001269368809681648,409,1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 15 15 15 15 31 31 31 75 75 75 75 193 193 193 193 409,1.0,0.0009706735273690148,206.0
2,CABIQAE_latentt,0.39217616151765594,6285,0.0035951477943294563,311,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 9 23 23 65 65 137 137 137 311 311,0.0,0.0008495823549601322,157.0
3,BAE,0.8809216103875599,865,0.0005764068718658866,83,7 25 11 83 27 55,1.0,0.0038146321791792115,83.0
3,BIQAE,0.8809216103875599,8360,7.00001208406853e-05,471,1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 7 7 7 7 7 7 15 15 15 15 39 39 83 83 83 185 185 185 185 471,1.0,0.0006268136008175662,237.0
3,CABIQAE_latentt,0.8809216103875599,5780,0.00014489552315399834,211,1 1 1 1 1 1 1 1 1 1 1 1 3 3 7 7 7 7 15 15 15 15 15 43 43 43 91 91 91 211 211 211,1.0,0.0009241084387301979,107.0
4,BAE,0.28552318147718975,855,0.005542825409924124,99,15 19 31 11 75 99,1.0,0.0052250826666054295,99.0
4,BIQAE,0.28552318147718975,9805,0.0015895339709194323,543,1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 9 9 9 9 9 23 23 51 51 51 121 121 121 261 261 261 543,1.0,0.0006937682465188444,273.0
4,CABIQAE_latentt,0.28552318147718975,7150,0.37514055096573373,197,1 1 1 1 1 3 3 3 3 3 3 9 19 19 19 19 41 41 85 85 85 197 197 197 197 197,0.0,0.0009455396833574353,100.0
5,BAE,0.33718735257277777,810,0.0028508173163086514,85,13 27 21 81 85,1.0,0.011082573265367934,85.0
5,BIQAE,0.33718735257277777,10055,0.0008623809883269162,319,1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 11 11 11 11 29 29 29 29 67 67 67 67 151 151 151 151 151 151 319 319,1.0,0.0009247224742955362,161.0
5,CABIQAE_latentt,0.33718735257277777,10885,0.032177720137807286,479,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 15 15 33 69 69 69 197 197 197 197 197 197 197 479,0.0,0.000753177497303803,241.0
6,BAE,0.15628210966997852,810,0.002732155798605529,79,5 19 39 79 69,1.0,0.00313984812326229,79.0
6,BIQAE,0.15628210966997852,6430,0.00024367320341278642,307,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 13 13 13 29 29 29 71 71 71 145 145 145 145 307,1.0,0.0009955522738764877,155.0
6,CABIQAE_latentt,0.15628210966997852,7155,0.0011551878196891519,307,1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 7 7 7 7 7 7 7 7 17 17 45 45 45 45 45 45 141 141 141 307 307,1.0,0.0009711469957254665,155.0
