rep,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth
1,BAE,0.929029790028328,7530,8.320091640867666e-05,399,11 25 29 89 97 95 101 101 195 399,1.0,0.0003478108667208657,399.0
1,BIQAE,0.929029790028328,84850,2.1257873101032665e-05,3125,1 1 1 1 1 3 3 3 9 9 21 21 21 61 61 61 61 219 219 487 487 1203 1203 1203 3125,1.0,5.939402566518259e-05,1564.0
1,CABIQAE_latentt,0.929029790028328,89100,2.0875501951511666e-05,1855,1 1 1 1 3 3 3 3 3 11 11 11 33 33 85 85 195 195 451 451 905 905 905 905 1855 1855,1.0,9.119313901179149e-05,929.0
2,BAE,0.39217616151765594,9300,0.0023217387114836674,401,7 17 63 69 51 87 35 95 101 99 97 199 401,1.0,0.0006780951744177477,401.0
2,BIQAE,0.39217616151765594,101400,4.5289300176776237e-07,2995,1 1 1 1 3 3 3 3 3 3 3 3 3 13 13 31 31 31 77 77 207 207 497 497 1219 1219 2995 2995,1.0,9.286292996751877e-05,1499.0
2,CABIQAE_latentt,0.39217616151765594,219760,2.9359077867274763e-05,1649,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 9 25 67 155 373 373 373 811 811 811 1649 1649 1649 1649 1649 1649 1649 1649 1649 1649 1649,1.0,9.77479583375851e-05,826.0
3,BAE,0.8809216103875599,9130,0.0004945040216953744,385,13 33 99 57 85 31 95 99 95 97 199 385,1.0,0.0004576788223524808,385.0
3,BIQAE,0.8809216103875599,79500,1.0755208273427463e-05,2187,1 1 1 1 1 1 1 1 1 3 3 7 7 7 15 15 33 33 85 85 197 197 399 399 1041 1041 2187 2187,1.0,8.376277293947743e-05,1095.0
3,CABIQAE_latentt,0.8809216103875599,127670,3.3513712442978516e-06,1295,1 1 1 1 1 1 3 3 7 7 15 15 39 39 119 119 119 319 319 639 639 1295 1295 1295 1295 1295 1295 1295 1295,1.0,9.463089491407173e-05,649.0
4,BAE,0.28552318147718975,8220,0.00420906685672251,399,15 25 11 71 89 101 101 101 99 199 399,0.0,0.0006120046347000696,399.0
4,BIQAE,0.28552318147718975,112930,0.00017710033684148474,2797,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 9 9 21 21 49 49 113 113 269 269 269 575 575 575 1381 1381 2797 2797,1.0,8.845760604447861e-05,1400.0
