rep,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,bias,abs_rel_error,max_depth
3,IQAE,0.8809216103875599,7247,0.0002776181904420305,185,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 87 87 87 87 87 87 87 87 87 87 87 87 87 87 87 87 87 87 185 185 185 185 185 185 185 185 185 185 185 185 185 185 185 185 185 185 185 185 185 185 185,1.0,0.0009857621431124675,-0.0002445598633971091,0.00027761819044207057,94.0
3,CABIQAE_latentt,0.8809216103875599,3940,0.0005218513538198799,215,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 15 15 15 15 15 15 15 37 37 37 37 37 37 37 37 37 37 37 37 91 91 91 91 91 91 91 91 91 91 91 91 215 215 215 215 215 215 215 215 215 215,1.0,0.0009718956575363036,-0.0004597101349899102,0.0005218513538198495,109.0
4,BAE_legacy,0.28552318147718975,974,0.0003961658339508567,199,9 13 13 23 23 41 43 53 73 85 95 77 33 101 93 99 199,1.0,0.0037401485782130317,-0.0008663916882561962,0.0030344005126792537,199.0
4,BAE_hardware,0.28552318147718975,1007,0.002240157230441131,97,1 7 11 11 25 19 35 41 57 51 59 57 59 35 81 95 39 97 31 97,1.0,0.006127931543838561,0.0006396168194446883,0.0022401572304411536,97.0
4,BIQAE,0.28552318147718975,7256,0.0006199300942449915,503,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 27 27 27 27 27 27 27 27 27 27 57 57 57 57 57 57 57 57 57 57 57 115 115 115 115 115 115 115 115 115 115 115 115 115 115 235 235 235 235 235 235 235 235 235 235 235 235 503 503 503,1.0,0.0009340946917314186,-0.00017700441280227297,0.0006199300942449526,253.0
4,IQAE,0.28552318147718975,6647,0.0008957876040657231,473,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 51 51 51 51 51 51 51 51 51 51 51 51 51 51 113 113 113 113 113 113 113 113 113 113 113 113 113 113 113 231 231 231 231 231 231 231 231 231 473 473 473,1.0,0.0009996030702171255,-0.0002557681266406875,0.0008957876040657688,238.0
4,CABIQAE_latentt,0.28552318147718975,5671,0.0010392624753448043,361,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 7 7 7 7 7 7 7 7 7 7 7 15 15 15 15 15 15 15 37 37 37 37 37 37 37 37 37 37 77 77 77 77 77 77 77 77 77 77 77 163 163 163 163 163 163 163 163 361 361 361 361 361 361 361 361,1.0,0.0009618805137209807,0.0002967335283503014,0.0010392624753447813,182.0
5,BAE_legacy,0.33718735257277777,925,0.007333390217980185,101,15 21 13 27 31 39 47 5 87 95 67 93 93 91 101 93,1.0,0.0036874242640361765,-0.0018327607794865752,0.005435437496401934,101.0
5,BAE_hardware,0.33718735257277777,1072,0.002310461894765803,101,1 7 13 13 23 15 25 45 59 51 89 71 93 33 93 101 93 53 95,1.0,0.004027761985593958,-0.0007790585295163743,0.0023104618947658306,101.0
5,BIQAE,0.33718735257277777,7663,0.0005818573602179855,341,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 15 15 15 15 15 15 15 15 15 15 15 15 15 35 35 35 35 35 35 35 35 35 75 75 75 75 75 75 75 75 75 75 75 75 163 163 163 163 163 163 163 163 163 163 163 163 341 341 341 341 341 341 341 341 341 341 341 341,1.0,0.000974666465754892,-0.00019619494286687855,0.0005818573602179586,172.0
5,IQAE,0.33718735257277777,9107,0.0010616349741071618,323,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 35 35 35 35 35 35 35 35 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 161 161 161 161 161 161 161 161 161 161 161 161 161 161 161 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323,1.0,0.0009805747224635175,-0.00035796988631786597,0.0010616349741071696,163.0
5,CABIQAE_latentt,0.33718735257277777,5201,0.014874299540287406,303,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 7 7 7 7 7 7 7 7 17 17 17 17 17 17 17 17 35 35 35 35 35 35 35 71 71 71 71 71 71 71 145 145 145 145 145 145 303 303 303 303 303 303 303 303 303 303 303,0.0,0.0009845130645333988,-0.005015425683363994,0.014874299540287402,153.0
6,BAE_legacy,0.15628210966997852,999,0.008963606557380599,171,9 17 19 29 25 25 11 39 51 67 89 101 85 101 97 35 99 171,1.0,0.0031128493786699296,0.0005577540161744998,0.003568892289413746,171.0
6,BAE_hardware,0.15628210966997852,1063,0.008673313143404249,131,1 7 11 13 19 25 31 41 51 61 61 65 91 57 101 99 99 131,1.0,0.0031030443310746114,-0.0013554836758795652,0.008673313143404224,131.0
6,BIQAE,0.15628210966997852,5769,0.004883775502607657,357,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 37 37 37 37 37 37 37 37 37 79 79 79 79 79 79 79 79 79 79 161 161 161 161 161 161 161 161 161 161 161 161 161 161 161 357 357 357 357,1.0,0.0009645909131507507,0.0007632467387020947,0.004883775502607724,180.0
6,IQAE,0.15628210966997852,7364,0.0005269618010350641,249,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 19 19 19 19 19 19 19 19 19 19 19 19 19 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 249 249 249 249 249 249 249 249 249 249 249 249 249 249 249,1.0,0.0009942717589035144,8.23547019812576e-05,0.0005269618010351045,126.0
6,CABIQAE_latentt,0.15628210966997852,4477,0.0013150806776277557,265,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 21 21 21 21 21 21 45 45 45 45 45 45 45 45 111 111 111 111 111 111 111 111 111 111 111 111 265 265 265 265 265 265 265 265 265,1.0,0.0009672398613837091,-0.00020552358268588478,0.0013150806776277186,134.0
7,BAE_legacy,0.26758966392750655,951,0.0026034893394004666,101,9 15 23 11 25 39 39 55 81 89 77 99 91 101 97 97,1.0,0.005515648231141201,-1.4589620173699469e-05,5.452236069047862e-05,101.0
7,BAE_hardware,0.26758966392750655,1057,0.00708254718466228,191,1 7 15 15 9 33 19 25 9 17 67 33 31 59 89 101 101 37 99 191,1.0,0.00473813528887429,0.0018952164208944633,0.007082547184662191,191.0
7,BIQAE,0.26758966392750655,6876,0.002407447423438014,375,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 39 39 39 39 39 39 39 39 39 39 39 39 39 83 83 83 83 83 83 83 83 83 83 83 83 181 181 181 181 181 181 181 181 181 181 181 181 181 181 375 375 375 375 375 375,1.0,0.0009813396964322985,-0.0006442080469609146,0.002407447423437995,189.0
