rep,T_noise,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth,auc_log_rmse
8,20.0,BIQAE,0.38,9900,0.0005131110662268679,143,1 1 1 1 3 11 37 143,1.0,0.001280758195267906,73.0,-7.127712320432112
8,20.0,CABIQAE_latentt,0.38,20050,0.0075661167646842165,27,1 1 1 1 1 9 9 27 27 27 27 27 27 27 27 27 27 27 27 27 27,0.0,0.0026216875042634757,15.0,-5.096766762102066
9,20.0,BAE,0.38,79600,0.001628272987065138,27,5 21 13 13 13 13 27 13 25 27 25 25 25 25 15 25 25 25 25 25 25 13 13 25 25 25 13 25 25 15 25 25 13 25 25 25 25 25 25 27 25 25 25 25 25 25 27 25 13 15 13 25 13 13 25 25 13 25 25 13 25 27 25 25 25 13 25 13 13 25 25 25 25 25 25,1.0,0.002275902657588258,27.0,-5.86213867358508
9,20.0,BIQAE,0.38,8900,0.0016415654691885884,127,1 1 3 11 35 127,1.0,0.0014248610798850703,65.0,-5.985285347471443
9,20.0,CABIQAE_latentt,0.38,13300,0.00666216241168871,27,1 1 1 1 1 9 9 27 27 27 27 27 27 27 27 27,1.0,0.0029837864604584097,15.0,-4.634694937031972
10,20.0,BAE,0.38,79050,0.004408532678047861,27,13 9 3 13 13 27 13 27 27 15 27 25 25 25 25 27 23 25 13 25 27 25 25 13 25 25 25 25 13 13 25 25 25 13 25 13 25 25 13 27 27 25 13 27 25 25 25 25 13 15 25 25 13 25 25 25 25 13 25 25 25 25 13 13 25 25 25 25 25 25 25 25 25 25,1.0,0.002376971709629805,27.0,-6.000463171360098
10,20.0,BIQAE,0.38,14500,7.045891915336e-05,211,1 1 1 3 3 15 55 211,1.0,0.0008519964041168171,107.0,-7.178199363630028
10,20.0,CABIQAE_latentt,0.38,27400,0.027496530596869295,25,1 1 3 9 9 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25,0.0,0.0029684169084628897,14.0,-5.076789809275649
11,20.0,BAE,0.38,79850,0.003131668224954254,29,5 11 17 13 25 13 13 25 13 27 25 25 25 27 25 25 25 25 25 13 25 25 25 13 25 25 13 13 15 25 13 25 25 13 25 25 29 13 25 25 13 25 25 13 25 13 27 25 25 25 25 13 27 25 13 13 25 13 25 25 25 13 25 25 25 25 25 25 25 25 25 25 23 13 27 25,1.0,0.0022699840171120367,29.0,-6.187827323800818
11,20.0,BIQAE,0.38,12050,0.00015439089189039912,167,1 1 3 3 15 51 167,1.0,0.0010834480082373699,85.0,-7.378339062755028
11,20.0,CABIQAE_latentt,0.38,23200,0.008437118134651755,13,1 1 1 3 3 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13,0.0,0.002980176296282916,8.0,-5.379110271386602
12,20.0,BAE,0.38,79700,0.002460609804397218,27,3 15 23 23 5 25 25 25 25 25 25 25 13 25 13 25 25 25 25 25 25 25 27 25 25 13 27 25 27 25 25 25 25 25 25 13 13 25 25 25 25 25 25 13 27 25 27 13 25 25 27 25 25 13 25 27 25 25 27 25 25 13 13 25 25 25 25 13 13 13 13 25 25,1.0,0.002338486408005158,27.0,-4.896498598503332
12,20.0,BIQAE,0.38,10450,0.0001879513346827455,155,1 3 11 39 155,1.0,0.001181758854567283,79.0,-7.485947158705077
12,20.0,CABIQAE_latentt,0.38,20200,0.007042136145587019,27,1 1 1 1 1 3 9 9 27 27 27 27 27 27 27 27 27 27 27 27 27 27,1.0,0.00282624470652057,15.0,-5.42163375634418
1,20.0,BAE,0.46,78950,0.004369533075484933,41,7 5 29 31 5 27 33 35 33 31 33 33 37 37 37 37 35 37 37 37 9 39 37 37 37 37 37 41 39 35 37 37 37 39 37 37 37 37 35 37 37 37 37 39 39 37 37 37,1.0,0.0038324524622082023,41.0,-5.494674556913905
1,20.0,BIQAE,0.46,11650,0.0014618034825968351,165,1 3 7 7 7 43 165,1.0,0.001137241848775311,84.0,-6.703996992885054
1,20.0,CABIQAE_latentt,0.46,22950,0.03975683935865204,7,1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029853025719556725,5.0,-3.6190092015812105
2,20.0,BAE,0.46,79450,0.002408565128040552,37,3 11 9 5 27 9 37 37 37 35 7 33 33 33 35 33 33 33 33 31 31 33 33 37 33 33 35 37 35 33 33 35 35 37 33 33 35 37 37 35 37 33 37 33 35 35 31 35 35 35 37 37,1.0,0.0034906504775183422,37.0,-5.643985147479572
2,20.0,BIQAE,0.46,12100,9.939540008774284e-05,167,1 3 3 7 7 7 47 167,1.0,0.0011056485088108137,85.0,-7.671602554100257
2,20.0,CABIQAE_latentt,0.46,18950,0.03627574862888994,7,1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002976513591312735,5.0,-3.67826793389792
3,20.0,BAE,0.46,78600,0.0032221638256488827,39,7 7 21 29 33 15 35 35 33 33 35 31 33 35 33 35 33 31 35 33 33 33 33 37 35 35 35 37 35 37 35 37 35 35 35 35 35 35 35 33 35 39 37 35 35 37 35 35 33,1.0,0.003513846434697765,39.0,-4.990172921848197
3,20.0,BIQAE,0.46,11250,0.00011751568705342663,159,1 3 7 7 7 41 159,1.0,0.0011808438828364576,81.0,-8.203437740712868
3,20.0,CABIQAE_latentt,0.46,10050,0.03139363410714169,7,1 1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029591559356930974,5.0,-4.578696418727347
4,20.0,BAE,0.46,79950,0.0034895702243435966,39,7 9 27 29 33 7 9 9 9 39 35 35 33 35 33 35 37 35 33 35 35 35 35 33 37 33 35 35 39 37 37 39 37 35 35 35 37 39 39 39 39 39 39 39 39 37 39 37 39 37,1.0,0.0037261544601032703,39.0,-5.500015053021778
4,20.0,BIQAE,0.46,9050,0.0014884899888902847,121,1 3 3 7 7 39 121,1.0,0.0015171355522972108,62.0,-7.094274501804926
4,20.0,CABIQAE_latentt,0.46,23300,0.03316656377560634,7,1 1 3 3 3 3 3 3 3 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029544533746124757,5.0,-4.000458934240595
5,20.0,BAE,0.46,79300,0.00046808852759094854,39,5 21 29 33 33 37 9 11 9 37 35 37 37 37 35 9 37 39 35 37 37 35 37 37 37 37 37 37 37 37 39 39 37 39 35 35 37 37 37 35 35 37 35 35 37 35 35 35 37,1.0,0.0035791927841528626,39.0,-5.719401143288023
