rep,T_noise,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth,auc_log_rmse
7,20.0,BAE,0.47,79900,0.002929356623338375,47,7 15 13 13 11 15 15 13 13 17 13 13 13 11 13 13 11 13 13 9 13 13 13 13 11 13 9 13 11 13 11 13 11 11 13 11 7 15 11 11 11 11 9 11 13 13 11 11 13 11 11 7 15 11 11 11 11 11 11 13 13 7 11 13 11 13 9 11 11 11 13 11 45 9 13 11 9 11 11 11 13 11 13 11 11 11 13 11 11 9 9 11 9 11 11 9 11 11 9 11 9 11 11 11 11 11 11 11 11 9 17 11 13 11 11 13 11 11 9 9 11 11 11 11 47 9 11 11 11 11 13 9 11 11 11,1.0,0.0023002213512914316,47.0,-5.692811778723193
7,20.0,BIQAE,0.47,11800,0.0005780471326231051,169,1 1 5 13 47 169,1.0,0.001097081188215776,86.0,-6.480050471265935
7,20.0,CABIQAE_latentt,0.47,21000,0.02426277438612323,7,1 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029930186468712094,5.0,-4.269529554011015
8,20.0,BAE,0.47,79850,0.004640926692978553,43,7 5 11 9 29 35 9 37 39 37 11 39 37 39 39 9 39 37 39 37 9 9 9 13 11 11 11 9 11 11 9 11 11 9 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 13 11 13 11 9 9 41 9 11 11 9 13 11 9 9 11 11 13 9 11 11 9 11 11 11 9 11 11 11 13 11 11 7 11 11 11 13 11 11 11 11 11 11 9 11 43 11 11 9 11 11 9 11 9 9 11 11 11 11 9 9 11 11 11 11,1.0,0.002572356325179437,43.0,-6.040548004448747
8,20.0,BIQAE,0.47,4750,0.002474880237978816,65,1 3 7 19 65,1.0,0.0027920895787659494,34.0,-5.599968963208886
8,20.0,CABIQAE_latentt,0.47,20500,0.027186728573878605,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029692288614771023,5.0,-4.408574776074892
9,20.0,BAE,0.47,79650,0.002504655870170791,15,7 15 11 9 9 11 9 13 11 11 11 11 11 11 13 11 9 13 11 11 11 11 11 11 13 13 11 13 11 11 11 11 11 13 9 13 11 9 9 11 11 13 11 11 11 13 11 7 13 11 11 13 11 11 11 11 11 11 11 13 11 13 7 11 11 13 11 11 11 13 11 11 11 11 13 11 13 11 15 13 11 11 11 9 11 11 11 11 9 11 11 11 11 11 9 11 7 11 9 9 9 9 11 9 11 13 11 9 11 13 11 13 11 11 9 11 9 11 11 11 9 11 13 9 11 9 11 11 11 11 13 11 9 9 11 11 11 11 11 11 11 11 13 11 11 9,1.0,0.0021978096780796985,15.0,-6.182514616992433
9,20.0,BIQAE,0.47,15050,0.0014712027460980215,209,1 3 7 7 17 57 209,1.0,0.0008944576019291328,106.0,-6.938376225072734
9,20.0,CABIQAE_latentt,0.47,22050,0.028400538657353147,7,1 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002981122490057775,5.0,-4.594165669242837
10,20.0,BAE,0.47,79950,0.0013744620009191744,45,7 5 9 9 13 11 11 37 9 11 11 11 7 11 11 11 11 11 11 11 11 11 11 13 13 11 11 11 11 11 11 11 11 11 11 9 11 11 9 11 11 11 11 13 11 11 11 11 11 11 11 11 11 11 11 13 13 11 11 11 11 11 9 11 9 9 13 13 13 11 9 11 11 11 11 11 11 11 11 9 45 15 11 13 11 11 11 11 9 11 9 11 11 11 9 9 9 13 9 11 11 11 9 13 11 11 13 11 9 11 9 11 13 11 11 11 11 11 9 11 7 11 11 9 9 9 13 11 9 11 11 11 9 11 11 11 13 11 11 11 11 9 9 9,1.0,0.002170353069506359,45.0,-6.598434623354567
10,20.0,BIQAE,0.47,12300,0.0011621720570660354,161,1 1 3 7 7 15 51 161,1.0,0.0011437608614132122,82.0,-6.430207314051907
10,20.0,CABIQAE_latentt,0.47,22400,0.025300328381278603,7,1 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002993958072061792,5.0,-4.565855689777163
11,20.0,BAE,0.47,79850,0.0029996254471967854,41,7 19 3 9 35 35 35 37 9 9 11 9 35 9 39 35 37 39 11 9 9 9 9 9 11 13 41 11 11 11 11 11 11 11 39 9 9 11 9 11 11 11 11 13 11 11 11 11 11 11 11 11 11 11 11 11 9 11 11 13 11 11 11 11 11 13 11 11 11 11 11 11 9 11 11 11 9 13 13 11 9 9 11 11 11 9 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 9 9 9 11 11 11 13 11 9 11 7 11 11 11 11 11 11 9 9 11,1.0,0.002426957250932671,41.0,-5.422362908884238
11,20.0,BIQAE,0.47,15300,0.0010029222134260163,221,1 3 11 11 59 221,1.0,0.0008462837385502242,112.0,-6.287303903682564
11,20.0,CABIQAE_latentt,0.47,22400,0.024712199735789753,7,1 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029825513149556726,5.0,-5.170346882773746
12,20.0,BAE,0.47,79650,0.0021193217025698985,33,9 21 33 11 11 11 11 11 11 9 11 11 13 9 11 11 9 11 11 13 13 13 11 11 13 9 11 11 9 11 11 11 9 11 11 11 11 11 11 11 7 11 13 11 11 9 11 11 11 13 11 11 11 11 11 9 11 11 11 11 11 11 11 7 9 9 9 9 11 11 11 13 13 11 11 13 9 11 11 13 11 11 11 9 11 11 11 11 11 11 11 11 9 11 11 11 11 11 13 11 11 11 11 13 13 11 11 11 13 11 9 11 11 9 11 9 11 11 9 11 13 11 11 11 11 11 15 13 9 9 11 11 9 11 11 11 9 11 13 13 11 11 11 13,1.0,0.0022127602986899975,33.0,-5.827990146968396
12,20.0,BIQAE,0.47,15200,0.0008570150398287124,217,1 1 3 9 9 9 55 217,1.0,0.0008626267971887092,110.0,-6.738644663465472
12,20.0,CABIQAE_latentt,0.47,19450,0.019080213846429883,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002966037063354493,5.0,-5.7875500705102505
1,20.0,BAE,0.49,79500,0.003240327525908304,21,5 9 17 15 15 17 17 19 19 17 17 17 17 19 19 17 17 17 17 19 21 19 19 19 19 19 19 15 19 17 19 17 21 17 15 19 17 19 17 17 17 19 19 17 19 17 19 17 17 19 15 19 17 17 17 17 17 19 19 19 17 19 19 17 17 19 17 17 19 19 19 19 17 17 19 19 17 21 21 19 19 17 15 17 21 17 17 15 19 17 19,1.0,0.002109113861780698,21.0,-6.152085475716467
1,20.0,BIQAE,0.49,14200,0.0013343341065314984,173,1 1 3 9 23 23 51 173,1.0,0.0010570975123577742,88.0,-7.241303068224674
1,20.0,CABIQAE_latentt,0.49,18250,0.0077047795439024735,7,1 1 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029822572720907548,5.0,-4.811994466555436
2,20.0,BAE,0.49,79650,9.800529360881605e-05,23,7 17 15 19 19 19 17 17 19 21 17 17 21 19 17 21 19 17 19 19 17 17 17 19 21 17 19 17 17 15 17 17 15 15 17 19 17 13 17 15 17 19 19 17 17 19 19 17 19 19 19 19 17 17 17 23 21 19 17 17 17 19 17 17 17 17 17 17 15 15 17 17 17 17 17 17 15 19 17 17 17 17 19 17 17 17 17 17 19 17 17 17,1.0,0.0021012278532264173,23.0,-6.058296230240889
2,20.0,BIQAE,0.49,14650,7.514628527394152e-05,179,1 3 9 25 25 51 179,1.0,0.001022760346705509,91.0,-8.974076649601885
2,20.0,CABIQAE_latentt,0.49,15600,0.006417173526483522,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029841661446277368,5.0,-6.178301915054478
3,20.0,BAE,0.49,79900,0.0013891479462672107,25,9 7 19 19 21 21 23 21 5 17 17 17 17 15 17 15 19 17 17 17 17 17 15 19 17 17 17 17 19 17 23 19 19 17 17 17 17 17 17 21 17 17 17 17 19 17 17 19 17 17 17 17 17 17 17 17 19 17 19 19 17 17 19 17 17 17 17 17 15 17 19 17 17 19 17 19 25 19 17 17 17 17 15 17 17 17 17 17 17 17 19 17 17,1.0,0.0021290462078671357,25.0,-6.80860675488822
3,20.0,BIQAE,0.49,14950,0.00023482058105361858,211,1 1 3 7 21 55 211,1.0,0.000858621657853692,107.0,-6.7398979033332225
3,20.0,CABIQAE_latentt,0.49,19450,0.004874557784663169,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,1.0,0.002918500878015956,5.0,-5.852666204148022
4,20.0,BAE,0.49,79250,0.0022902590129716405,21,5 17 15 17 17 15 17 17 17 15 15 15 17 19 15 17 17 17 17 19 17 17 17 15 17 17 17 15 17 15 17 17 17 17 17 19 17 17 21 15 17 17 15 15 17 17 17 17 19 15 17 17 15 19 17 17 19 17 17 19 19 19 19 19 17 19 17 17 17 17 19 17 17 19 17 19 19 17 15 17 17 17 17 17 19 17 21 15 17 19 19 17 17 17,1.0,0.0021261457379862514,21.0,-6.8217009461294005
4,20.0,BIQAE,0.49,13400,0.0009301907403043153,189,1 3 9 33 33 189,1.0,0.0009993433907503069,96.0,-6.556838018230817
4,20.0,CABIQAE_latentt,0.49,18050,0.001365280367650712,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,1.0,0.0029906006709315147,5.0,-6.806100577615772
5,20.0,BAE,0.49,79500,0.001934797469223426,25,7 13 17 15 19 19 17 19 19 19 19 19 21 19 17 19 17 17 17 17 17 13 17 19 15 17 17 17 17 17 19 19 17 17 17 17 17 19 17 17 17 19 17 19 15 17 17 19 21 17 17 19 15 19 15 17 19 17 17 17 23 19 17 17 17 17 19 19 19 17 19 23 25 17 23 17 17 17 17 19 17 17 17 17 13 17 19 19 21 15 19,1.0,0.0021442940837235747,25.0,-6.061033994110948
5,20.0,BIQAE,0.49,10000,0.0019213636453025984,127,1 1 3 11 11 23 23 127,1.0,0.0014724039988665005,65.0,-5.930881873282501
5,20.0,CABIQAE_latentt,0.49,19100,0.007224112848004172,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002957139396371544,5.0,-5.235669886721056
6,20.0,BAE,0.49,79700,0.001733840854446056,25,11 7 13 17 13 15 15 15 17 17 17 17 17 19 17 17 21 19 17 17 17 17 15 15 17 17 17 17 15 15 17 19 17 17 17 17 17 19 17 17 15 17 17 13 17 19 17 17 17 25 17 17 19 19 17 15 19 17 17 19 17 19 17 19 17 17 17 15 19 17 19 17 13 17 19 17 19 17 17 17 17 17 15 17 17 19 17 17 17 17 17 19 17 19 17,1.0,0.0020447439972362536,25.0,-6.408737808754069
6,20.0,BIQAE,0.49,8400,0.0017629829264442787,123,1 3 3 9 29 123,1.0,0.001511545498508654,63.0,-5.918112198806641
6,20.0,CABIQAE_latentt,0.49,18050,0.009685063112185865,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002982808753663607,5.0,-5.114021645481372
7,20.0,BAE,0.49,79900,0.0011399021713658364,21,7 17 15 19 15 17 19 17 15 17 19 17 15 19 17 19 19 19 21 19 17 17 19 19 17 17 17 19 17 17 17 17 17 17 17 15 17 19 17 19 17 19 21 21 17 17 17 17 19 17 17 17 17 17 17 19 19 17 19 15 13 15 17 17 17 17 17 17 17 19 19 17 17 19 17 19 17 15 17 17 17 15 19 19 17 19 17 17 17 17 19 17 15,1.0,0.0020377539465330496,21.0,-6.559767272889592
7,20.0,BIQAE,0.49,13000,0.0003052677695318806,171,1 3 9 25 51 171,1.0,0.0010828870122779888,87.0,-8.004438110365635
7,20.0,CABIQAE_latentt,0.49,19450,0.010105354065550465,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029790537286333574,5.0,-5.306485395127861
8,20.0,BAE,0.49,79850,0.0024153893032279328,23,7 19 17 13 7 17 19 17 17 17 17 15 19 19 19 19 23 19 19 19 19 21 19 17 17 17 15 17 17 17 19 19 19 19 17 17 23 21 21 19 21 19 19 17 17 17 21 17 23 17 19 17 19 19 17 17 19 17 17 17 23 19 19 17 17 17 17 19 19 17 17 17 17 17 17 21 19 19 19 17 15 17 19 17 19 17 17 17 19 19,1.0,0.0020803887615397088,23.0,-5.207141807356236
8,20.0,BIQAE,0.49,10350,0.0002799136699640492,143,1 1 3 7 15 37 143,1.0,0.0013121599572518128,73.0,-6.724378589759505
8,20.0,CABIQAE_latentt,0.49,20500,0.006766128242039815,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029586242082951797,5.0,-5.733825396724911
9,20.0,BAE,0.49,79550,0.0007400324232579303,23,7 15 17 19 19 19 21 21 19 17 21 19 19 23 19 19 19 17 17 19 17 17 17 19 17 17 17 17 17 17 17 17 19 19 15 17 19 17 19 17 17 19 17 17 19 19 17 17 17 17 17 17 17 19 21 19 19 19 19 17 17 17 17 17 17 19 17 17 17 17 19 17 17 21 17 19 19 19 19 15 19 19 17 19 17 17 17 19 17 17,1.0,0.002183807347119482,23.0,-5.745339683376183
9,20.0,BIQAE,0.49,13100,0.0009709531456834064,183,1 3 9 33 33 183,1.0,0.0010306526474730404,93.0,-6.6442312122130485
9,20.0,CABIQAE_latentt,0.49,20850,0.007406510019053569,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002982024111627457,5.0,-6.1296872907276665
10,20.0,BAE,0.49,79550,0.0002733477970146003,19,9 5 13 15 11 13 15 15 15 17 11 15 15 17 15 15 17 17 19 17 17 15 17 17 17 15 15 17 17 17 15 17 17 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 19 17 19 17 17 15 17 19 17 15 19 15 17 19 17 17 17 17 17 17 17 17 17 17 17 17 17 19 17 17 17 19 17 17 17 17 17 17 19 17 17 17 15 19,1.0,0.0020430929659706054,19.0,-6.048156575727383
10,20.0,BIQAE,0.49,12350,0.0006464447102425552,165,1 1 3 11 33 33 165,1.0,0.0011323083372482279,84.0,-7.000534350600109
10,20.0,CABIQAE_latentt,0.49,17700,0.002512256444568206,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,1.0,0.002977325005072723,5.0,-7.706294565320493
11,20.0,BAE,0.49,79150,0.0016819950976447728,23,9 5 17 15 19 17 19 19 19 21 19 17 19 19 17 23 19 17 17 19 19 19 19 15 17 17 21 17 21 17 17 17 17 19 17 17 17 19 15 17 17 19 17 19 17 15 19 17 19 17 19 17 15 19 19 17 17 19 19 19 19 15 17 17 17 15 19 17 17 17 17 15 15 17 11 17 19 17 17 17 19 17 17 17 19 17 19 17 17 17 17 17,1.0,0.0021484398761696943,23.0,-6.4454024273492685
11,20.0,BIQAE,0.49,15150,0.0001769382895373539,201,1 3 7 17 37 37 201,1.0,0.0009210722247902647,102.0,-7.31357764647742
11,20.0,CABIQAE_latentt,0.49,17700,0.004218262001105755,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,1.0,0.002991367989813698,5.0,-5.137727179188079
12,20.0,BAE,0.49,79950,0.0023606746434159387,23,7 17 21 17 17 19 19 19 19 17 17 21 17 19 15 17 19 15 17 17 17 17 17 17 15 15 17 15 19 21 19 17 19 17 17 17 17 17 17 23 19 17 17 17 19 17 19 21 19 17 19 15 17 17 17 17 17 17 17 17 19 17 17 17 17 19 17 15 17 19 17 17 17 15 19 19 19 17 17 17 19 19 19 17 21 17 19 17 19 17 17 19,1.0,0.002042751125936104,23.0,-6.358585891241647
12,20.0,BIQAE,0.49,5500,0.003587872688307181,71,1 1 3 7 27 71,1.0,0.0023721442052569985,37.0,-5.18680921533668
12,20.0,CABIQAE_latentt,0.49,14900,0.010238923698799751,7,1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002978772216484904,5.0,-5.73272162626177
1,20.0,BAE,0.57,79100,0.0015157850466225309,29,7 13 23 25 23 23 21 21 23 21 23 27 23 23 25 29 23 23 23 23 21 23 27 23 23 21 23 21 21 23 23 23 23 23 21 23 23 23 21 23 23 23 21 23 25 23 23 21 23 23 23 23 23 21 21 23 23 27 23 23 21 23 23 21 23 23 23 27 23 21 21,1.0,0.0022907828457677804,29.0,-6.053520699922961
1,20.0,BIQAE,0.57,7650,0.0014922904333759535,113,1 3 7 29 113,1.0,0.0016539508737555275,58.0,-6.489607818303736
1,20.0,CABIQAE_latentt,0.57,17100,0.023931738806452718,19,1 1 3 3 3 3 3 3 3 3 3 3 3 3 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19,0.0,0.0029240724122986395,11.0,-5.511150374891059
2,20.0,BAE,0.57,79600,0.0016277984241708232,25,9 21 23 19 21 21 25 21 23 23 23 23 21 23 23 23 23 21 21 23 21 25 21 21 21 23 21 23 23 21 23 21 21 21 21 21 21 21 21 21 21 21 21 19 21 19 23 21 21 21 21 21 21 21 23 21 23 21 21 23 21 23 23 25 19 25 21 21 19 21 19 21 23 23 21,1.0,0.0022434047997296203,25.0,-6.939072598398122
2,20.0,BIQAE,0.57,6550,0.0010927091243053688,89,1 1 3 3 7 27 89,1.0,0.0020639011917701344,46.0,-6.594605529015504
2,20.0,CABIQAE_latentt,0.57,21850,0.02405465065351242,19,1 1 3 3 3 3 3 3 3 3 3 3 3 3 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19,0.0,0.002928889393628009,11.0,-5.838392031640469
3,20.0,BAE,0.57,79650,0.0017779354021850713,27,9 17 27 23 23 23 25 23 23 23 25 21 23 23 23 23 23 21 21 21 23 23 23 21 23 23 21 21 23 21 21 23 23 23 23 23 25 23 23 23 23 23 23 23 21 21 19 25 21 19 23 25 21 21 23 23 23 23 23 25 23 23 23 21 23 21 23 21 25 25 23 23,1.0,0.0023142144972880807,27.0,-5.957871226012603
3,20.0,BIQAE,0.57,4600,0.0019602721107419008,63,1 3 3 3 19 63,1.0,0.0029259190908603183,33.0,-6.193338631608066
3,20.0,CABIQAE_latentt,0.57,14700,0.011262649089047616,19,1 3 3 7 7 7 19 19 19 19 19 19 19 19 19 19 19 19 19 19,0.0,0.00285722441149433,11.0,-5.388764914166943
4,20.0,BAE,0.57,79100,0.00043182284440623775,25,15 5 9 19 21 21 23 23 23 23 21 23 21 25 21 21 21 23 21 23 19 21 21 21 23 21 21 21 25 21 21 21 19 23 23 25 23 23 23 21 21 23 21 21 21 21 21 23 21 21 23 19 23 23 23 21 19 21 25 23 21 23 23 23 23 25 23 23 23 19 21 21 19 21 25,1.0,0.0022140386287726743,25.0,-6.374828497020233
4,20.0,BIQAE,0.57,8550,0.006931751683480036,125,1 3 9 33 125,0.0,0.0014698966397176383,64.0,-4.752920960786183
4,20.0,CABIQAE_latentt,0.57,12500,0.019297748496560074,19,1 1 3 3 7 7 19 19 19 19 19 19 19 19 19 19 19 19,0.0,0.002759850954887566,11.0,-5.544329094602968
5,20.0,BAE,0.57,79500,0.0026625079876169133,27,9 17 21 25 25 23 21 23 23 23 21 23 23 23 23 23 25 25 25 25 23 21 21 25 23 23 21 21 19 23 21 23 25 23 27 23 25 23 23 23 23 23 23 25 23 23 23 19 25 23 23 21 25 23 21 23 21 23 23 23 25 21 21 23 23 23 23 25 23 23 23,1.0,0.0022679255591419034,27.0,-5.319331329078776
5,20.0,BIQAE,0.57,6650,0.0003509362462147392,93,1 1 3 3 7 25 93,1.0,0.0019968914206861532,48.0,-7.151595221402408
5,20.0,CABIQAE_latentt,0.57,27250,0.012893751223348016,21,1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21,0.0,0.002989396010242673,12.0,-5.607195603352434
6,20.0,BAE,0.57,79300,0.0016025012944217432,29,11 21 17 21 21 25 27 25 25 25 23 23 25 21 29 25 9 25 25 23 23 23 23 23 25 23 23 25 21 23 23 23 21 23 23 19 23 23 23 21 23 23 23 25 21 21 21 23 23 21 21 23 23 23 23 21 25 23 23 23 23 23 23 25 23 23 25 23 21 23 23,1.0,0.002322152736478955,29.0,-5.265223954425904
6,20.0,BIQAE,0.57,10800,0.0013869440165232838,151,1 3 3 15 43 151,1.0,0.0011865648570710263,77.0,-5.935555729847556
6,20.0,CABIQAE_latentt,0.57,16600,0.018070590203617787,19,1 3 3 3 3 3 3 3 3 3 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19,0.0,0.0028418073682060507,11.0,-5.336867830320177
7,20.0,BAE,0.57,79350,0.0007707949545532333,45,5 15 23 25 27 27 25 23 23 19 45 23 21 21 21 21 21 21 21 23 21 21 23 21 21 21 21 21 21 21 21 21 23 21 21 23 21 21 23 21 21 17 21 23 19 21 21 23 23 21 21 23 23 25 23 23 21 21 21 21 21 21 21 19 21 21 21 21 21 21 23 23 21 23,1.0,0.002182492445423012,45.0,-5.712110207575403
7,20.0,BIQAE,0.57,8050,0.0012330013893292469,117,1 1 3 3 7 29 117,1.0,0.0015962120910253397,60.0,-6.286914722882164
7,20.0,CABIQAE_latentt,0.57,17450,0.01994001422661751,35,1 1 3 3 3 3 3 3 17 17 17 17 17 17 17 35 35 35 35 35 35,0.0,0.0026748155573161903,19.0,-5.021175205980292
8,20.0,BAE,0.57,79050,0.004888236630647191,27,7 5 17 23 27 25 11 21 23 23 25 25 23 21 21 23 23 23 25 23 23 23 23 23 21 23 23 25 23 23 23 23 23 23 23 23 23 23 25 23 23 23 23 23 23 23 21 23 23 23 23 21 23 23 21 25 23 23 23 19 23 23 23 23 21 23 23 23 23 23 23 23,0.0,0.002286712717336381,27.0,-5.38248303721141
8,20.0,BIQAE,0.57,5100,0.0006248615089592402,67,1 1 3 3 3 3 21 67,1.0,0.002750611290655125,35.0,-7.372441095087318
8,20.0,CABIQAE_latentt,0.57,17300,0.01911168565019916,19,1 1 3 3 3 3 3 3 3 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19,0.0,0.0028998604517452287,11.0,-4.9674014944335205
9,20.0,BAE,0.57,79450,0.0047948581100571985,27,7 19 25 23 21 21 27 27 25 23 25 23 25 25 25 21 23 23 23 25 23 23 23 25 21 23 23 23 25 23 23 25 25 23 23 23 23 21 25 23 23 21 21 21 23 25 23 23 23 23 23 25 23 21 23 25 23 21 21 23 25 25 25 23 23 23 25 23 19 23,0.0,0.0023130922967313783,27.0,-5.727905854649901
9,20.0,BIQAE,0.57,6800,0.001943333333572439,95,1 1 3 7 29 95,1.0,0.0019358381492770027,49.0,-6.0800110727805645
9,20.0,CABIQAE_latentt,0.57,5900,0.0052121917367478066,15,1 3 3 3 3 15 15 15 15 15 15 15,0.0,0.0028502302646686295,9.0,-5.676336971509571
10,20.0,BAE,0.57,79350,0.002819431620346591,43,9 15 9 21 23 21 21 25 21 25 23 23 23 23 23 23 23 23 21 23 19 23 23 23 21 23 23 23 19 23 23 23 23 21 23 23 25 23 23 27 19 23 23 21 21 23 23 19 23 27 25 23 23 23 21 23 21 23 21 23 21 23 21 21 23 23 23 23 43 21 23 23,1.0,0.0023142340185032806,43.0,-5.760869206217899
10,20.0,BIQAE,0.57,7950,0.0001617529097905912,111,1 1 1 3 3 3 7 29 111,1.0,0.001675483453390414,57.0,-7.492753116626215
10,20.0,CABIQAE_latentt,0.57,9350,0.020742884575285836,17,1 1 3 3 3 3 3 17 17 17 17 17 17 17 17 17 17,0.0,0.0029818291946082653,10.0,-5.05095923671189
11,20.0,BAE,0.57,79900,0.000473108809134426,27,9 21 27 25 27 27 25 25 25 25 23 23 27 23 25 23 23 23 23 23 23 23 23 23 21 23 21 23 25 23 19 23 23 21 23 19 21 21 23 23 23 23 21 23 25 25 23 21 23 25 23 21 23 21 23 23 21 23 21 23 23 23 23 21 23 21 23 23 23 23 25,1.0,0.0024394773490310495,27.0,-5.394034585289341
11,20.0,BIQAE,0.57,4750,1.9259466130461256e-05,65,1 1 3 3 3 19 65,1.0,0.0028425601925092248,34.0,-8.647959181894377
11,20.0,CABIQAE_latentt,0.57,12100,0.01009488529259639,31,1 3 3 3 3 15 15 15 15 15 15 15 31 31 31 31,0.0,0.00289258415730137,17.0,-5.234125096547606
12,20.0,BAE,0.57,79550,0.0006396289727177429,27,3 17 21 25 23 23 25 21 23 25 23 21 23 23 23 23 21 23 23 23 21 23 23 21 23 23 23 23 23 27 25 21 23 23 23 21 23 21 23 23 23 23 23 25 21 23 23 21 23 23 25 23 23 23 21 21 23 21 21 23 23 21 25 23 21 23 23 23 23 21 23 21,1.0,0.0022765932750395956,27.0,-6.300758940058359
12,20.0,BIQAE,0.57,7700,0.0017173417501399335,113,1 1 3 7 29 113,1.0,0.001641105261686815,58.0,-6.4473100240871455
12,20.0,CABIQAE_latentt,0.57,15950,0.015045803853057205,27,1 3 3 3 13 13 13 27 27 27 27 27 27 27 27 27 27,0.0,0.002990627310314631,15.0,-5.065498150994094
