T_noise,algorithm,n_runs,nRMSE_median,nRMSE_p90,coverage_mean,radius_median,queries_median,kmax_median,auc_log_rmse_median
20.0,BAE,72,0.0020474244182432377,0.004404632717791568,0.9444444444444444,0.0022729433373501473,79575.0,27.0,-5.897299504514627
20.0,BIQAE,72,0.0009463608122491918,0.0019025661030844575,0.9722222222222222,0.0011758308428022612,11175.0,157.0,-6.692030037965181
20.0,CABIQAE_latentt,72,0.019095949748314522,0.03728811829252018,0.1111111111111111,0.002971031827493642,19450.0,11.0,-5.058228693852993
50.0,BAE,72,0.0009905918513327672,0.0022303201211014366,0.9444444444444444,0.0013313686226817945,78675.0,61.0,-6.161186110207794
50.0,BIQAE,72,0.0007181756283205498,0.0016828045082923904,1.0,0.0011713470006597393,11200.0,159.0,-6.732623816039469
50.0,CABIQAE_latentt,72,0.005948074009927806,0.013888786395399332,0.3888888888888889,0.0028764652242020544,14500.0,37.0,-5.816019645093818
200.0,BAE,72,0.0005071877175462092,0.0011039757947152729,0.9583333333333334,0.0006030591243572636,77325.0,157.0,-6.3106467540984355
200.0,BIQAE,72,0.0008314795298645095,0.0018530795322066248,1.0,0.001228959632287141,10800.0,152.0,-6.787132685474214
200.0,CABIQAE_latentt,72,0.001386731349382886,0.003508990964538605,0.9722222222222222,0.0024965504632389474,9625.0,83.0,-6.6006615991072115
1000.0,BAE,72,0.00032333953538832283,0.0006821737355349855,0.9583333333333334,0.00030919030163098493,73350.0,369.0,-6.367994445962445
1000.0,BIQAE,72,0.000748934249917732,0.0019318238031393207,1.0,0.0012748459577864996,10000.0,144.0,-6.919194045106919
1000.0,CABIQAE_latentt,72,0.0009464850794306257,0.005357960188478867,0.8888888888888888,0.001565151085264213,9250.0,128.0,-6.7966914406735786
inf,BAE,72,0.0001715754662278135,0.0004283115545174687,0.9444444444444444,0.00014803779231234437,59050.0,783.0,-6.855946487051764
inf,BIQAE,72,0.000851648438063568,0.002362582588769024,0.9583333333333334,0.0012786693439630348,9975.0,143.0,-6.845539095526891
inf,CABIQAE_latentt,72,0.0009946936470290324,0.003923856281732151,0.9166666666666666,0.001291939077604734,9375.0,140.0,-6.832369510321039
