rep,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth
1,BAE,0.929029790028328,9725,0.001185911803066264,129,11 15 27 27 47 53 29 49 33 11 23 67 61 73 79 67 67 71 89 95 95 95 101 95 101 129 107 107 101 101,1.0,0.0016062771149203403,129.0
1,BIQAE,0.929029790028328,5055,0.00018879431816398728,191,1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 9 21 21 21 21 45 45 45 45 91 91 91 191 191,1.0,0.000901913046983227,97.0
1,CABIQAE_latentt,0.929029790028328,11495,0.0008026093799158307,83,1 1 1 1 1 1 1 1 1 3 3 3 7 7 7 7 7 7 7 19 19 19 19 19 19 19 39 39 39 39 39 39 39 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83,1.0,0.0009722282816813088,43.0
2,BAE,0.39217616151765594,9520,0.0030695215960199196,113,7 19 15 23 51 49 61 59 57 73 57 73 71 85 85 71 71 85 85 85 71 99 85 85 87 87 101 87 113,1.0,0.002527489414844042,113.0
2,BIQAE,0.39217616151765594,9060,0.0002478981225990662,449,1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 15 15 15 15 31 31 31 75 75 75 75 75 191 191 191 191 449,1.0,0.0009562739321064273,226.0
2,CABIQAE_latentt,0.39217616151765594,8705,0.008809337386526006,109,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 9 9 23 23 23 51 51 51 51 51 51 109 109 109 109 109 109 109 109 109 109 109 109,0.0,0.0009798050194358976,56.0
3,BAE,0.8809216103875599,9710,7.506504156840066e-05,91,7 21 19 29 53 65 47 65 65 9 79 83 79 83 83 83 91 87 91 87 87 87 91 87 83 87 87 87 87,1.0,0.0016460933554444113,91.0
3,BIQAE,0.8809216103875599,6970,4.514363711460856e-05,363,1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 7 7 7 7 7 7 15 15 15 15 39 39 39 83 83 83 177 177 177 363,1.0,0.0007674640982137659,183.0
3,CABIQAE_latentt,0.8809216103875599,15150,0.0013260803700024804,91,1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 7 7 15 15 15 15 15 15 15 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91,0.0,0.0009863465468937793,47.0
4,BAE,0.28552318147718975,9665,0.0010534618962323439,99,7 19 33 45 45 65 63 79 71 79 79 57 63 77 99 77 77 99 85 85 85 85 99 85 85 85 85 71,1.0,0.0023937871444740244,99.0
