rep,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth
1,BAE,0.929029790028328,7370,0.0004036413342455303,397,11 19 89 23 97 101 91 101 195 397,1.0,0.0003709339442264925,397.0
1,BIQAE,0.929029790028328,6200,0.0003275407124123664,207,1 1 1 1 3 3 3 9 9 9 27 27 27 73 73 73 73 207,1.0,0.000865618973832416,105.0
1,CABIQAE_latentt,0.929029790028328,4880,2.1233107519780248e-05,149,1 1 1 1 3 3 3 3 11 11 11 27 57 57 149 149,1.0,0.0009625929391344767,76.0
2,BAE,0.39217616151765594,8100,0.0012897810573111457,391,7 17 63 81 101 101 37 91 101 201 391,1.0,0.00058947377720453,391.0
2,BIQAE,0.39217616151765594,14800,0.0006916292389140821,685,1 1 1 1 3 3 3 3 3 3 13 13 27 27 61 61 131 131 309 685,1.0,0.0004865563630379044,344.0
2,CABIQAE_latentt,0.39217616151765594,9720,0.011684968583940303,611,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 9 25 79 219 611,0.0,0.0005893825173689249,307.0
3,BAE,0.8809216103875599,7530,0.00016887005457077997,399,7 25 27 89 101 101 97 97 199 399,1.0,0.0003967438300839232,399.0
3,BIQAE,0.8809216103875599,7700,0.0003508237754141774,291,1 1 1 1 1 1 1 3 3 7 7 7 7 25 25 55 55 139 139 291,1.0,0.0007735790197468395,147.0
3,CABIQAE_latentt,0.8809216103875599,6690,7.660636235606866e-05,297,1 1 1 1 1 1 3 3 7 7 15 15 39 39 119 119 297,1.0,0.0007925393865504393,150.0
4,BAE,0.28552318147718975,8180,0.0007215037275619673,397,15 25 11 71 99 89 99 101 101 197 397,1.0,0.0005426990036856982,397.0
4,BIQAE,0.28552318147718975,14030,0.0005937058906400061,555,1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 9 9 21 21 45 45 109 109 229 229 555,1.0,0.0005474051217955744,279.0
4,CABIQAE_latentt,0.28552318147718975,6340,0.08781776596500435,357,1 1 1 1 1 1 1 1 1 1 5 11 25 113 113 357,0.0,0.0008415755165488426,180.0
5,BAE,0.33718735257277777,7880,0.0021494123135041843,391,13 17 21 43 95 97 95 97 101 199 391,1.0,0.0006843111828620518,391.0
5,BIQAE,0.33718735257277777,9330,0.00024859736032867286,379,1 1 1 1 3 3 3 3 3 11 11 11 29 29 69 69 153 153 379,1.0,0.000906930403317241,191.0
5,CABIQAE_latentt,0.33718735257277777,8040,0.0003342750943878814,341,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 19 19 57 57 141 141 341,1.0,0.0009943183534170397,172.0
6,BAE,0.15628210966997852,7690,0.003207465922566266,401,5 27 59 95 81 95 99 99 199 401,1.0,0.0004507053267301109,401.0
6,BIQAE,0.15628210966997852,8530,0.0020694405592887044,253,1 1 1 3 3 3 3 7 15 15 15 41 41 99 99 253 253,1.0,0.0008128836678122503,128.0
6,CABIQAE_latentt,0.15628210966997852,8310,0.00024982454016275746,235,1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 9 9 21 21 21 45 107 107 235 235,1.0,0.0007591505989935216,119.0
7,BAE,0.26758966392750655,7300,0.0012444881001543173,377,11 5 33 55 97 29 97 97 99 197 377,1.0,0.0005758965404421001,377.0
7,BIQAE,0.26758966392750655,9520,0.0004159822702096694,415,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 7 19 39 39 91 91 207 415,1.0,0.0007842944230901094,209.0
7,CABIQAE_latentt,0.26758966392750655,12430,0.00015244303780881374,599,1 1 1 1 1 1 1 1 1 1 1 1 7 7 7 19 19 45 45 117 117 249 599,1.0,0.0005482218024570329,301.0
8,BAE,0.3366805359040037,8290,0.00013072827247917473,397,13 33 83 97 95 97 101 101 199 397,1.0,0.0005621877222339866,397.0
8,BIQAE,0.3366805359040037,14470,0.0002391177790679322,531,1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 9 9 19 19 19 47 47 105 105 257 257 531,1.0,0.0006030257938927086,267.0
8,CABIQAE_latentt,0.3366805359040037,10070,0.0002918243866814052,395,1 1 1 1 1 1 1 1 1 1 1 3 3 3 11 11 29 29 75 75 181 181 395,1.0,0.0008027054819401136,199.0
9,BAE,0.9176713206605386,9820,0.0001674651176214459,397,7 27 77 91 95 99 95 89 191 201 397,1.0,0.0003128334102241448,397.0
9,BIQAE,0.9176713206605386,7830,5.9821323650788294e-05,293,1 1 1 1 1 1 1 3 3 3 7 7 7 19 19 41 41 111 111 111 293,1.0,0.0006546578542854786,148.0
9,CABIQAE_latentt,0.9176713206605386,5700,0.00013108827550012414,181,1 1 1 1 3 3 7 7 29 29 63 63 181 181,1.0,0.0008642274691713081,92.0
10,BAE,0.28728482384758436,8830,0.0018595103694843962,393,13 17 27 85 61 95 79 99 97 101 199 393,1.0,0.0005136716145092146,393.0
10,BIQAE,0.28728482384758436,11710,0.0006493926182267185,531,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 7 21 21 43 43 115 115 245 531,1.0,0.0006192546054038239,267.0
10,CABIQAE_latentt,0.28728482384758436,9260,0.0007400052599738638,379,1 1 1 1 1 1 1 1 1 5 5 5 13 27 27 71 71 157 157 379,1.0,0.0008540164553564045,191.0
