rep,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth
1,BAE,0.929029790028328,49540,0.00016601642827707153,31,5 11 17 15 21 15 21 21 25 21 25 15 27 21 15 15 21 21 21 21 15 15 15 21 21 21 21 21 21 21 21 21 21 21 15 15 21 15 21 15 21 21 21 15 21 21 15 21 21 21 21 21 21 21 21 15 15 15 25 21 15 21 21 21 21 15 27 21 31 21 21 21 21 21 15 21 21 21 15 21 21 27 21 21 21,1.0,0.0014606672634158713,31.0
1,BIQAE,0.929029790028328,960,0.0018256042464506184,19,1 1 1 3 7 19,1.0,0.006092661335057259,11.0
1,CABIQAE_latentt,0.929029790028328,1290,0.001735518134940106,9,1 3 3 9 9 9 9,1.0,0.008329870310058107,6.0
2,BAE,0.39217616151765594,49960,0.0015543674111593297,29,7 15 13 17 13 15 17 13 15 15 15 13 27 15 15 15 27 15 15 15 27 15 17 15 27 15 15 27 15 15 15 15 15 27 15 15 27 27 13 15 27 27 15 15 15 27 15 15 13 15 15 15 15 27 27 15 27 15 13 15 15 15 15 27 15 15 15 15 27 17 29 15 29 29 27 29 15 15 15 27 15 29 15 15 15 29 15 15 13 15 13 15 15,1.0,0.0024928529773456942,29.0
2,BIQAE,0.39217616151765594,2250,0.0028164170870559335,45,1 3 3 3 3 17 45,1.0,0.004884371025285522,24.0
2,CABIQAE_latentt,0.39217616151765594,1830,0.022916623063842123,25,1 1 1 3 3 9 9 9 25,0.0,0.006298271919692622,14.0
3,BAE,0.8809216103875599,49690,0.0007163629892994461,33,7 15 15 21 25 25 15 29 29 29 25 15 15 15 29 15 11 15 11 15 29 15 15 15 15 15 15 29 15 29 29 29 15 29 25 25 33 25 25 29 15 29 29 25 25 25 29 25 15 29 25 15 29 29 29 29 15 15 29 29 29 29 15 15 29 29 29 29 29 25 29 29 15 25,1.0,0.0020259183801196734,33.0
3,BIQAE,0.8809216103875599,1620,2.371330379868919e-05,33,1 1 1 1 3 3 11 33,1.0,0.004486696887499808,18.0
3,CABIQAE_latentt,0.8809216103875599,1680,0.002880178557532531,7,1 3 3 7 7 7 7 7 7 7,1.0,0.009578246655665035,5.0
4,BAE,0.28552318147718975,49900,0.0009987368716284362,29,7 11 23 13 21 21 21 15 21 15 15 21 21 21 21 15 15 21 21 21 21 15 21 29 15 29 21 21 21 21 21 21 21 15 15 21 21 15 21 21 21 21 21 21 21 21 15 21 29 21 21 21 15 21 21 15 15 21 21 13 21 21 13 21 21 15 21 15 21 15 21 15 21 21 21 21 15 29 15 21 21 21 21 21 15 15 15,1.0,0.0023833349352928024,29.0
4,BIQAE,0.28552318147718975,3000,0.0070514285399037036,61,1 1 1 1 1 1 7 7 19 61,1.0,0.003257300275515379,32.0
4,CABIQAE_latentt,0.28552318147718975,1440,0.010936046923746057,13,1 1 1 1 5 13 13 13,1.0,0.009140689067277552,8.0
5,BAE,0.33718735257277777,49330,0.009089707965403093,29,3 9 11 21 29 27 21 19 19 19 19 19 19 19 19 19 29 19 19 21 11 19 19 21 21 19 21 21 19 19 19 19 19 19 19 19 19 29 29 19 19 21 19 19 19 19 19 19 19 19 11 19 19 19 19 19 19 19 29 21 19 29 19 19 29 29 19 29 19 29 19 19 21 19 19 29 21 19 19 21 29 29,0.0,0.002610914899812411,29.0
5,BIQAE,0.33718735257277777,1530,0.006845592123214228,31,1 3 3 13 31,1.0,0.006732016921680795,17.0
5,CABIQAE_latentt,0.33718735257277777,3480,0.030989949470528355,9,1 1 1 1 1 3 9 9 9 9 9 9 9 9 9 9 9 9,0.0,0.00966052839777895,6.0
6,BAE,0.15628210966997852,49810,0.012327610219205587,25,5 13 17 17 17 17 17 17 17 21 21 17 17 21 21 21 17 25 21 21 21 21 13 21 21 17 21 17 25 21 21 17 17 21 21 21 21 21 21 25 25 21 17 21 25 21 21 13 21 25 25 21 17 25 21 21 25 21 21 21 21 21 21 21 25 25 17 21 21 25 21 21 21 21 21 25 21 25 21 25 25 21,1.0,0.002043750929661997,25.0
6,BIQAE,0.15628210966997852,1410,0.019968483479254395,25,1 1 3 3 7 7 25,1.0,0.006539422462712455,14.0
6,CABIQAE_latentt,0.15628210966997852,2940,0.09289468576989479,13,1 1 1 5 5 5 5 5 5 13 13 13 13 13,0.0,0.009398889159208446,8.0
7,BAE,0.26758966392750655,49570,0.004049513206871969,25,11 5 13 19 19 25 19 19 13 19 19 19 19 19 25 19 19 19 19 19 19 19 13 25 19 25 19 19 19 19 19 25 19 19 19 19 13 19 19 25 19 25 19 19 19 25 19 19 25 19 25 25 19 25 13 19 19 19 13 19 19 13 19 25 25 19 13 19 19 19 19 19 19 19 13 19 19 13 19 19 13 19 19 19 19 25 13 19,1.0,0.0023116277294771836,25.0
7,BIQAE,0.26758966392750655,1440,0.01916842386620754,29,1 1 1 1 1 1 1 3 9 29,1.0,0.006349601116299702,16.0
7,CABIQAE_latentt,0.26758966392750655,2700,0.009012062449033409,7,1 1 1 1 1 1 7 7 7 7 7 7 7 7 7 7 7 7,1.0,0.009521743890602674,5.0
8,BAE,0.3366805359040037,49480,0.0020711859132875876,29,7 9 19 19 11 19 19 19 27 29 19 19 19 29 19 19 19 19 19 19 29 19 19 19 19 29 19 19 27 19 19 19 19 29 19 19 19 29 29 19 29 19 19 29 19 29 19 19 29 29 29 19 27 29 29 19 19 19 19 19 29 29 19 19 17 19 19 19 29 17 19 27 27 19 27 27 19,1.0,0.0028837657936306438,29.0
8,BIQAE,0.3366805359040037,1320,0.0004033168255422881,27,1 1 1 3 11 27,1.0,0.007780210116696634,15.0
8,CABIQAE_latentt,0.3366805359040037,2160,0.011837327253524155,9,1 1 1 3 3 9 9 9 9 9 9 9,1.0,0.009067811230013822,6.0
