algorithm,algorithm_key,cva_relative_error_median,cva_relative_error_median_ci_high,cva_relative_error_median_ci_low,epsilon_target,final_queries_mean,final_queries_median,final_queries_median_ci_high,final_queries_median_ci_low,final_queries_se,final_queries_std,mean_final_queries,median_final_queries,n_failed,n_requested,n_success,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_relative_error_mean,processed_relative_error_median,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,processed_relative_error_std,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,runtime_wall_seconds_std,success_rate
CABIQAE,cabiqae,1.1182010219759901,1.2534925980543747,1.0505552121715915,0.1,1025.28,640.0,640.0,640.0,75.13332268559523,751.3332268559524,1025.28,640.0,0,100,100,1.1177273754536927,1.1182010219759897,1.2704040407873611,1.0505552121715915,0.0483703083818934,0.483703083818934,1.1177273754536932,1.1182010219759901,1.2534925980543747,1.0505552121715915,0.04837030838189341,0.48370308381893407,0.033124077009852045,0.0023845999967306852,0.0032852001022547483,0.0022388999932445586,0.004664159436907534,0.04664159436907534,1.0
CABIQAE,cabiqae,0.7235918845244778,0.9056181217444177,0.5871000419637439,0.05,13756.16,12672.0,13952.0,11904.0,562.6809876678154,5626.809876678154,13756.16,12672.0,0,100,100,0.9320487960186064,0.7235918845244774,0.8964172160819447,0.568731219039644,0.06623525057274589,0.6623525057274589,0.9320487960186066,0.7235918845244778,0.9056181217444177,0.5871000419637439,0.0662352505727459,0.662352505727459,0.11634572000417392,0.11026089993538335,0.11920279997866601,0.10455735001596622,0.0029316326357294808,0.02931632635729481,1.0
CABIQAE,cabiqae,0.163252155523266,0.3676464382248099,0.07872604018247129,0.02,238245.92592592593,189184.0,299648.0,114816.0,32973.07396663079,171333.11817579358,238245.92592592593,189184.0,0,100,27,0.5884409779839557,0.163252155523266,0.36764643822480975,0.07872604018247133,0.15039966337764782,0.7814995752340266,0.5884409779839557,0.163252155523266,0.3676464382248099,0.07872604018247129,0.15039966337764782,0.7814995752340267,0.28828398138284683,0.23401339998235926,0.35501169943017885,0.18519240006571636,0.025438238625254114,0.1321809652620036,0.27
CABIQAE,cabiqae,,,,0.01,,,,,,,,,0,100,0,,,,,,,,,,,,,,,,,,,0.0
CABIQAE,cabiqae,,,,0.005,,,,,,,,,0,100,0,,,,,,,,,,,,,,,,,,,0.0
CABIQAE,cabiqae,,,,0.002,,,,,,,,,0,100,0,,,,,,,,,,,,,,,,,,,0.0
CABIQAE,cabiqae,,,,0.001,,,,,,,,,0,100,0,,,,,,,,,,,,,,,,,,,0.0
