amplification_factor,contrast_baseline,contrast_mitigated,contrast_mitigated_se,contrast_relative_se,contrast_signal_z,grover_power,p_hw_mitigated,p_hw_mitigated_se,p_ideal,p_raw,p_raw_se,shots,signal_z_from_baseline,signal_z_from_half,used_in_fit,visible_by_contrast
1,0.14032,-6.507634204098056,0.1451503314404069,,,0,0.18878173828125,0.001080920831301799,0.13287309429489258,0.18878173828125,0.001080920831301799,131072,44.83375366435067,287.9195707089265,False,False
3,0.14032,0.12050234499746164,0.003424313178549391,0.028416983741034445,35.190223181779444,1,0.220977783203125,0.0022920509138710846,0.8096661708552149,0.220977783203125,0.0022920509138710846,32768,35.190223181779444,121.73473770075618,True,True
5,0.14032,0.04050491082407245,0.0026873309210857844,0.06634580514836434,15.07254298540461,2,0.171722412109375,0.0020834183149972306,0.9155941944246487,0.171722412109375,0.0020834183149972306,32768,15.07254298540461,157.56681484825162,True,True
7,0.14032,0.03394803144802164,0.016867493579445423,0.4968621996616065,2.01263046510896,3,0.14422607421875,0.001940780628369616,0.2553804041571792,0.14422607421875,0.001940780628369616,32768,2.01263046510896,183.3148582486232,True,False
9,0.14032,0.04017330850080643,0.02013566320449616,0.501219938210764,1.9951321241723985,4,0.13653564453125,0.0018967944142144423,0.046119258015454856,0.13653564453125,0.0018967944142144423,32768,1.9951321241723983,191.6203214987212,False,False
