a_true,abs_error,algorithm,algorithm_key,amplification_factor_max,backend,backend_mode,backend_name,calibration_source_run_dir,channel,ci_high,ci_low,circuit_prepare_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,construct_circuit_mode,construct_circuit_wall_seconds,coverage,cva_abs_error,cva_ci_high,cva_ci_low,cva_estimate,cva_relative_error,cva_true,epsilon_target,estimate,execution_context,execution_max_grover_power,extrapolated_replay_ks_json,final_abs_error,final_estimate,final_normalized_abs_error,final_queries,hardware_executor,hardware_mode,instance_name,k_max,n_extrapolated_replay_ks,n_shots,n_trace_steps,normalized_abs_error,processed_abs_error,processed_ci_high,processed_ci_low,processed_estimate,processed_relative_error,processed_true_value,query_budget_actual,repetition,replay_probability_mode,run_kind,runtime_wall_seconds,target_name
0.1328730942948926,0.14857882983366097,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.37624614131276907,0.18665770694433803,0.00021979992743581533,4,1,1,metadata_only,0.00021979992743581533,0.0,0.6782954219697857,1.7176473624941053,0.8521339698089255,1.2848906661515156,1.1182010219759901,0.6065952441817299,0.1,0.2814519241285536,calibration_replay_final_eps_00_rep_000,,[],0.14857882983366097,0.2814519241285536,1.1182010219759897,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.1182010219759897,0.6782954219697857,1.7176473624941053,0.8521339698089255,1.2848906661515156,1.1182010219759901,0.6065952441817299,640.0,0,normal,calibration_replay_final,0.0032852001022547483,cva
0.1328730942948926,0.11432880212875066,CABIQAE,cabiqae,5,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.3454915028125263,0.14891229003476028,0.00040749995969235897,3,2,2,metadata_only,0.00040749995969235897,0.0,0.5219364237155417,1.5772455938006469,0.6798177419938967,1.1285316678972717,0.8604360629625621,0.6065952441817299,0.1,0.24720189642364326,calibration_replay_final_eps_00_rep_001,,[],0.11432880212875066,0.24720189642364326,0.860436062962562,1152.0,qctrl,replay-only,premium_new_usa,2,0,128,5,0.860436062962562,0.5219364237155417,1.5772455938006469,0.6798177419938967,1.1285316678972717,0.8604360629625621,0.6065952441817299,1152.0,1,normal,calibration_replay_final,0.11322260007727891,cva
0.1328730942948926,0.062283812848492576,CABIQAE,cabiqae,5,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.2948223114742441,0.09549150281252627,0.0005199000588618219,4,2,2,metadata_only,0.0005199000588618219,1.0,0.28433946589330517,1.3459294597447735,0.43593996040529664,0.8909347100750351,0.46874661254040406,0.6065952441817299,0.1,0.19515690714338518,calibration_replay_final_eps_00_rep_002,,[],0.062283812848492576,0.19515690714338518,0.4687466125404039,2304.0,qctrl,replay-only,premium_new_usa,2,0,128,6,0.4687466125404039,0.28433946589330517,1.3459294597447735,0.43593996040529664,0.8909347100750351,0.46874661254040406,0.6065952441817299,2304.0,2,normal,calibration_replay_final,0.1032432999345474,cva
0.1328730942948926,0.1890261932044722,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.4193200951800113,0.22447847981871827,0.0002161000738851726,4,1,1,metadata_only,0.0002161000738851726,0.0,0.862946636654168,1.9142895472992851,1.0247942143725104,1.469541880835898,1.4226069935946246,0.6065952441817299,0.1,0.3218992874993648,calibration_replay_final_eps_00_rep_003,,[],0.1890261932044722,0.3218992874993648,1.4226069935946244,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.4226069935946244,0.862946636654168,1.9142895472992851,1.0247942143725104,1.469541880835898,1.4226069935946246,0.6065952441817299,640.0,3,normal,calibration_replay_final,0.0033132999669760466,cva
0.1328730942948926,0.0553984078631749,CABIQAE,cabiqae,5,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.28105150150360875,0.09549150281252627,0.00040060002356767654,3,2,2,metadata_only,0.00040060002356767654,1.0,0.25290605990149917,1.2830626477611615,0.43593996040529664,0.8595013040832291,0.41692720529429506,0.6065952441817299,0.1,0.1882715021580675,calibration_replay_final_eps_00_rep_004,,[],0.0553984078631749,0.1882715021580675,0.41692720529429494,1152.0,qctrl,replay-only,premium_new_usa,2,0,128,5,0.41692720529429494,0.25290605990149917,1.2830626477611615,0.43593996040529664,0.8595013040832291,0.41692720529429506,0.6065952441817299,1152.0,4,normal,calibration_replay_final,0.09435339999618009,cva
0.1328730942948926,0.2733972345136759,CABIQAE,cabiqae,3,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.48821440520161286,0.3243262524155242,0.0004894999437965453,6,2,2,metadata_only,0.0004894999437965453,0.0,1.248119215620672,2.2288074038454435,1.4806215157593603,1.854714459802402,2.057581604195281,0.6065952441817299,0.1,0.4062703288085685,calibration_replay_final_eps_00_rep_005,,[],0.2733972345136759,0.4062703288085685,2.057581604195281,2304.0,qctrl,replay-only,premium_new_usa,1,0,128,8,2.057581604195281,1.248119215620672,2.2288074038454435,1.4806215157593603,1.854714459802402,2.057581604195281,0.6065952441817299,2304.0,5,normal,calibration_replay_final,0.10759100009454414,cva
0.1328730942948926,0.1395905217688668,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.36664744667929333,0.17827978544822545,0.00020759995095431805,4,1,1,metadata_only,0.00020759995095431805,0.0,0.6372617954536157,1.673827185460395,0.8138868938102963,1.2438570396353457,1.0505552121715915,0.6065952441817299,0.1,0.2724636160637594,calibration_replay_final_eps_00_rep_006,,[],0.1395905217688668,0.2724636160637594,1.0505552121715915,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.0505552121715915,0.6372617954536157,1.673827185460395,0.8138868938102963,1.2438570396353457,1.0505552121715915,0.6065952441817299,640.0,6,normal,calibration_replay_final,0.0025400000740773976,cva
0.1328730942948926,0.0545961127724883,CABIQAE,cabiqae,5,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.27944691132223554,0.09549150281252627,0.0004271000507287681,3,2,2,metadata_only,0.0004271000507287681,1.0,0.24924340427491498,1.2757373365079931,0.43593996040529664,0.8558386484566449,0.4108891499984199,0.6065952441817299,0.1,0.1874692070673809,calibration_replay_final_eps_00_rep_007,,[],0.0545961127724883,0.1874692070673809,0.41088914999841974,1664.0,qctrl,replay-only,premium_new_usa,2,0,128,5,0.41088914999841974,0.24924340427491498,1.2757373365079931,0.43593996040529664,0.8558386484566449,0.4108891499984199,0.6065952441817299,1664.0,7,normal,calibration_replay_final,0.11933149991091341,cva
0.1328730942948926,0.1395905217688668,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.36664744667929333,0.17827978544822545,0.0001784000196494162,4,1,1,metadata_only,0.0001784000196494162,0.0,0.6372617954536157,1.673827185460395,0.8138868938102963,1.2438570396353457,1.0505552121715915,0.6065952441817299,0.1,0.2724636160637594,calibration_replay_final_eps_00_rep_008,,[],0.1395905217688668,0.2724636160637594,1.0505552121715915,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.0505552121715915,0.6372617954536157,1.673827185460395,0.8138868938102963,1.2438570396353457,1.0505552121715915,0.6065952441817299,640.0,8,normal,calibration_replay_final,0.00210089999018237,cva
0.1328730942948926,0.19352034259191772,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.4240943876086667,0.22869248616495397,0.00017929996829479933,4,1,1,metadata_only,0.00017929996829479933,0.0,0.8834634287070153,1.93608525467649,1.0440320911010006,1.4900586728887453,1.4564298635390198,0.6065952441817299,0.1,0.32639343688681033,calibration_replay_final_eps_00_rep_009,,[],0.19352034259191772,0.32639343688681033,1.4564298635390196,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.4564298635390196,0.8834634287070153,1.93608525467649,1.0440320911010006,1.4900586728887453,1.4564298635390198,0.6065952441817299,640.0,9,normal,calibration_replay_final,0.001981400011572987,cva
