target_name,algorithm,algorithm_key,budget,query_budget_actual_median,normalized_abs_error_median,processed_relative_error_median,cva_relative_error_median,coverage,coverage_ci_low,coverage_ci_high,coverage_se,coverage_n,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
cva,BIQAE,biqae,512,512.0,0.3658204755265745,0.3658204755265744,0.3658204755265744,0.0,0.0,0.0,0.0,25,0.04687261506422609,0.05338482131338734,3.0,0.2356376966034049,0.13234367436967343,1.0,0.053212976930941666,0.03979808803869645,25,25,0.3654269714913018,0.2717232768154022,0.32119546174577734,0.3910535203687677,0.3247871571528054,0.024302404352700282,0.12151202176350141,0.2356376966034049,0.25189117874200356,0.2092067085301671,0.015654024218715056,0.39105352036876767,0.32478715715280554,0.02430240435270028,368.64,2.21846919186973,1.5825908660101886,1.9096367304018198,2.4686007913070447,2.5882653024376983,1.2800549709526874,0.16564131707180946,1.0,25
cva,BIQAE,biqae,608,512.0,0.3658204755265745,0.3658204755265744,0.3658204755265744,0.0,0.0,0.0,0.0,25,0.04687261506422609,0.05338482131338734,3.0,0.2356376966034049,0.13234367436967343,1.0,0.05319859540757395,0.03944565803071818,25,25,0.3654299864280957,0.27188043795970274,0.32119546174577734,0.3910535203687677,0.3247871571528054,0.024302404352700282,0.12151202176350141,0.2356376966034049,0.25189117874200356,0.2092067085301671,0.015654024218715056,0.39105352036876767,0.32478715715280554,0.02430240435270028,368.64,2.219660552716186,1.5847562741721108,1.9096367304018198,2.4686007913070447,2.5882653024376983,1.2800549709526874,0.16564131707180946,1.0,25
cva,BIQAE,biqae,724,512.0,0.37605801572695186,0.3760580157269519,0.3760580157269519,0.0,0.0,0.0,0.0,25,0.05011614879861658,0.054878803446287566,3.0,0.24223205245029755,0.12859951003622444,1.0,0.0551171550212767,0.04449906720905313,25,25,0.37824918852853967,0.30427048874599616,0.34342183665739784,0.4003053912645931,0.33636853596877603,0.019118093126505076,0.09559046563252538,0.24223205245029755,0.2578506306945666,0.2166666775867338,0.012314628975577361,0.4003053912645931,0.33636853596877603,0.01911809312650507,399.36,2.40474400229289,1.724332597877084,2.0706342397892805,2.4953608222254036,2.684356967442084,1.2800549709526874,0.17957674440945579,1.0,25
cva,BIQAE,biqae,861,512.0,0.3795234165358808,0.3795234165358809,0.3795234165358809,0.0,0.0,0.0,0.0,25,0.05107774813011542,0.05538451544258205,3.0,0.24446423768609715,0.12956110936772328,1.0,0.056364677485278784,0.0450909244861111,25,25,0.3860951805816667,0.3099422813600775,0.3500112138635125,0.4003053912645931,0.3454849318104154,0.020002977080975867,0.10001488540487934,0.24446423768609715,0.2578506306945666,0.22253886534319167,0.01288461351920541,0.4003053912645931,0.34548493181041534,0.020002977080975863,501.76,2.96762244447457,2.2577843888976767,2.6175726245182362,2.6755207814005484,2.8929092166702803,2.4838208869585525,0.18584779251575503,1.0,25
cva,BIQAE,biqae,1024,512.0,0.3958907503183396,0.3958907503183397,0.3958907503183397,0.0,0.0,0.0,0.0,25,0.05855911179952613,0.0577730290655426,3.0,0.25500700685856115,0.137042473037134,1.0,0.06126283746571064,0.05576090364262293,25,25,0.42079291508500605,0.3823824029805151,0.4012773967933924,0.4313677481122822,0.3795234165358808,0.009904782653134634,0.04952391326567317,0.25500700685856115,0.27785897552033556,0.24446423768609715,0.006380015132784615,0.43136774811228223,0.3795234165358809,0.009904782653134641,655.36,3.730470089304214,3.075462045111338,3.395903765326455,2.920712756100906,4.130323199998092,2.684356967442084,0.1706013744087165,1.0,25
cva,BIQAE,biqae,1217,512.0,0.3958907503183396,0.3958907503183397,0.3958907503183397,0.0,0.0,0.0,0.0,25,0.05855911179952613,0.0577730290655426,3.0,0.25500700685856115,0.137042473037134,1.0,0.061304796708474225,0.05574642781708658,25,25,0.41986720090262863,0.38233182979075286,0.4012773967933924,0.4313677481122822,0.3795234165358808,0.009904782653134634,0.04952391326567317,0.25500700685856115,0.27785897552033556,0.24446423768609715,0.006380015132784615,0.43136774811228223,0.3795234165358809,0.009904782653134641,655.36,3.72888753951517,3.075893233823819,3.395903765326455,2.920712756100906,4.130323199998092,2.684356967442084,0.1706013744087165,1.0,25
cva,BIQAE,biqae,1448,512.0,0.3958907503183396,0.3958907503183397,0.3958907503183397,0.0,0.0,0.0,0.0,25,0.05855911179952613,0.0577730290655426,3.0,0.25500700685856115,0.137042473037134,1.0,0.06127761551746175,0.055700802577614034,25,25,0.41994694527226,0.38213771861860135,0.4012773967933924,0.4313677481122822,0.3795234165358808,0.009904782653134634,0.04952391326567317,0.25500700685856115,0.27785897552033556,0.24446423768609715,0.006380015132784615,0.43136774811228223,0.3795234165358809,0.009904782653134641,655.36,3.7301167988766566,3.073889493259514,3.395903765326455,2.920712756100906,4.130323199998092,2.684356967442084,0.1706013744087165,1.0,25
cva,BIQAE,biqae,1722,640.0,0.3958907503183396,0.3958907503183397,0.3958907503183397,0.0,0.0,0.0,0.0,25,0.05851320048651318,0.0577730290655426,3.0,0.25500700685856115,0.13708838435014695,1.0,0.06122067145814909,0.055710940287768455,25,25,0.41926535624660943,0.3817270259087544,0.4009627886717346,0.4313677481122822,0.3795234165358808,0.009817222838523435,0.04908611419261718,0.25500700685856115,0.27785897552033556,0.24446423768609715,0.006323614809647141,0.43136774811228223,0.3795234165358809,0.009817222838523446,701.44,4.218605944900074,3.1745170070712767,3.6403169946187135,3.2911751208798754,4.256334936449731,2.684356967442084,0.273840234910178,1.0,25
cva,BIQAE,biqae,2048,640.0,0.3958907503183396,0.3958907503183397,0.3958907503183397,0.0,0.0,0.0,0.0,25,0.05851320048651318,0.0577730290655426,3.0,0.25500700685856115,0.13708838435014695,1.0,0.06121520013905515,0.055773399228845305,25,25,0.41931383680044565,0.38177954282227666,0.4009627886717346,0.4313677481122822,0.3795234165358808,0.009817222838523435,0.04908611419261718,0.25500700685856115,0.27785897552033556,0.24446423768609715,0.006323614809647141,0.43136774811228223,0.3795234165358809,0.009817222838523446,701.44,4.200188370694981,3.170242122444939,3.6403169946187135,3.2911751208798754,4.256334936449731,2.684356967442084,0.273840234910178,1.0,25
cva,BIQAE,biqae,2435,2176.0,0.4568556046203426,0.4568556046203425,0.4568556046203425,0.0,0.0,0.0,0.0,25,0.06415217445517608,0.06666973679800166,13.0,0.2942765907188078,0.13144941038148406,6.0,0.06659288355288086,0.061272313407814985,25,25,0.455929463927048,0.4194994744329936,0.43960396209795205,0.4680014294548019,0.44003328789017043,0.009569253350630339,0.04784626675315169,0.2942765907188078,0.3014560043012666,0.2834407511990958,0.006163889034672543,0.4680014294548019,0.4400332878901703,0.009569253350630335,1566.72,9.48730094386667,6.694414574384384,8.119708879665538,10.491553363054939,11.000127535360217,4.444179320770896,0.7098214958670102,1.0,25
cva,BIQAE,biqae,2896,2176.0,0.4568556046203426,0.4568556046203425,0.4568556046203425,0.0,0.0,0.0,0.0,25,0.06380010693781582,0.06666973679800166,13.0,0.2942765907188078,0.1318014778988443,6.0,0.06653316071232765,0.060215422057692106,25,25,0.45606957099414774,0.41354341876219797,0.4371914129229323,0.4680014294548019,0.44003328789017043,0.011381787407572275,0.056908937037861373,0.2942765907188078,0.3014560043012666,0.2834407511990958,0.007331405285856238,0.4680014294548019,0.4400332878901703,0.011381787407572275,1653.76,9.966213465153741,7.179619944626993,8.584428283088151,10.556238769573847,11.370963320952331,4.480192398334406,0.7332753798209042,1.0,25
cva,BIQAE,biqae,3444,2176.0,0.4568556046203426,0.4568556046203425,0.4568556046203425,0.0,0.0,0.0,0.0,25,0.06380010693781582,0.06666973679800166,13.0,0.2942765907188078,0.1318014778988443,6.0,0.06655576213958693,0.06016713042514111,25,25,0.45593671607687786,0.4128539898103778,0.4371914129229323,0.4680014294548019,0.44003328789017043,0.011381787407572275,0.056908937037861373,0.2942765907188078,0.3014560043012666,0.2834407511990958,0.007331405285856238,0.4680014294548019,0.4400332878901703,0.011381787407572275,1653.76,9.977108414803842,7.145476338935083,8.584428283088151,10.556238769573847,11.370963320952331,4.480192398334406,0.7332753798209042,1.0,25
cva,BIQAE,biqae,4096,2176.0,0.46953217044823115,0.46953217044823126,0.46953217044823126,0.0,0.0,0.0,0.0,25,0.06635835315974065,0.06851965020324532,13.0,0.3024420078355655,0.13435972412076913,6.0,0.06891280093014061,0.06275913427601304,25,25,0.47219033950197986,0.42931037841896064,0.4547218424793935,0.47810301831524615,0.4579194595187034,0.011340482222010223,0.056702411110051115,0.3024420078355655,0.3079627891598325,0.29496185667449043,0.007304799178667715,0.4781030183152461,0.45791945951870333,0.01134048222201023,2421.76,14.646229200525546,10.434365102711538,12.526038210441817,11.408517111628857,12.41302921342885,10.605283494457964,1.0999373555473848,1.0,25
