target_name,algorithm,algorithm_key,budget,query_budget_actual_median,normalized_abs_error_median,processed_relative_error_median,cva_relative_error_median,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
cva,BIQAE,biqae,128,128.0,0.13681447481684608,0.13681447481684594,0.13681447481684594,0.02494804710274302,0.019965575411460768,1.0,0.08812696353707572,0.16189571515829787,0.0,0.032032331450654865,0.018159504534959053,25,25,0.22086301876644857,0.12446228311969781,0.17095695424377436,0.22223813593868044,0.08550219076103702,0.02494579750936092,0.1247289875468046,0.08812696353707572,0.14315131588696683,0.05507493602285285,0.016068456137069767,0.22223813593868058,0.08550219076103702,0.02494579750936093,128.0,0.6765919359484389,0.6518566574384386,0.6641159726218636,0.6636610197676291,0.6834108873861968,0.6371135500000188,0.006534910039299577,1.0,25
cva,BIQAE,biqae,256,256.0,0.17385229775483707,0.1738522977548371,0.1738522977548371,0.025239496808926194,0.025370569641309154,1.0,0.11198431398130748,0.1679572781763179,0.0,0.03492646318012205,0.01616118281451924,8,8,0.2393339605780131,0.11074480417520387,0.17295411874643557,0.22623883496915698,0.08809505312893723,0.035300237637509155,0.09984414964391726,0.11198431398130748,0.1457283053323717,0.056745088889780804,0.022738111294842562,0.22623883496915712,0.08809505312893723,0.03530023763750916,256.0,1.344128117089088,1.2772219369502489,1.3083254039008159,1.2965864562460439,1.3668217747723936,1.2608047469757324,0.01831568356138531,0.32,25
cva,BIQAE,biqae,512,512.0,0.3858083640523125,0.3858083640523125,0.3858083640523125,0.057146364540669556,0.05630168881743419,3.0,0.24851259105919216,0.08878538309194563,1.0,0.060268953829551525,0.05431719201623855,13,13,0.4124843315547271,0.3718578607694724,0.39159652007002743,0.4061130836355161,0.3658204755265745,0.0109765533232353,0.039576525834789524,0.24851259105919216,0.26159156742287737,0.2356376966034049,0.0070703799124653514,0.4061130836355161,0.3658204755265744,0.010976553323235296,512.0,2.7361658829187423,2.5782046106885703,2.656894085014938,2.6755207814005484,2.7395887804933166,2.533105562793004,0.042258501838620774,0.52,25
cva,BIQAE,biqae,896,896.0,0.4352053885720088,0.4352053885720089,0.4352053885720089,0.0620872965050562,0.06351028293344461,5.0,0.28033093326687875,0.20801904413767133,2.0,0.06579475532430216,0.058085309582191796,10,10,0.4507663092941673,0.3982130073011704,0.42545434775002944,0.46953217044823115,0.3855468467727238,0.014213781000976982,0.04494792212591526,0.28033093326687875,0.3024420078355655,0.24834413868020622,0.009155590895436777,0.46953217044823126,0.385546846772724,0.014213781000976991,844.8,4.52732847145678,4.207705775383983,4.36497414701563,4.4109703817558925,4.520046058079398,4.130323199998092,0.08706109300055354,0.4,25
cva,BIQAE,biqae,2176,2176.0,0.46039558450694973,0.4603955845069497,0.4603955845069497,0.06727264259942493,0.06718633224943854,13.0,0.296556814933436,0.07865910503319025,6.0,0.0684267716562922,0.06613182565031347,13,13,0.46886429661321205,0.45335202304459515,0.4609870277767423,0.4763361165405603,0.44610957130587736,0.0041482893475920405,0.01495686994820416,0.296556814933436,0.3068246662493745,0.2873546967646787,0.002672057503899947,0.47633611654056024,0.4461095713058773,0.004148289347592041,2185.846153846154,11.670160151883504,10.97420761110444,11.315376369580992,11.370963320952331,11.848230435167551,10.765698641870268,0.18383042062473182,0.52,25
cva,BIQAE,biqae,4096,4096.0,0.48679522371764616,0.48679522371764616,0.48679522371764616,0.07103350180180144,0.07103887773632599,25.0,0.3135617410951417,0.21696524943441664,12.0,0.07183624017841506,0.07021957540379965,6,6,0.4923749700540944,0.48118093932910494,0.48675838502687624,0.4949911350428819,0.4784887963201009,0.003176594631076091,0.007781035965800999,0.3135617410951417,0.31884101274734866,0.30821128219547633,0.002046155127954662,0.494991135042882,0.478488796320101,0.0031765946310760938,4053.3333333333335,21.469858232213962,20.333873168958643,20.79910035129119,20.52718557401975,21.633993263013554,20.236122216840272,0.33454623334567407,0.24,25
cva,BIQAE,biqae,11008,11008.0,0.46078639209451544,0.46078639209451544,0.46078639209451544,0.06666980741372118,0.0672433634836801,69.0,0.2968085476983026,0.079261940218894,34.0,0.06818737655924366,0.06494258644101604,13,13,0.46743070300719747,0.44523954792723913,0.45685608851586684,0.46512132828956715,0.44806452799293955,0.005930889707468152,0.02138412694939804,0.2968085476983026,0.29960083093082085,0.28861395238735993,0.0038202924192938348,0.4651213282895671,0.44806452799293955,0.005930889707468156,11254.153846153846,60.45130261549961,56.368746399047296,58.199945364531565,57.2611020383072,59.87461150006857,56.16157000011299,1.115458949333484,0.52,25
cva,BIQAE,biqae,22912,22912.0,0.4952409284878516,0.4952409284878517,0.4952409284878517,0.06811528128771764,0.07227137419343119,147.0,0.3190019133965388,0.2140470289203328,73.0,0.0735040982015205,0.05984685126252755,7,7,0.5040083815239786,0.4103302387325674,0.4667612249748329,0.5122050188561872,0.4674360749902633,0.027657768063309468,0.07317557611462139,0.3190019133965388,0.32992907424944806,0.3010918398197774,0.017815330730868363,0.5122050188561873,0.46743607499026346,0.02765776806330947,22985.14285714286,123.19671912865513,112.30878226934166,117.99033504293766,116.18354510015342,125.2837532000849,114.14969540003221,2.9609296952939497,0.28,25
cva,CABIQAE,cabiqae_latentt,128,128.0,0.15990192062339115,0.1599019206233912,0.1599019206233912,0.0317541496930765,0.023334766726383183,1.0,0.10299839068308048,0.17243164236501093,0.0,0.04337692266918392,0.020803115932252907,25,25,0.2945896484536606,0.14446677778337266,0.21759589813875135,0.22024710754308738,0.08153896533478729,0.03995890697312095,0.19979453486560472,0.10299839068308048,0.14186882522174582,0.052522084629782806,0.02573892230713029,0.22024710754308743,0.08153896533478718,0.039958906973120954,128.0,0.28968627847496775,0.25195806394105547,0.2722548622914261,0.26521473999998374,0.29684634821231676,0.25496131584098986,0.009765015245824977,1.0,25
cva,CABIQAE,cabiqae_latentt,256,256.0,0.25281423379288537,0.2528142337928855,0.2528142337928855,0.03340230540861792,0.03689362296379632,1.0,0.1628464443761915,0.17856984776980034,0.0,0.04060497201206355,0.025793473741404442,18,18,0.27872792196939705,0.17727417520131336,0.22888991566597688,0.3220498396337212,0.125926233733685,0.026833616305570962,0.11384539232056283,0.1628464443761915,0.2074435070742051,0.08970273390581202,0.017284465908264844,0.32204983963372125,0.12592623373368508,0.026833616305570962,256.0,0.5648059332257296,0.47271164037868957,0.5224176543579436,0.517314873865675,0.5541543707008337,0.5045031542718563,0.024169103074444476,0.72,25
cva,CABIQAE,cabiqae_latentt,512,512.0,0.0609193028486487,0.06091930284864878,0.06091930284864878,0.00979113633775359,0.008890060329263857,3.0,0.039240242584229146,0.14772578655284896,1.0,0.013228901707253852,0.006634989457456897,10,10,0.09143157340941703,0.04598767042622556,0.06709394286432371,0.08906045276609367,0.04794019218014163,0.012288167933410124,0.03885859894022028,0.039240242584229146,0.05736693638608026,0.030968298959072382,0.007915236519051107,0.08705139396646022,0.0479401921801416,0.012288167933410121,512.0,1.2122749330167362,0.8940245756268783,1.0719384077836733,1.182612953569184,1.2479966254559283,0.9568210193782203,0.08738914544332056,0.4,25
cva,CABIQAE,cabiqae_latentt,704,704.0,0.06281089568450285,0.06281089568450296,0.06281089568450296,0.009108167909700687,0.009166103777609388,1.0,0.04045868334567254,0.15416587637233453,0.0,0.01160171281031288,0.006529071435102729,8,5,0.07934164984133914,0.04505041808184249,0.06241388907799968,0.08533925824361112,0.027187980780324417,0.009493227740401573,0.026850902842344794,0.04045868334567254,0.054969985519323084,0.017512724396171575,0.0061149182938976115,0.08533925824361122,0.027187980780324576,0.009493227740401577,704.0,1.6010810674633136,0.9082875706851882,1.2629121651126818,1.3140305082492305,1.6721610999957193,0.5841338370271303,0.1892145642599224,0.2,25
cva,CABIQAE,cabiqae_latentt,896,896.0,0.08328850988482295,0.083288509884823,0.083288509884823,0.011720448195693534,0.012154437805208557,5.0,0.053649027147918416,0.1556383554069333,2.0,0.01474328152605706,0.008858755919583398,24,22,0.10094098514646402,0.06103653821567699,0.08031458805797279,0.09345714742862299,0.05084005956118169,0.010513874223512784,0.05150725413481403,0.053649027147918416,0.0601990003963182,0.03274785128670721,0.006772352205929204,0.09345714742862307,0.05084005956118172,0.010513874223512793,912.0,1.9534337351163928,1.6573315406983848,1.8204481970891344,1.8421387874007533,2.0001620376160467,1.7756742154418999,0.07826103769473662,0.88,25
cva,CABIQAE,cabiqae_latentt,1536,1536.0,0.06576540943259147,0.06576540943259153,0.06576540943259153,0.011725220328281655,0.00959726113227255,5.0,0.04236178844983751,0.1436904888787538,2.0,0.016012347630331672,0.008026510352863253,29,23,0.1091351832699283,0.05562499268871504,0.08034728918480459,0.08335968946283767,0.027311847824378867,0.014131852918630342,0.07610235699700914,0.04236178844983751,0.053694876390732005,0.017592511469063044,0.009102818167000756,0.08335968946283777,0.02731184782437889,0.014131852918630334,1593.3793103448277,3.443152574944248,2.7634336339824257,3.1163402219305976,3.133327533945635,3.3488735678237713,3.0440129407575425,0.17318623325917204,0.92,25
cva,CABIQAE,cabiqae_latentt,2176,2176.0,0.04610101482553637,0.04610101482553633,0.04610101482553633,0.008848604295004624,0.006727601661127625,5.0,0.029695267682685156,0.14923861847409822,2.0,0.013843782636203821,0.0050369005173892915,23,17,0.09351973620829593,0.03405160048807296,0.060635224607061416,0.05814690402446085,0.019780989105579898,0.015888097547761198,0.07619663906502067,0.029695267682685156,0.03722084706866835,0.012360505641887287,0.01023407643920328,0.057784251715374345,0.019780989105580054,0.015888097547761198,2159.304347826087,4.332284620468873,3.406625474286402,3.8997071043102065,4.305694587201992,4.408429476171954,4.057431769781109,0.23932085455509497,0.68,25
cva,CABIQAE,cabiqae_latentt,2816,2816.0,0.04922383255532094,0.04922383255532105,0.04922383255532105,0.011015372677496523,0.0071833199099732015,5.0,0.03170678323741055,0.14322615862635,2.0,0.014965888056689742,0.007614035529182798,30,22,0.10245818723698348,0.0516018783012888,0.07548304502751416,0.05672387414199605,0.02874279101237334,0.013204192332813022,0.07232233994318454,0.03170678323741055,0.03653782097899666,0.018514231764527656,0.008505279706757086,0.05814858715019547,0.028742791012373398,0.01320419233281302,2730.6666666666665,5.728758840824896,4.633535967932559,5.219731681794899,5.690463612522425,6.114456403524237,5.268009561464806,0.28465715942715797,0.88,25
cva,CABIQAE,cabiqae_latentt,3456,3456.0,0.04251557176935171,0.04251557176935186,0.04251557176935186,0.013676776745376545,0.006204371689901372,5.0,0.027385759058691783,0.14275224566378752,2.0,0.01868814222197607,0.009160565315236013,33,24,0.1282321558541517,0.06267782092058426,0.09372036563152787,0.05703242482040352,0.034586549699474556,0.01690307090737995,0.09710074974631853,0.027385759058691783,0.036736569206636704,0.022278400061976122,0.010887856095003349,0.05703242482040354,0.03458654969947455,0.016903070907379948,3456.0,7.012158670353577,5.488532821714891,6.276843734919618,6.965878308688357,7.212743222227113,6.225657286220093,0.3942967993849992,0.96,25
