rep,T_noise,algorithm,a_true,final_queries,final_nRMSE,K_max,coverage,radius,max_depth,terminated_early
1,200.0,CABIQAE_latentt,0.5,7640,0.0032287683308203086,51,1.0,0.002651588174687858,27.0,False
2,200.0,BAE,0.5,33620,0.0005592120135922141,189,1.0,0.0009396081240970189,189.0,False
2,200.0,BIQAE,0.5,8760,0.0010152698785073078,129,1.0,0.0015428197688865386,66.0,False
2,200.0,CABIQAE_latentt,0.5,8880,0.0016440533339985297,59,1.0,0.0025452162807697576,31.0,False
3,200.0,BAE,0.5,32340,0.0008560945501356887,185,1.0,0.0009793109316613702,185.0,False
3,200.0,BIQAE,0.5,5920,0.002587485248542576,99,1.0,0.0020777653512804306,51.0,False
3,200.0,CABIQAE_latentt,0.5,8040,0.0006842005092402292,87,1.0,0.002207228253559207,45.0,False
4,200.0,BAE,0.5,35140,2.7835642566698127e-05,203,1.0,0.0009480967534144513,203.0,False
4,200.0,BIQAE,0.5,12200,7.058406720950039e-05,205,1.0,0.00100865303792394,104.0,False
4,200.0,CABIQAE_latentt,0.5,8840,0.0016133019159045858,59,1.0,0.0026453046702782923,31.0,False
1,inf,BAE,0.05,40260,0.0064829943138662305,395,0.0,0.00013838982169957909,395.0,False
1,inf,BIQAE,0.05,4840,0.011698720922232453,81,1.0,0.0011146360493705307,42.0,False
1,inf,CABIQAE_latentt,0.05,1800,0.06312586927739805,27,0.0,0.0028635866978539426,15.0,False
2,inf,BAE,0.05,42020,0.0010445527829154866,399,1.0,0.0001401359107631242,399.0,False
2,inf,BIQAE,0.05,5200,0.010677898611080039,85,1.0,0.00104749855601826,44.0,False
2,inf,CABIQAE_latentt,0.05,4600,0.007802808158692276,79,1.0,0.0011425828279147295,41.0,False
3,inf,BAE,0.05,30020,0.001346083555217592,197,1.0,0.00023449701414641339,197.0,False
3,inf,BIQAE,0.05,1960,0.0029561826360893217,31,1.0,0.0028587524512884016,17.0,False
3,inf,CABIQAE_latentt,0.05,1760,0.016794301437700332,31,1.0,0.0029213098992626994,17.0,False
4,inf,BAE,0.05,45820,0.003333130470630552,399,1.0,0.00013945921084979745,399.0,False
4,inf,BIQAE,0.05,2000,0.02820298176567093,31,1.0,0.0028213309891187872,17.0,False
4,inf,CABIQAE_latentt,0.05,2200,0.00012796058236164143,37,1.0,0.002409494626520861,20.0,False
1,inf,BAE,0.2,33580,0.0017575356271594123,199,1.0,0.0004025117169305925,199.0,False
1,inf,BIQAE,0.2,9320,0.00035095805737994645,161,1.0,0.0010352293117738831,82.0,False
1,inf,CABIQAE_latentt,0.2,9040,0.0008534331538292417,157,1.0,0.0010533611571968415,80.0,False
2,inf,BAE,0.2,42740,0.000206371715009257,395,1.0,0.00025853146584706166,395.0,False
2,inf,BIQAE,0.2,8680,3.695453375174296e-05,145,1.0,0.0011054858697799735,74.0,False
2,inf,CABIQAE_latentt,0.2,9280,0.002055173836547075,161,1.0,0.0010250997040072846,82.0,False
3,inf,BAE,0.2,45180,0.0012134021963234876,395,1.0,0.00024930203750592184,395.0,False
3,inf,BIQAE,0.2,9360,0.0029748912350344714,157,1.0,0.0010574805780672325,80.0,False
3,inf,CABIQAE_latentt,0.2,4040,0.0026838551629456697,69,1.0,0.002400146368326514,36.0,False
4,inf,BAE,0.2,33060,0.0009340633161810663,199,1.0,0.00041941265510409,199.0,False
4,inf,BIQAE,0.2,7680,0.003317455736496444,127,1.0,0.001295122890712777,65.0,False
4,inf,CABIQAE_latentt,0.2,9280,0.0013613369617582194,161,1.0,0.0010263037479978504,82.0,False
1,inf,BAE,0.5,44420,0.0009545615011918862,389,1.0,0.000308167757190142,389.0,False
1,inf,BIQAE,0.5,14000,0.00018689554789830254,249,1.0,0.0008432268637929008,126.0,False
