a_true,abs_error,algorithm,algorithm_key,budget,epsilon_target,estimate,normalized_abs_error,normalized_sq_error,phase,query_budget_actual,repetition,run_kind,runtime_wall_seconds,step_index
0.1923435405926084,0.0019490122643955887,CABIQAE_latentt,cabiqae_latentt,392576,0.0001,0.1903945283282128,0.01013297487605096,0.00010267717983867998,iterative,392576.0,1101000,simulated_noise_v2,94.37086560000898,100000
0.1923435405926084,0.0021606487774591676,CABIQAE_latentt,cabiqae_latentt,80896,0.001,0.19018289181514922,0.011233279634981408,0.00012618657135768805,iterative,80896.0,2001001,simulated_noise_v2,16.150055700010853,1000000
0.1923435405926084,0.002148149557643142,CABIQAE_latentt,cabiqae_latentt,24576,0.0025,0.19019539103496524,0.011168295805643986,0.00012473083120236503,iterative,24576.0,3501002,simulated_noise_v2,4.8101832999964245,2500000
0.1923435405926084,0.0018931302599713984,CABIQAE_latentt,cabiqae_latentt,11776,0.005,0.190450410332637,0.009842442611478838,9.687367656025437e-05,iterative,11776.0,6001003,simulated_noise_v2,2.2589747000019997,5000000
0.1923435405926084,0.003767771402854281,CABIQAE_latentt,cabiqae_latentt,5376,0.0075,0.1885757691897541,0.01958875973295395,0.0003837195078753982,iterative,5376.0,8501004,simulated_noise_v2,1.1454217999998946,7500000
0.1923435405926084,0.009464355143695063,CABIQAE_latentt,cabiqae_latentt,4096,0.01,0.18287918544891332,0.04920547430153093,0.002421178701238621,iterative,4096.0,11001005,simulated_noise_v2,0.8278145999938715,10000000
0.1923435405926084,0.003413108865172848,CABIQAE_latentt,cabiqae_latentt,386688,0.0001,0.18893043172743554,0.017744858260678245,0.00031487999469156095,iterative,386688.0,1111006,simulated_noise_v2,91.70184219998191,100000
0.1923435405926084,0.0035337642074554365,CABIQAE_latentt,cabiqae_latentt,73088,0.001,0.18880977638515295,0.018372149106582664,0.00033753586279450617,iterative,73088.0,2011007,simulated_noise_v2,14.655042900005355,1000000
0.1923435405926084,0.0007994827443728592,CABIQAE_latentt,cabiqae_latentt,20096,0.0025,0.19154405784823553,0.004156535446470734,1.7276786917767664e-05,iterative,20096.0,3511008,simulated_noise_v2,4.057729599997401,2500000
0.1923435405926084,0.010683843608731092,CABIQAE_latentt,cabiqae_latentt,9088,0.005,0.1816596969838773,0.05554563244398166,0.003085317283601908,iterative,9088.0,6011009,simulated_noise_v2,1.793122899980517,5000000
0.1923435405926084,0.004730574257798159,CABIQAE_latentt,cabiqae_latentt,5376,0.0075,0.18761296633481023,0.024594401471571704,0.0006048845837448483,iterative,5376.0,8511010,simulated_noise_v2,1.1327512999996543,7500000
0.1923435405926084,9.746786712921951e-05,CABIQAE_latentt,cabiqae_latentt,5120,0.01,0.19224607272547917,0.0005067384474098899,2.5678385408338574e-07,iterative,5120.0,11011011,simulated_noise_v2,0.8967247999971732,10000000
0.1923435405926084,0.0024210516018282058,CABIQAE_latentt,cabiqae_latentt,366336,0.0001,0.18992248899078018,0.012587121950490106,0.00015843563899650985,iterative,366336.0,1121012,simulated_noise_v2,94.94907640002202,100000
0.1923435405926084,0.002048243862186022,CABIQAE_latentt,cabiqae_latentt,76416,0.001,0.19029529673042236,0.010648883013567312,0.00011339870943664244,iterative,76416.0,2021013,simulated_noise_v2,16.84433690001606,1000000
0.1923435405926084,0.005432275167005285,CABIQAE_latentt,cabiqae_latentt,21248,0.0025,0.1869112654256031,0.028242566141126982,0.0007976425422359323,iterative,21248.0,3521014,simulated_noise_v2,4.671915299986722,2500000
0.1923435405926084,0.0013746467890452252,CABIQAE_latentt,cabiqae_latentt,11776,0.005,0.1937181873816536,0.007146831054528544,5.107719412197358e-05,iterative,11776.0,6021015,simulated_noise_v2,2.4774678999965545,5000000
0.1923435405926084,0.005374027705481205,CABIQAE_latentt,cabiqae_latentt,6016,0.0075,0.1977175682980896,0.02793973579213465,0.0007806288361342901,iterative,6016.0,8521016,simulated_noise_v2,1.3101361000153702,7500000
0.1923435405926084,0.0028789912883892543,CABIQAE_latentt,cabiqae_latentt,3968,0.01,0.18946454930421913,0.014967964505171908,0.0002240399614280861,iterative,3968.0,11021017,simulated_noise_v2,0.8126839000033215,10000000
0.1923435405926084,0.0012763640782790797,CABIQAE_latentt,cabiqae_latentt,363776,0.0001,0.1910671765143293,0.006635856209918023,4.403458763870759e-05,iterative,363776.0,1131018,simulated_noise_v2,93.52015340002254,100000
0.1923435405926084,0.001877963955768197,CABIQAE_latentt,cabiqae_latentt,106624,0.001,0.19422150454837658,0.009763592528151505,9.532773905577589e-05,iterative,106624.0,2031019,simulated_noise_v2,18.444918699999107,1000000
0.1923435405926084,0.0027045488197229295,CABIQAE_latentt,cabiqae_latentt,31616,0.0025,0.18963899177288546,0.014061032730240088,0.00019771264144088303,iterative,31616.0,3531020,simulated_noise_v2,5.14578370001982,2500000
0.1923435405926084,0.0008729253380465318,CABIQAE_latentt,cabiqae_latentt,11776,0.005,0.19147061525456185,0.004538365756172826,2.0596763736802144e-05,iterative,11776.0,6031021,simulated_noise_v2,2.46025869998266,5000000
0.1923435405926084,0.007102693491068346,CABIQAE_latentt,cabiqae_latentt,6016,0.0075,0.18524084710154004,0.036927122528705794,0.001363612378250051,iterative,6016.0,8531022,simulated_noise_v2,1.336113600002136,7500000
0.1923435405926084,0.0015739541812133662,CABIQAE_latentt,cabiqae_latentt,3968,0.01,0.19076958641139502,0.008183036333656073,6.696208363793542e-05,iterative,3968.0,11031023,simulated_noise_v2,0.8364540000038687,10000000
0.1923435405926084,0.0007074003212024227,CABIQAE_latentt,cabiqae_latentt,300416,0.0001,0.19163614027140596,0.0036777960883060063,1.3526184067158961e-05,iterative,300416.0,1141024,simulated_noise_v2,76.3761314000003,100000
0.1923435405926084,0.004782670263232758,CABIQAE_latentt,cabiqae_latentt,57856,0.001,0.18756087032937563,0.024865250210625228,0.0006182806680369979,iterative,57856.0,2041025,simulated_noise_v2,11.96414310002001,1000000
0.1923435405926084,0.0019139550319592358,CABIQAE_latentt,cabiqae_latentt,27776,0.0025,0.19042958556064915,0.009950711243342828,9.901665424838937e-05,iterative,27776.0,3541026,simulated_noise_v2,5.884188500000164,2500000
0.1923435405926084,0.0034645937703165486,CABIQAE_latentt,cabiqae_latentt,9088,0.005,0.18887894682229184,0.0180125298704712,0.00032445123233461727,iterative,9088.0,6041027,simulated_noise_v2,1.9272502999810968,5000000
0.1923435405926084,0.00257062768755556,CABIQAE_latentt,cabiqae_latentt,5376,0.0075,0.18977291290505283,0.013364772633567437,0.0001786171475469531,iterative,5376.0,8541028,simulated_noise_v2,1.141198199999053,7500000
0.1923435405926084,0.00045787982093078994,CABIQAE_latentt,cabiqae_latentt,3968,0.01,0.1918856607716776,0.002380531311423649,5.666929324668398e-06,iterative,3968.0,11041029,simulated_noise_v2,0.8443666000093799,10000000
0.1923435405926084,0.0025603967339534184,CABIQAE_latentt,cabiqae_latentt,372096,0.0001,0.18978314385865497,0.013311581590236217,0.00017719820443351576,iterative,372096.0,1151030,simulated_noise_v2,98.70460409999941,100000
