target_name,algorithm,algorithm_key,budget,query_budget_actual_median,normalized_abs_error_median,processed_relative_error_median,cva_relative_error_median,coverage,coverage_ci_low,coverage_ci_high,coverage_se,coverage_n,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
cva,BIQAE,biqae,512,256.0,0.3432552850071066,0.34325528500710667,0.34325528500710667,0.0,0.0,0.0,0.0,25,0.044936511502799384,0.05264460699817375,1.0,0.23239262964259416,0.14709736523394082,0.0,0.05455603905980987,0.03515393666751944,25,25,0.35553962655072074,0.2281792063606002,0.29299667986226235,0.4068960809506149,0.16677789940716875,0.03249368703356402,0.1624684351678201,0.23239262964259416,0.27547908036265645,0.11291291438876916,0.021999059319238356,0.40689608095061497,0.16677789940716875,0.03249368703356402,312.32,2.391875074810752,1.5571698559572327,1.9696236235280618,1.65334092688206,3.08332535000518,1.3100736503566368,0.2172425849241099,1.0,25
cva,BIQAE,biqae,608,256.0,0.3432552850071066,0.34325528500710667,0.34325528500710667,0.0,0.0,0.0,0.0,25,0.044936511502799384,0.05264460699817375,1.0,0.23239262964259416,0.14709736523394082,0.0,0.054339801263310734,0.03537712756240186,25,25,0.3540011029664739,0.2305858541502924,0.29299667986226235,0.4068960809506149,0.16677789940716875,0.03249368703356402,0.1624684351678201,0.23239262964259416,0.27547908036265645,0.11291291438876916,0.021999059319238356,0.40689608095061497,0.16677789940716875,0.03249368703356402,312.32,2.4005378524986822,1.5525603054138764,1.9696236235280618,1.65334092688206,3.08332535000518,1.3100736503566368,0.2172425849241099,1.0,25
cva,BIQAE,biqae,724,512.0,0.35929779186537547,0.3592977918653754,0.3592977918653754,0.0,0.0,0.0,0.0,25,0.05289183104236254,0.05510502496027908,3.0,0.24325381814483454,0.1391420456943777,1.0,0.060078792102216456,0.04533914990707935,25,25,0.391494504561813,0.29554757325148734,0.3448672442292844,0.44046116931632323,0.30485901541612165,0.025257631280070702,0.1262881564003535,0.24325381814483454,0.2982035058564445,0.20639737057897845,0.017100064028430468,0.4404611693163232,0.3048590154161216,0.025257631280070702,373.76,2.8166153027564147,1.856494240880146,2.329682470370596,2.518131970001074,3.2751841258915917,1.34017675958569,0.24910871990484168,1.0,25
cva,BIQAE,biqae,861,512.0,0.35929779186537547,0.3592977918653754,0.3592977918653754,0.0,0.0,0.0,0.0,25,0.05261631897126268,0.05510502496027908,3.0,0.24325381814483454,0.13886653362327783,1.0,0.059062879036013,0.0456577944640716,25,25,0.38520081248172366,0.29709706815366094,0.343070840383178,0.3907099788711908,0.3428050110416582,0.02319243895572708,0.1159621947786354,0.24325381814483454,0.26452067421365,0.23208778262213825,0.01570187586954464,0.3907099788711908,0.3428050110416582,0.023192438955727077,552.96,3.8666524544443015,2.9848064022998915,3.428345163035587,3.394737959183676,3.955823920921661,3.2195672448282933,0.22809619060739855,1.0,25
cva,BIQAE,biqae,1024,640.0,0.36182663449940755,0.3618266344994076,0.3618266344994076,0.0,0.0,0.0,0.0,25,0.05618624224670379,0.055492870195134214,3.0,0.24496590945222074,0.14243645689871895,1.0,0.061015756110666175,0.05101778561755984,25,25,0.3978241039690584,0.33203552229254724,0.36634758421768976,0.3907099788711908,0.3441315120130068,0.017212541384682697,0.08606270692341349,0.24496590945222074,0.26452067421365,0.23298585779365022,0.011653331878446022,0.3907099788711908,0.3441315120130068,0.017212541384682697,629.76,4.391048902723107,3.4792289399791776,3.931750719041407,3.9011244180018547,4.572463594382273,3.2751841258915917,0.23729114980591753,1.0,25
cva,BIQAE,biqae,1217,640.0,0.36182663449940755,0.3618266344994076,0.3618266344994076,0.0,0.0,0.0,0.0,25,0.05632964320154885,0.055492870195134214,3.0,0.24496590945222074,0.1422930559438739,1.0,0.06118235819782175,0.05126811008716283,25,25,0.3978362931123456,0.33463367487676304,0.36728259234924154,0.3907099788711908,0.3441315120130068,0.016755715906904722,0.08377857953452361,0.24496590945222074,0.26452067421365,0.23298585779365022,0.011344049316150268,0.3907099788711908,0.3441315120130068,0.016755715906904722,701.44,4.886166220791176,3.9015375418859546,4.368497390692433,3.955823920921661,4.977963282954244,3.394737959183676,0.25391769836135664,1.0,25
cva,BIQAE,biqae,1448,640.0,0.36182663449940755,0.3618266344994076,0.3618266344994076,0.0,0.0,0.0,0.0,25,0.05632964320154885,0.055492870195134214,3.0,0.24496590945222074,0.1422930559438739,1.0,0.06107539202821957,0.05123783364034852,25,25,0.39807467355387643,0.33352486557287625,0.36728259234924154,0.3907099788711908,0.3441315120130068,0.016755715906904722,0.08377857953452361,0.24496590945222074,0.26452067421365,0.23298585779365022,0.011344049316150268,0.3907099788711908,0.3441315120130068,0.016755715906904722,701.44,4.875074147889314,3.909151114422666,4.368497390692433,3.955823920921661,4.977963282954244,3.394737959183676,0.25391769836135664,1.0,25
cva,BIQAE,biqae,1722,640.0,0.36182663449940755,0.3618266344994076,0.3618266344994076,0.0,0.0,0.0,0.0,25,0.05632964320154885,0.055492870195134214,3.0,0.24496590945222074,0.1422930559438739,1.0,0.061021750386295176,0.051210873872917555,25,25,0.3983982653871923,0.3341021657981147,0.36728259234924154,0.3907099788711908,0.3441315120130068,0.016755715906904722,0.08377857953452361,0.24496590945222074,0.26452067421365,0.23298585779365022,0.011344049316150268,0.3907099788711908,0.3441315120130068,0.016755715906904722,701.44,4.880068767353072,3.902630367944829,4.368497390692433,3.955823920921661,4.977963282954244,3.394737959183676,0.25391769836135664,1.0,25
cva,BIQAE,biqae,2048,640.0,0.36182663449940755,0.3618266344994076,0.3618266344994076,0.0,0.0,0.0,0.0,25,0.05632964320154885,0.055492870195134214,3.0,0.24496590945222074,0.1422930559438739,1.0,0.06101849153008626,0.05115762687516499,25,25,0.39873834576426476,0.3333169046585166,0.36728259234924154,0.3907099788711908,0.3441315120130068,0.016755715906904722,0.08377857953452361,0.24496590945222074,0.26452067421365,0.23298585779365022,0.011344049316150268,0.3907099788711908,0.3441315120130068,0.016755715906904722,701.44,4.8790235546540455,3.904981558654101,4.368497390692433,3.955823920921661,4.977963282954244,3.394737959183676,0.25391769836135664,1.0,25
cva,BIQAE,biqae,2435,768.0,0.36182663449940755,0.3618266344994076,0.3618266344994076,0.0,0.0,0.0,0.0,25,0.059292213425224255,0.055492870195134214,5.0,0.24496590945222074,0.1393304857201985,2.0,0.0654428729333518,0.053357177784337774,25,25,0.42580193733387167,0.3465593220766409,0.3865992506826686,0.4539602013412664,0.3441315120130068,0.020483303394258096,0.10241651697129048,0.24496590945222074,0.3073426966771807,0.23298585779365022,0.013867721627243585,0.4539602013412664,0.3441315120130068,0.020483303394258096,1111.04,8.935568322218238,5.35595204072587,7.083928723070894,5.137524589536127,6.154321218931018,3.940452887993306,0.9434748002452216,1.0,25
