profile,scenario_id,objective_ry_offset,a_true,rep,step_index,algorithm,budget,query_budget,query_budget_actual,estimate,abs_error,normalized_abs_error,nrmse,amplification_factor,k_max_budget,time_to_budget_seconds,runtime_seconds
realistic,1,0.3,0.3602728053304129,1,0,CABIQAE_latentt,128.0,128.0,128.0,0.3413071407062545,0.018965664624158385,0.05264250963034699,0.05264250963034699,1,1,0.021200872161135677,0.021200872161135677
realistic,1,0.3,0.3602728053304129,1,1,CABIQAE_latentt,256.0,256.0,256.0,0.32997939944292387,0.030293405887489022,0.08408463097764589,0.08408463097764589,1,1,0.042401744322271354,0.042401744322271354
realistic,1,0.3,0.3602728053304129,1,2,CABIQAE_latentt,384.0,384.0,384.0,0.3216239242016177,0.03864888112879522,0.10727670964048927,0.10727670964048927,1,1,0.06360261648340704,0.06360261648340704
realistic,1,0.3,0.3602728053304129,1,3,CABIQAE_latentt,1536.0,1536.0,1536.0,0.34401806150968167,0.01625474382073122,0.04511787617670363,0.04511787617670363,9,9,0.25441046593362815,0.25441046593362815
realistic,1,0.3,0.3602728053304129,1,4,CABIQAE_latentt,2688.0,2688.0,2688.0,0.3500699634196339,0.01020284191077897,0.02831976702049924,0.02831976702049924,9,9,0.44521831538384926,0.44521831538384926
realistic,1,0.3,0.3602728053304129,1,5,CABIQAE_latentt,3840.0,3840.0,3840.0,0.3543052088473778,0.005967596483035076,0.016564104741577934,0.016564104741577934,9,9,0.6360261648340704,0.6360261648340704
realistic,1,0.3,0.3602728053304129,1,6,CABIQAE_latentt,4992.0,4992.0,4992.0,0.35615246037933146,0.004120344951081434,0.011436735968185521,0.011436735968185521,9,9,0.8268340142842915,0.8268340142842915
realistic,1,0.3,0.3602728053304129,1,7,CABIQAE_latentt,6144.0,6144.0,6144.0,0.3564851279280753,0.003787677402337597,0.010513359171985927,0.010513359171985927,9,9,1.0176418637345126,1.0176418637345126
realistic,1,0.3,0.3602728053304129,1,8,CABIQAE_latentt,7296.0,7296.0,7296.0,0.35688054358400867,0.0033922617464042237,0.009415814061494642,0.009415814061494642,9,9,1.2084497131847336,1.2084497131847336
realistic,1,0.3,0.3602728053304129,1,9,CABIQAE_latentt,8448.0,8448.0,8448.0,0.35699363725462513,0.003279168075787764,0.009101902856032604,0.009101902856032604,9,9,1.3992575626349548,1.3992575626349548
realistic,1,0.3,0.3602728053304129,1,10,CABIQAE_latentt,9600.0,9600.0,9600.0,0.3576327617586105,0.0026400435718024196,0.007327901336824983,0.007327901336824983,9,9,1.5900654120851758,1.5900654120851758
realistic,1,0.3,0.3602728053304129,1,11,CABIQAE_latentt,10752.0,10752.0,10752.0,0.35799530719524225,0.0022774981351706414,0.00632159325231863,0.00632159325231863,9,9,1.780873261535397,1.780873261535397
realistic,1,0.3,0.3602728053304129,1,12,CABIQAE_latentt,11904.0,11904.0,11904.0,0.3581572773306767,0.0021155279997361887,0.005872016895074827,0.005872016895074827,9,9,1.971681110985618,1.971681110985618
realistic,1,0.3,0.3602728053304129,1,13,CABIQAE_latentt,13056.0,13056.0,13056.0,0.35825669871897214,0.002016106611440749,0.005596055493535628,0.005596055493535628,9,9,2.162488960435839,2.162488960435839
realistic,1,0.3,0.3602728053304129,1,14,CABIQAE_latentt,14208.0,14208.0,14208.0,0.3586746829522838,0.0015981223781291187,0.0044358673607447306,0.0044358673607447306,9,9,2.3532968098860603,2.3532968098860603
realistic,1,0.3,0.3602728053304129,1,15,CABIQAE_latentt,15360.0,15360.0,15360.0,0.35883765628480563,0.0014351490456072646,0.003983506455034992,0.003983506455034992,9,9,2.5441046593362815,2.5441046593362815
realistic,1,0.3,0.3602728053304129,1,16,CABIQAE_latentt,16512.0,16512.0,16512.0,0.3589893326258806,0.0012834727045322736,0.003562502319194414,0.003562502319194414,9,9,2.7349125087865023,2.7349125087865023
realistic,1,0.3,0.3602728053304129,1,17,CABIQAE_latentt,17664.0,17664.0,17664.0,0.35907960609646206,0.0011931992339508368,0.003311932558596899,0.003311932558596899,9,9,2.9257203582367235,2.9257203582367235
realistic,1,0.3,0.3602728053304129,1,18,CABIQAE_latentt,18816.0,18816.0,18816.0,0.3590075045949601,0.001265300735452779,0.003512062849962678,0.003512062849962678,9,9,3.1165282076869447,3.1165282076869447
realistic,1,0.3,0.3602728053304129,1,19,CABIQAE_latentt,19968.0,19968.0,19968.0,0.3588898506791192,0.0013829546512936775,0.003838631811316827,0.003838631811316827,9,9,3.307336057137166,3.307336057137166
realistic,1,0.3,0.3602728053304129,1,20,CABIQAE_latentt,21120.0,21120.0,21120.0,0.358795214705678,0.0014775906247349035,0.004101310459388623,0.004101310459388623,9,9,3.4981439065873867,3.4981439065873867
realistic,1,0.3,0.3602728053304129,1,21,CABIQAE_latentt,22272.0,22272.0,22272.0,0.3587171471745869,0.0015556581558259786,0.0043180005063087,0.0043180005063087,9,9,3.688951756037608,3.688951756037608
realistic,1,0.3,0.3602728053304129,1,22,CABIQAE_latentt,23424.0,23424.0,23424.0,0.35864171792466143,0.0016310874057514635,0.004527367543757745,0.004527367543757745,9,9,3.879759605487829,3.879759605487829
realistic,1,0.3,0.3602728053304129,1,23,CABIQAE_latentt,24576.0,24576.0,24576.0,0.3585387117878571,0.0017340935425557702,0.004813279039935864,0.004813279039935864,9,9,4.07056745493805,4.07056745493805
realistic,1,0.3,0.3602728053304129,1,24,CABIQAE_latentt,25728.0,25728.0,25728.0,0.3584039534534226,0.0018688518769903184,0.0051873242979756954,0.0051873242979756954,9,9,4.261375304388271,4.261375304388271
realistic,1,0.3,0.3602728053304129,1,25,CABIQAE_latentt,26880.0,26880.0,26880.0,0.35834000758668577,0.0019327977437271215,0.005364817202770875,0.005364817202770875,9,9,4.452183153838492,4.452183153838492
