a_true,algorithm,algorithm_key,amplification_factor_max,ci_high,ci_low,coverage,final_abs_error,final_estimate,final_normalized_abs_error,final_queries,k_max,objective_ry_offset,repetition,run_kind
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07623594806692412,0.07040234348744741,1.0,0.0009916421722590413,0.07331914577718576,0.013710443784644791,8576.0,4,-0.1,0,hardware_replay
0.07232750360492672,BAE,bae,31,0.07911565720545245,0.07485554402903778,0.0,0.004658097012318396,0.07698560061724512,0.0644028451163231,17024.0,15,-0.1,0,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07806594475180707,0.07230333844389249,1.0,0.002857137992923059,0.07518464159784978,0.03950278732872566,9728.0,4,-0.1,1,hardware_replay
0.07232750360492672,BAE,bae,31,0.07911083123458268,0.0753782275121962,0.0,0.0049170257684627156,0.07724452937338944,0.06798279386664444,19712.0,15,-0.1,1,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07990544778144663,0.07445360894848217,0.0,0.004852024760037682,0.0771795283649644,0.06708408998243343,10880.0,4,-0.1,2,hardware_replay
0.07232750360492672,BAE,bae,37,0.07555861470398068,0.07417910238900616,0.0,0.0025413549415666953,0.07486885854649342,0.03513677114377256,18816.0,18,-0.1,2,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07303386813041596,0.06761189576502946,1.0,0.0020046216572040115,0.07032288194772271,0.027715897235356304,8576.0,4,-0.1,3,hardware_replay
0.07232750360492672,BAE,bae,31,0.0793922368905661,0.07456552346447834,0.0,0.0046513765725954975,0.07697888017752222,0.06430992832273918,17408.0,15,-0.1,3,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,15,0.0795095736361656,0.07437703912576442,0.0,0.004615802776038291,0.07694330638096501,0.06381808504343121,12288.0,7,-0.1,4,hardware_replay
0.07232750360492672,BAE,bae,31,0.07615797391860231,0.07216316374082653,1.0,0.0018330652247876972,0.07416056882971442,0.025343958154568944,16896.0,15,-0.1,4,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.08083618341067343,0.07490245867770357,0.0,0.005541817439261784,0.0778693210441885,0.07662116294698568,9728.0,4,-0.1,5,hardware_replay
0.07232750360492672,BIQAE,biqae,21,0.0736630335160101,0.06825203258644187,1.0,0.0013699705537007362,0.07095753305122598,0.018941211647285697,3200.0,10,-0.1,5,hardware_replay
0.07232750360492672,BAE,bae,31,0.07900741688912968,0.07490535226855657,0.0,0.004628880973916408,0.07695638457884313,0.06399890419556943,19200.0,15,-0.1,5,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07426297324493696,0.07003687173095778,1.0,0.00017758111697935286,0.07214992248794737,0.0024552363641547914,3968.0,4,-0.1,6,hardware_replay
0.07232750360492672,BAE,bae,31,0.07817147524769132,0.07412552600694301,0.0,0.0038209970223904433,0.07614850062731716,0.052829101406040635,17664.0,15,-0.1,6,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07850591250272804,0.07274925077089965,0.0,0.0033000780318871298,0.07562758163681385,0.04562687591034649,7424.0,4,-0.1,7,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07687351432059036,0.07115789691923037,1.0,0.001688202014983639,0.07401570561991036,0.023341079545688124,9728.0,4,-0.1,8,hardware_replay
0.07232750360492672,BAE,bae,31,0.0783001096651346,0.07452739315853406,0.0,0.004086247806907611,0.07641375141183433,0.05649645851497727,18048.0,15,-0.1,8,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07496265634763093,0.06939144157319285,1.0,0.0001504546445148386,0.07217704896041188,0.002080185780179341,7424.0,4,-0.1,9,hardware_replay
0.07232750360492672,BAE,bae,25,0.07977173347746197,0.07604139021584339,0.0,0.0055790582417259565,0.07790656184665268,0.0771360542484689,17664.0,12,-0.1,9,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.08029402324969226,0.07430151591701106,0.0,0.00497026597842494,0.07729776958335166,0.06871889296185221,7424.0,4,-0.1,10,hardware_replay
0.07232750360492672,BAE,bae,25,0.07968847966952537,0.07551036906681195,0.0,0.005271920763241941,0.07759942436816866,0.0728895717462981,16384.0,12,-0.1,10,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07880110442592447,0.07284533665482104,0.0,0.003495716935446036,0.07582322054037276,0.04833177921556135,9728.0,4,-0.1,11,hardware_replay
0.07232750360492672,BAE,bae,37,0.0784314151784967,0.07405702572772488,0.0,0.003916716848184065,0.07624422045311079,0.05415252363165028,17024.0,18,-0.1,11,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07573057589349154,0.07011716529828736,1.0,0.0005963669909627295,0.07292387059588945,0.008245369482406785,7424.0,4,-0.1,12,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07523954196946085,0.06999496434268308,1.0,0.00028974955114524636,0.07261725315607197,0.004006077034373263,7424.0,4,-0.1,13,hardware_replay
0.07232750360492672,BAE,bae,37,0.07836349147094075,0.07352614233068976,0.0,0.003617313295888533,0.07594481690081525,0.05001297038602799,19072.0,18,-0.1,13,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07770696355488639,0.07186049477386684,1.0,0.0024562255594498955,0.07478372916437662,0.03395977238294431,7424.0,4,-0.1,14,hardware_replay
0.07232750360492672,BAE,bae,31,0.07852869098995806,0.07553426512522211,0.0,0.004703974452663365,0.07703147805759009,0.06503714656540344,18432.0,15,-0.1,14,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.08121727248130238,0.07526449548892104,0.0,0.0059133803801849905,0.07824088398511171,0.08175839183508318,8576.0,4,-0.1,15,hardware_replay
0.07232750360492672,BIQAE,biqae,21,0.07170182636376844,0.06635149939656718,0.0,0.003300840724758905,0.06902666288016782,0.045637420901307894,3200.0,10,-0.1,15,hardware_replay
0.07232750360492672,BAE,bae,31,0.08010836888439618,0.07632175230240565,0.0,0.0058875569884741935,0.07821506059340091,0.08140135764444041,18688.0,15,-0.1,15,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07682225135660851,0.07104828564163673,1.0,0.0016077648941959094,0.07393526849912263,0.022228955985788973,9728.0,4,-0.1,16,hardware_replay
0.07232750360492672,BAE,bae,25,0.07984486675143636,0.075850087138097,0.0,0.005519973339839959,0.07784747694476668,0.0763191464479628,16896.0,12,-0.1,16,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07941590960910194,0.0734409038996676,0.0,0.00410090314945806,0.07642840675438478,0.056699083267941236,9728.0,4,-0.1,17,hardware_replay
0.07232750360492672,BAE,bae,31,0.07942050751981877,0.07509281196876338,0.0,0.004929156139364357,0.07725665974429108,0.06815050836385564,19456.0,15,-0.1,17,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07803333088895115,0.0724039140351884,0.0,0.002891118857143049,0.07521862246206977,0.03997260672696735,9728.0,4,-0.1,18,hardware_replay
0.07232750360492672,BAE,bae,25,0.08082573607887578,0.077318126716834,0.0,0.006744427792928165,0.07907193139785489,0.09324845261863504,16384.0,12,-0.1,18,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,19,0.0796922325516354,0.07430059482254159,0.0,0.004668910082161776,0.0769964136870885,0.06455234661028374,6528.0,9,-0.1,19,hardware_replay
0.07232750360492672,BAE,bae,31,0.07767608673359494,0.07399124037254964,0.0,0.0035061599481455707,0.07583366355307229,0.048476164299782944,18688.0,15,-0.1,19,hardware_replay
0.07232750360492672,CABIQAE,cabiqae_latentt,9,0.07943587225466943,0.07385026945096722,0.0,0.004315567247891602,0.07664307085281832,0.0596670289004367,8576.0,4,-0.1,20,hardware_replay
0.07232750360492672,BAE,bae,31,0.07842753288716242,0.07422016838600837,0.0,0.003996347031658673,0.0763238506365854,0.05525349047698163,19200.0,15,-0.1,20,hardware_replay
