abs_error_mean,abs_error_median,abs_error_se,abs_error_std,algorithm,amplification_factor_median,budget,estimate_mean,estimate_se,estimate_std,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_q25,normalized_abs_error_q75,normalized_abs_error_se,normalized_abs_error_std,run_kind,success_rate,total_repetitions
0.02054668535328221,0.020400622922829563,0.0015943776595768028,0.015292733279727973,BAE,1.0,128,0.06995186300947985,0.002668185088830836,0.02559233231809574,0.0,0.02382393326282018,0.017512427219106834,92,92,0.3293896799335596,0.2421268030314535,0.2840784532743452,0.2820589942418521,0.31505212666309107,0.19221292412259103,0.09573978160576749,0.38696053339393927,0.022043864091946884,0.21143731661556034,hardware_replay,0.92,100
0.022609595131066005,0.016908496142624282,0.004462983451958022,0.016698955000068596,BIQAE,1.0,128,0.09083917853231575,0.005734165891829454,0.021455284166150862,0.0,0.03098954683604164,0.014039379663832464,14,14,0.42846144677293574,0.19410845064582238,0.3126002420125822,0.23377685250943087,0.4946288582450211,0.181583129354004,0.181583129354004,0.5467834095293043,0.06170520520570015,0.23087973686030983,hardware_replay,0.14,100
0.020898768389922506,0.018676734458084408,0.0016989569160738571,0.01698956916073857,CABIQAE,1.0,128,0.08277635724043905,0.0024890446497655185,0.024890446497655185,0.0,0.0242175646781425,0.01758523349492832,100,100,0.3348320275289148,0.2431334225356904,0.28894635302329097,0.2582245138737542,0.2627266992205086,0.1611711046682564,0.15409425819689365,0.4344500172988002,0.023489776798519695,0.23489776798519696,hardware_replay,1.0,100
0.02054668535328221,0.020400622922829563,0.0015943776595768028,0.015292733279727973,BAE,1.0,256,0.06995186300947985,0.002668185088830836,0.02559233231809574,0.0,0.02382393326282018,0.017512427219106834,92,92,0.3293896799335596,0.2421268030314535,0.2840784532743452,0.2820589942418521,0.31505212666309107,0.19221292412259103,0.09573978160576749,0.38696053339393927,0.022043864091946884,0.21143731661556034,hardware_replay,0.92,100
0.022609595131066005,0.016908496142624282,0.004462983451958022,0.016698955000068596,BIQAE,1.0,256,0.09083917853231575,0.005734165891829454,0.021455284166150862,0.0,0.03098954683604164,0.014039379663832464,14,14,0.42846144677293574,0.19410845064582238,0.3126002420125822,0.23377685250943087,0.4946288582450211,0.181583129354004,0.181583129354004,0.5467834095293043,0.06170520520570015,0.23087973686030983,hardware_replay,0.14,100
0.020898768389922506,0.018676734458084408,0.0016989569160738571,0.01698956916073857,CABIQAE,1.0,256,0.08277635724043905,0.0024890446497655185,0.024890446497655185,0.0,0.0242175646781425,0.01758523349492832,100,100,0.3348320275289148,0.2431334225356904,0.28894635302329097,0.2582245138737542,0.2627266992205086,0.1611711046682564,0.15409425819689365,0.4344500172988002,0.023489776798519695,0.23489776798519696,hardware_replay,1.0,100
0.02036090185989942,0.019863337263189354,0.00159258075089544,0.015275497937130783,BAE,1.0,512,0.06950995138555141,0.0026466488199286685,0.025385763683504634,0.0,0.023626291281562167,0.017302226616807047,92,92,0.32665708207787253,0.2392205696925018,0.28150981086138993,0.27463048319334393,0.311945187838287,0.18292206441470615,0.09573978160576749,0.3842011143024344,0.022019020034129286,0.2111990207842631,hardware_replay,0.92,100
0.005697514115702147,0.004112105585483514,0.0014724251304842075,0.00550931036594782,BIQAE,3.0,512,0.06662998948922458,0.0014724251304842075,0.00550931036594782,1.0,0.008709837868411143,0.004006849870996256,14,14,0.12042221056026958,0.05539870272424725,0.07877382505586783,0.056853968138386154,0.06714460989847201,0.051875359565002804,0.051936913236040785,0.06722918252963225,0.020357748534043287,0.07617172018048944,hardware_replay,0.14,100
0.008831869628826204,0.007326127990493668,0.0007957160208818686,0.007957160208818686,CABIQAE,3.0,512,0.06827075119925853,0.001120190801129624,0.01120190801129624,1.0,0.010423933892803295,0.007322357239236433,100,100,0.1441213006568258,0.10123890462517855,0.12210942157036657,0.10129103902868059,0.1119465671122987,0.08578878661546982,0.05673716230599522,0.14908243954907066,0.011001568991352097,0.11001568991352097,hardware_replay,1.0,100
0.012424999184193979,0.008328031567469286,0.001293715679325246,0.012408884874223888,BAE,2.0,1024,0.06927661098900628,0.0018077348540632544,0.017339183597815347,0.5,0.015292455229251897,0.010141430979766206,92,92,0.21143347228992743,0.1402154156344393,0.17178802758163536,0.11514335698573741,0.13888355598212584,0.0960367573964721,0.05886321483002591,0.23351480352186696,0.01788691182253278,0.17156523114643532,hardware_replay,0.92,100
