a_true,abs_error,algorithm,algorithm_key,amplification_factor,estimate,grover_power,normalized_abs_error,objective_ry_offset,query_budget,repetition,run_kind,step_index
0.07232750360492672,0.011657103653903336,CABIQAE,cabiqae_latentt,1,0.060670399951023385,0,0.1611711046682564,-0.1,128.0,0,hardware_replay,0
0.07232750360492672,0.002209211720029386,CABIQAE,cabiqae_latentt,3,0.07011829188489734,1,0.030544559260564628,-0.1,512.0,0,hardware_replay,1
0.07232750360492672,0.002275343665172444,CABIQAE,cabiqae_latentt,9,0.07460284727009917,4,0.03145889947482516,-0.1,1664.0,0,hardware_replay,2
0.07232750360492672,0.003484397443007603,CABIQAE,cabiqae_latentt,9,0.07581190104793432,4,0.04817527592325552,-0.1,2816.0,0,hardware_replay,3
0.07232750360492672,0.0016313467591109604,CABIQAE,cabiqae_latentt,9,0.07395885036403768,4,0.02255499882896329,-0.1,3968.0,0,hardware_replay,4
0.07232750360492672,0.0007906341872503525,CABIQAE,cabiqae_latentt,9,0.07311813779217707,4,0.010931307564118625,-0.1,5120.0,0,hardware_replay,5
0.07232750360492672,0.0007778216144158495,CABIQAE,cabiqae_latentt,9,0.07310532521934257,4,0.010754160943595277,-0.1,6272.0,0,hardware_replay,6
0.07232750360492672,0.00090403578863478,CABIQAE,cabiqae_latentt,9,0.0732315393935615,4,0.01249919800319501,-0.1,7424.0,0,hardware_replay,7
0.07232750360492672,0.0009916421722590413,CABIQAE,cabiqae_latentt,9,0.07331914577718576,4,0.013710443784644791,-0.1,8576.0,0,hardware_replay,8
0.07232750360492672,0.05392083474604509,BAE,bae,1,0.018406668858881637,0,0.7455094128587091,-0.1,128.0,0,hardware_replay,0
0.07232750360492672,0.01020527828264034,BAE,bae,5,0.06212222532228638,2,0.14109816838673786,-0.1,768.0,0,hardware_replay,1
0.07232750360492672,0.003106055425574475,BAE,bae,15,0.0754335590305012,7,0.04294431952940928,-0.1,2688.0,0,hardware_replay,2
0.07232750360492672,0.006245927572393575,BAE,bae,25,0.0785734311773203,12,0.08635618901643001,-0.1,5888.0,0,hardware_replay,3
0.07232750360492672,0.005940897604936435,BAE,bae,25,0.07826840120986316,12,0.08213884495982741,-0.1,9088.0,0,hardware_replay,4
0.07232750360492672,0.005679159562031563,BAE,bae,31,0.07800666316695828,15,0.07852005501327322,-0.1,13056.0,0,hardware_replay,5
0.07232750360492672,0.004658097012318396,BAE,bae,31,0.07698560061724512,15,0.0644028451163231,-0.1,17024.0,0,hardware_replay,6
0.07232750360492672,0.011145253015234335,CABIQAE,cabiqae_latentt,1,0.08347275662016106,0,0.15409425819689365,-0.1,128.0,1,hardware_replay,0
0.07232750360492672,0.0016691108053637077,CABIQAE,cabiqae_latentt,3,0.07399661441029043,1,0.02307712449859825,-0.1,512.0,1,hardware_replay,1
0.07232750360492672,0.0031152114861687646,CABIQAE,cabiqae_latentt,9,0.07544271509109549,4,0.04307091121497751,-0.1,1664.0,1,hardware_replay,2
0.07232750360492672,0.0025680275704296623,CABIQAE,cabiqae_latentt,9,0.07489553117535638,4,0.03550554688651989,-0.1,2816.0,1,hardware_replay,3
0.07232750360492672,0.0031849916483311785,CABIQAE,cabiqae_latentt,9,0.0755124952532579,4,0.044035691674477025,-0.1,3968.0,1,hardware_replay,4
0.07232750360492672,0.002666210054298443,CABIQAE,cabiqae_latentt,9,0.07499371365922516,4,0.036863017820468906,-0.1,5120.0,1,hardware_replay,5
0.07232750360492672,0.0025911931279491845,CABIQAE,cabiqae_latentt,9,0.0749186967328759,4,0.03582583386401685,-0.1,6272.0,1,hardware_replay,6
0.07232750360492672,0.002964741723686326,CABIQAE,cabiqae_latentt,9,0.07529224532861305,4,0.040990516413791686,-0.1,7424.0,1,hardware_replay,7
0.07232750360492672,0.002976552261870255,CABIQAE,cabiqae_latentt,9,0.07530405586679698,4,0.041153808904134524,-0.1,8576.0,1,hardware_replay,8
0.07232750360492672,0.002857137992923059,CABIQAE,cabiqae_latentt,9,0.07518464159784978,4,0.03950278732872566,-0.1,9728.0,1,hardware_replay,9
0.07232750360492672,0.022544451214966968,BAE,bae,1,0.09487195481989369,0,0.3116995622869985,-0.1,128.0,1,hardware_replay,0
0.07232750360492672,0.008335339475510017,BAE,bae,7,0.0639921641294167,3,0.115244396115757,-0.1,1024.0,1,hardware_replay,1
0.07232750360492672,0.007027025992642058,BAE,bae,15,0.07935452959756878,7,0.09715565507452961,-0.1,2944.0,1,hardware_replay,2
0.07232750360492672,0.006004748358325415,BAE,bae,25,0.07833225196325214,12,0.08302164541894116,-0.1,6144.0,1,hardware_replay,3
0.07232750360492672,0.004554860630783794,BAE,bae,25,0.07688236423571052,12,0.06297549899777727,-0.1,9344.0,1,hardware_replay,4
0.07232750360492672,0.00541113142047174,BAE,bae,25,0.07773863502539846,12,0.07481429816835475,-0.1,12544.0,1,hardware_replay,5
0.07232750360492672,0.005811283559090136,BAE,bae,25,0.07813878716401686,12,0.08034680127815567,-0.1,15744.0,1,hardware_replay,6
0.07232750360492672,0.0049170257684627156,BAE,bae,31,0.07724452937338944,15,0.06798279386664444,-0.1,19712.0,1,hardware_replay,7
0.07232750360492672,0.011657103653903336,CABIQAE,cabiqae_latentt,1,0.060670399951023385,0,0.1611711046682564,-0.1,128.0,2,hardware_replay,0
0.07232750360492672,0.008916162808676617,CABIQAE,cabiqae_latentt,3,0.08124366641360334,1,0.1232748589994094,-0.1,512.0,2,hardware_replay,1
0.07232750360492672,0.006257420741810751,CABIQAE,cabiqae_latentt,9,0.07858492434673747,4,0.08651509356648825,-0.1,1664.0,2,hardware_replay,2
0.07232750360492672,0.005872174700761831,CABIQAE,cabiqae_latentt,9,0.07819967830568855,4,0.08118868214831954,-0.1,2816.0,2,hardware_replay,3
0.07232750360492672,0.005370451493871345,CABIQAE,cabiqae_latentt,9,0.07769795509879807,4,0.07425185753964729,-0.1,3968.0,2,hardware_replay,4
0.07232750360492672,0.005408182775935105,CABIQAE,cabiqae_latentt,9,0.07773568638086183,4,0.07477353021163469,-0.1,5120.0,2,hardware_replay,5
0.07232750360492672,0.0054121210699607375,CABIQAE,cabiqae_latentt,9,0.07773962467488746,4,0.0748279810613024,-0.1,6272.0,2,hardware_replay,6
0.07232750360492672,0.0051851384718587246,CABIQAE,cabiqae_latentt,9,0.07751264207678545,4,0.07168971986343421,-0.1,7424.0,2,hardware_replay,7
0.07232750360492672,0.0051908126302161045,CABIQAE,cabiqae_latentt,9,0.07751831623514283,4,0.07176817077179645,-0.1,8576.0,2,hardware_replay,8
0.07232750360492672,0.0050422838642560225,CABIQAE,cabiqae_latentt,9,0.07736978746918274,4,0.06971461218678862,-0.1,9728.0,2,hardware_replay,9
0.07232750360492672,0.004852024760037682,CABIQAE,cabiqae_latentt,9,0.0771795283649644,4,0.06708408998243343,-0.1,10880.0,2,hardware_replay,10
0.07232750360492672,0.07923328958697055,BAE,bae,1,0.15156079319189728,0,1.0954793907966904,-0.1,128.0,2,hardware_replay,0
0.07232750360492672,0.0849288645010446,BAE,bae,9,0.15725636810597132,4,1.1742264044525865,-0.1,1280.0,2,hardware_replay,1
0.07232750360492672,0.002191904368527925,BAE,bae,7,0.07451940797345465,3,0.030305267834221494,-0.1,2176.0,2,hardware_replay,2
0.07232750360492672,0.0025800008757524556,BAE,bae,31,0.07490750448067918,15,0.035671089795178745,-0.1,6144.0,2,hardware_replay,3
0.07232750360492672,0.002330208886260343,BAE,bae,31,0.07465771249118706,15,0.032217465972399696,-0.1,10112.0,2,hardware_replay,4
0.07232750360492672,0.002513842486482523,BAE,bae,31,0.07484134609140924,15,0.034756383964443756,-0.1,14080.0,2,hardware_replay,5
0.07232750360492672,0.0025413549415666953,BAE,bae,37,0.07486885854649342,18,0.03513677114377256,-0.1,18816.0,2,hardware_replay,6
0.07232750360492672,0.004350200179181904,CABIQAE,cabiqae_latentt,1,0.06797730342574482,0,0.06014586377740794,-0.1,128.0,3,hardware_replay,0
0.07232750360492672,0.00010299653546570753,CABIQAE,cabiqae_latentt,3,0.07243050014039243,1,0.0014240300070123219,-0.1,512.0,3,hardware_replay,1
0.07232750360492672,0.002779542550806924,CABIQAE,cabiqae_latentt,9,0.0695479610541198,4,0.03842995281559241,-0.1,1664.0,3,hardware_replay,2
0.07232750360492672,0.0030636997334044375,CABIQAE,cabiqae_latentt,9,0.06926380387152228,4,0.04235870976743829,-0.1,2816.0,3,hardware_replay,3
0.07232750360492672,0.0022714427063559722,CABIQAE,cabiqae_latentt,9,0.07005606089857075,4,0.031404964821725834,-0.1,3968.0,3,hardware_replay,4
0.07232750360492672,0.0025001435840762837,CABIQAE,cabiqae_latentt,9,0.06982736002085044,4,0.03456698295205618,-0.1,5120.0,3,hardware_replay,5
0.07232750360492672,0.00279155469925961,CABIQAE,cabiqae_latentt,9,0.06953594890566711,4,0.038596032769330345,-0.1,6272.0,3,hardware_replay,6
0.07232750360492672,0.0024278437757645766,CABIQAE,cabiqae_latentt,9,0.06989965982916214,4,0.033567365867155405,-0.1,7424.0,3,hardware_replay,7
0.07232750360492672,0.0020046216572040115,CABIQAE,cabiqae_latentt,9,0.07032288194772271,4,0.027715897235356304,-0.1,8576.0,3,hardware_replay,8
0.07232750360492672,0.018892298034883445,BAE,bae,1,0.053435205570043276,0,0.2612048956933246,-0.1,128.0,3,hardware_replay,0
0.07232750360492672,0.0008534952844819199,BAE,bae,5,0.0714740083204448,2,0.011800425038087205,-0.1,768.0,3,hardware_replay,1
0.07232750360492672,0.006416035414915741,BAE,bae,7,0.06591146819001098,3,0.08870809989463954,-0.1,1664.0,3,hardware_replay,2
0.07232750360492672,0.002719462937476602,BAE,bae,15,0.06960804066745012,7,0.03759929213554885,-0.1,3584.0,3,hardware_replay,3
0.07232750360492672,0.0002503535339681978,BAE,bae,21,0.07257785713889492,10,0.0034613877362019794,-0.1,6272.0,3,hardware_replay,4
0.07232750360492672,0.001270026230989485,BAE,bae,31,0.0735975298359162,15,0.017559381531080175,-0.1,10240.0,3,hardware_replay,5
0.07232750360492672,0.00450816801923927,BAE,bae,25,0.07683567162416599,12,0.062329926992422666,-0.1,13440.0,3,hardware_replay,6
0.07232750360492672,0.0046513765725954975,BAE,bae,31,0.07697888017752222,15,0.06430992832273918,-0.1,17408.0,3,hardware_replay,7
0.07232750360492672,0.024497531016870487,CABIQAE,cabiqae_latentt,1,0.047829972588056234,0,0.3387028418771776,-0.1,128.0,4,hardware_replay,0
