run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,epsilon_target,budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,coverage,grover_power,grover_power_exceeds_calibration,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,n_shots,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,normalized_sq_error
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,0.003,1024,640.0,0.12924046833248828,0.1328730942948926,0.0036326259624043233,0.027339063500261652,0.5864946085782612,0.5704603952317789,0.01603421334648225,0.027339063500261766,0.5864946085782612,0.5704603952317789,0.01603421334648225,0.027339063500261766,0.0,1,False,1,3,88.1593891015884,ok,3.6548702704880505,3.6548702704880505,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0007474243930713388
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,0.003,2048,640.0,0.12924046833248828,0.1328730942948926,0.0036326259624043233,0.027339063500261652,0.5864946085782612,0.5704603952317789,0.01603421334648225,0.027339063500261766,0.5864946085782612,0.5704603952317789,0.01603421334648225,0.027339063500261766,0.0,1,False,1,3,88.1593891015884,ok,3.6548702704880505,3.6548702704880505,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0007474243930713388
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,0.003,4096,2560.0,0.12701560377350174,0.1328730942948926,0.005857490521390868,0.04408334548445914,0.5864946085782612,0.560639964123533,0.025854644454728182,0.044083345484459246,0.5864946085782612,0.560639964123533,0.025854644454728182,0.044083345484459246,0.0,7,False,7,15,88.1593891015884,ok,14.619481081952202,14.619481081952202,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0019433413491021843
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,BIQAE,biqae,0.003,1024,512.0,0.13742273584955897,0.1328730942948926,0.0045496415546663616,0.03424050278056361,0.5864946085782612,0.6065764788540707,0.020081870275809544,0.034240502780563654,0.5864946085782612,0.6065764788540707,0.020081870275809544,0.034240502780563654,0.0,1,False,1,3,88.1593891015884,ok,2.717778565388961,2.717778565388961,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0011724120306657844
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,BIQAE,biqae,0.003,2048,512.0,0.13742273584955897,0.1328730942948926,0.0045496415546663616,0.03424050278056361,0.5864946085782612,0.6065764788540707,0.020081870275809544,0.034240502780563654,0.5864946085782612,0.6065764788540707,0.020081870275809544,0.034240502780563654,0.0,1,False,1,3,88.1593891015884,ok,2.717778565388961,2.717778565388961,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0011724120306657844
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,BIQAE,biqae,0.003,4096,2432.0,0.1363723846572175,0.1328730942948926,0.0034992903623248806,0.026335582691848148,0.5864946085782612,0.6019402858407971,0.015445677262535873,0.026335582691848086,0.5864946085782612,0.6019402858407971,0.015445677262535873,0.026335582691848086,0.0,7,False,7,15,88.1593891015884,ok,12.909448185597563,12.909448185597563,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0006935629157191717
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,BIQAE,biqae,0.003,8192,2432.0,0.1363723846572175,0.1328730942948926,0.0034992903623248806,0.026335582691848148,0.5864946085782612,0.6019402858407971,0.015445677262535873,0.026335582691848086,0.5864946085782612,0.6019402858407971,0.015445677262535873,0.026335582691848086,0.0,7,False,7,15,88.1593891015884,ok,12.909448185597563,12.909448185597563,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.0006935629157191717
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,0.003,1024,640.0,0.13842220159469912,0.1328730942948926,0.0055491072998065105,0.04176246010716865,0.5864946085782612,0.6109880662720802,0.024493457693819054,0.041762460107168525,0.5864946085782612,0.6109880662720802,0.024493457693819054,0.041762460107168525,1.0,1,False,1,3,88.1593891015884,ok,3.476550524623026,3.476550524623026,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.001744103074202853
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,0.003,2048,640.0,0.13842220159469912,0.1328730942948926,0.0055491072998065105,0.04176246010716865,0.5864946085782612,0.6109880662720802,0.024493457693819054,0.041762460107168525,0.5864946085782612,0.6109880662720802,0.024493457693819054,0.041762460107168525,1.0,1,False,1,3,88.1593891015884,ok,3.476550524623026,3.476550524623026,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.001744103074202853
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,0.003,4096,2560.0,0.12949012736476911,0.1328730942948926,0.0033829669301234933,0.025460135086607435,0.5864946085782612,0.5715623766162917,0.014932231961969467,0.02546013508660741,0.5864946085782612,0.5715623766162917,0.014932231961969467,0.02546013508660741,1.0,7,False,7,15,88.1593891015884,ok,13.906202098492104,13.906202098492104,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.000648218478628299
