run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,epsilon_target,step_index,budget,query_budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,grover_power,grover_power_exceeds_calibration,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,construct_circuit_mode,normalized_sq_error
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,0.003,0,128,128.0,128.0,0.1710739030865185,0.1328730942948926,0.03820080879162588,0.2874984510170638,0.5864946085782612,0.7551109000743703,0.16861629149610913,0.2874984510170636,0.5864946085782612,0.7551109000743703,0.16861629149610913,0.2874984510170636,0,False,0,1,88.1593891015884,ok,0.7309740540976102,0.7309740540976102,6.250568600022234,6.250568600022234,1,4,4,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.08265535933721102
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,0.003,1,256,256.0,256.0,0.13716781606775078,0.1328730942948926,0.004294721772858168,0.03232198208108749,0.5864946085782612,0.6054512768073821,0.0189566682291209,0.03232198208108735,0.5864946085782612,0.6054512768073821,0.0189566682291209,0.03232198208108735,0,False,0,1,88.1593891015884,ok,1.4619481081952204,1.4619481081952204,6.250568600022234,6.250568600022234,1,4,4,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0010447105256501407
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,0.003,2,640,640.0,640.0,0.12924046833248828,0.1328730942948926,0.0036326259624043233,0.027339063500261652,0.5864946085782612,0.5704603952317789,0.01603421334648225,0.027339063500261766,0.5864946085782612,0.5704603952317789,0.01603421334648225,0.027339063500261766,1,False,1,3,88.1593891015884,ok,3.6548702704880505,3.6548702704880505,6.250568600022234,6.250568600022234,1,4,4,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0007474243930713388
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,0.003,3,2560,2560.0,2560.0,0.12701560377350174,0.1328730942948926,0.005857490521390868,0.04408334548445914,0.5864946085782612,0.560639964123533,0.025854644454728182,0.044083345484459246,0.5864946085782612,0.560639964123533,0.025854644454728182,0.044083345484459246,7,False,7,15,88.1593891015884,ok,14.619481081952202,14.619481081952202,6.250568600022234,6.250568600022234,1,4,4,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0019433413491021843
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,0.003,4,7808,7808.0,7808.0,0.12905052218917124,0.1328730942948926,0.0038225721057213724,0.028768594018272253,0.5864946085782612,0.5696219832901677,0.016872625288093523,0.02876859401827231,0.5864946085782612,0.5696219832901677,0.016872625288093523,0.02876859401827231,20,False,20,41,88.1593891015884,ok,44.58941729995422,44.58941729995422,6.250568600022234,6.250568600022234,1,4,4,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0008276320017881701
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,BIQAE,biqae,0.003,0,128,128.0,128.0,0.16306421289554804,0.1328730942948926,0.03019111860065543,0.2272176979159574,0.5864946085782612,0.7197565633795342,0.133261954801273,0.22721769791595736,0.5864946085782612,0.7197565633795342,0.133261954801273,0.22721769791595736,0,False,0,1,88.1593891015884,ok,0.6794446413472403,0.6794446413472403,9.630619599949569,9.630619599949569,3,1,5,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.05162788224622727
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,BIQAE,biqae,0.003,1,512,512.0,512.0,0.13742273584955897,0.1328730942948926,0.0045496415546663616,0.03424050278056361,0.5864946085782612,0.6065764788540707,0.020081870275809544,0.034240502780563654,0.5864946085782612,0.6065764788540707,0.020081870275809544,0.034240502780563654,1,False,1,3,88.1593891015884,ok,2.717778565388961,2.717778565388961,9.630619599949569,9.630619599949569,3,1,5,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0011724120306657844
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,BIQAE,biqae,0.003,2,2432,2432.0,2432.0,0.1363723846572175,0.1328730942948926,0.0034992903623248806,0.026335582691848148,0.5864946085782612,0.6019402858407971,0.015445677262535873,0.026335582691848086,0.5864946085782612,0.6019402858407971,0.015445677262535873,0.026335582691848086,7,False,7,15,88.1593891015884,ok,12.909448185597563,12.909448185597563,9.630619599949569,9.630619599949569,3,1,5,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0006935629157191717
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,BIQAE,biqae,0.003,3,13312,13312.0,13312.0,0.13452835245067052,0.1328730942948926,0.0016552581557779111,0.012457436658352406,0.5864946085782612,0.59380082801509,0.0073062194368288536,0.012457436658352366,0.5864946085782612,0.59380082801509,0.0073062194368288536,0.012457436658352366,42,True,42,85,88.1593891015884,ok,70.66224270011298,70.66224270011298,9.630619599949569,9.630619599949569,3,1,5,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.00015518772809686236
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,0.003,0,128,128.0,128.0,0.163497587102318,0.1328730942948926,0.03062449280742538,0.23047926271257557,0.5864946085782612,0.7216694535482794,0.1351748449700182,0.2304792627125755,0.5864946085782612,0.7216694535482794,0.1351748449700182,0.2304792627125755,0,False,0,1,88.1593891015884,ok,0.6953101049246053,0.6953101049246053,1.4999648556113243e-05,1.4999648556113243e-05,5,0,5,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.05312069054053243
