run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,epsilon_target,final_queries,final_estimate,a_true,final_abs_error,final_normalized_abs_error,min_abs_error,min_normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,min_processed_abs_error,min_processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,ci_low,ci_high,processed_ci_low,processed_ci_high,cva_ci_low,cva_ci_high,coverage,k_max,k_max_exceeds_calibration,amplification_factor_max,t_eff,calibration_status,runtime_wall_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_queries_requested,max_queries_reached,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,construct_circuit_mode
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,0.003,7808.0,0.12905052218917124,0.1328730942948926,0.0038225721057213724,0.028768594018272253,0.0036326259624043233,0.027339063500261652,0.5864946085782612,0.5696219832901677,0.016872625288093523,0.02876859401827231,0.01603421334648225,0.027339063500261766,0.5864946085782612,0.5696219832901677,0.016872625288093523,0.02876859401827231,0.12639982031187424,0.1317012240664682,0.5579219294287538,0.5813220371515814,0.5579219294287538,0.5813220371515814,0.0,20,False,41,88.1593891015884,ok,44.58941729995422,6.250568600022234,6.250568600022234,1,4,4,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,0,BIQAE,biqae,0.003,13312.0,0.13452835245067052,0.1328730942948926,0.0016552581557779111,0.012457436658352406,0.0016552581557779111,0.012457436658352406,0.5864946085782612,0.59380082801509,0.0073062194368288536,0.012457436658352366,0.0073062194368288536,0.012457436658352366,0.5864946085782612,0.59380082801509,0.0073062194368288536,0.012457436658352366,0.133562903692791,0.13549380120855004,0.5895393897279809,0.5980622663021992,0.5895393897279809,0.5980622663021992,0.0,42,True,85,88.1593891015884,ok,70.66224270011298,9.630619599949569,9.630619599949569,3,1,5,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,0.003,7808.0,0.1318899956156125,0.1328730942948926,0.00098309867928012,0.007398779147103135,0.00098309867928012,0.007398779147103135,0.5864946085782612,0.5821552644984239,0.004339344079837271,0.007398779147103163,0.004339344079837271,0.007398779147103163,0.5864946085782612,0.5821552644984239,0.004339344079837271,0.007398779147103163,0.1291498477145697,0.13463014351665525,0.5700604007549639,0.5942501282418837,0.5700604007549639,0.5942501282418837,1.0,20,False,41,88.1593891015884,ok,42.41391640040092,1.4999648556113243e-05,1.4999648556113243e-05,5,0,5,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,BIQAE,biqae,0.003,11392.0,0.13354920689858418,0.1328730942948926,0.0006761126036915754,0.005088408660003366,9.762808450683447e-05,0.0007347468276020054,0.5864946085782612,0.5894789328235961,0.0029843242453349017,0.005088408660003354,0.0004309250530586395,0.0007347468276021455,0.5864946085782612,0.5894789328235961,0.0029843242453349017,0.005088408660003354,0.1323715636908819,0.13472685010628646,0.5842808797804921,0.5946769858666999,0.5842808797804921,0.5946769858666999,1.0,34,True,69,88.1593891015884,ok,57.25369740021415,7.573538999888115,7.573538999888115,4,1,6,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,2,CABIQAE,cabiqae_latentt,0.003,6912.0,0.13488313475747038,0.1328730942948926,0.0020100404625777724,0.015127520535623098,0.0012432749054402947,0.009356859731745435,0.5864946085782612,0.595366817813561,0.008872209235299855,0.01512752053562306,0.005487747785891672,0.009356859731745331,0.5864946085782612,0.595366817813561,0.008872209235299855,0.01512752053562306,0.13196729002028118,0.1377989794946596,0.5824964377950346,0.6082371978320876,0.5824964377950346,0.6082371978320876,1.0,17,False,35,88.1593891015884,ok,38.53411660017446,3.8360405998537317,3.8360405998537317,3,1,7,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,2,BIQAE,biqae,0.003,12800.0,0.13674110300597642,0.1328730942948926,0.003868008711083809,0.029110548915940223,0.0026183607131338993,0.019705725429429877,0.5864946085782612,0.6035677885702139,0.01707317999195268,0.029110548915940213,0.011557301722484148,0.01970572542942985,0.5864946085782612,0.6035677885702139,0.01707317999195268,0.029110548915940213,0.13572093616639674,0.13776126984555606,0.599064827647697,0.6080707494927307,0.599064827647697,0.6080707494927307,0.0,40,True,81,88.1593891015884,ok,73.15086569986306,8.937775600119494,8.937775600119494,3,1,8,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,3,CABIQAE,cabiqae_latentt,0.003,8320.0,0.13516008919449124,0.1328730942948926,0.0022869948995986322,0.017211873568045145,0.0016746481577968597,0.012603365389235389,0.5864946085782612,0.5965892796294503,0.010094671051189108,0.01721187356804506,0.007391805850728406,0.012603365389235375,0.5864946085782612,0.5965892796294503,0.010094671051189108,0.01721187356804506,0.13241201763140364,0.1379081607575788,0.5844594412728519,0.6087191179860486,0.5844594412728519,0.6087191179860486,1.0,13,False,27,88.1593891015884,ok,34.816856600227766,3.542453099740669,3.542453099740669,3,2,10,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,3,BIQAE,biqae,0.003,8192.0,0.1327895936453739,0.1328730942948926,8.350064951870295e-05,0.0006284240610321405,8.350064951870295e-05,0.0006284240610321405,0.5864946085782612,0.5861260412545649,0.0003685673236962783,0.0006284240610322628,0.0003685673236962783,0.0006284240610322628,0.5864946085782612,0.5861260412545649,0.0003685673236962783,0.0006284240610322628,0.13114660910664977,0.13443257818409804,0.5788739968956026,0.5933780856135273,0.5788739968956026,0.5933780856135273,1.0,24,False,49,88.1593891015884,ok,46.22439840005245,6.426046199863777,6.426046199863777,2,2,12,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,4,CABIQAE,cabiqae_latentt,0.003,8704.0,0.13011766515560452,0.1328730942948926,0.0027554291392880847,0.020737299405196422,0.0014443476008568212,0.01087012843737424,0.5864946085782612,0.5743322942806403,0.012162314297620935,0.02073729940519651,0.006375271723073284,0.01087012843737433,0.5864946085782612,0.5743322942806403,0.012162314297620935,0.02073729940519651,0.1275859254334622,0.13264940487774687,0.5631573328993354,0.5855072556619452,0.5631573328993354,0.5855072556619452,0.0,24,False,49,88.1593891015884,ok,48.189111099927686,1.1200085282325745e-05,1.1200085282325745e-05,4,0,12,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,4,BIQAE,biqae,0.003,15360.0,0.13056118844564202,0.1328730942948926,0.0023119058492505895,0.017399352829999194,0.0017183582055060598,0.012932326251787382,0.5864946085782612,0.5762899819507157,0.01020462662754551,0.017399352829999316,0.007584739623048398,0.012932326251787358,0.5864946085782612,0.5762899819507157,0.01020462662754551,0.017399352829999316,0.12971147931033042,0.1314108975809536,0.5725394120602161,0.5800405518412153,0.5725394120602161,0.5800405518412153,0.0,47,True,95,88.1593891015884,ok,88.24562850000802,13.106784200062975,13.106784200062975,1,3,15,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
