algorithm,algorithm_key,mean_final_normalized_abs_error,mean_final_queries,median_final_normalized_abs_error,median_final_queries,n
CABIQAE,cabiqae_latentt,0.018099509334760976,3683.2,0.014441269748597937,3008.0,80
BIQAE,biqae,0.02101234453728537,2979.2,0.012335774351245754,2432.0,80
