shots,counts_json,good_counts,p_observed_good,prepared_bitstring,prepared_label
8192,"{""000"": 8190, ""001"": 2}",0,0.0,000,bad
8192,"{""011"": 1, ""111"": 8191}",8191,0.9998779296875,111,good
