T,nll,delta_nll
769.6182728411,9130.0812134330,59.4598882170
770.8635794743,9129.4438105364,58.8224853204
772.1088861076,9128.8110533121,58.1897280960
773.3541927409,9128.1829157447,57.5615905287
774.5994993742,9127.5593719946,56.9380467786
775.8448060075,9126.9403963962,56.3190711801
777.0901126408,9126.3259634564,55.7046382404
778.3354192741,9125.7160478540,55.0947226379
779.5807259074,9125.1106244372,54.4892992212
780.8260325407,9124.5096682232,53.8883430071
782.0713391740,9123.9131543961,53.2918291801
783.3166458073,9123.3210583062,52.6997330902
784.5619524406,9122.7333554682,52.1120302521
785.8072590738,9122.1500215598,51.5286963438
787.0525657071,9121.5710324210,50.9497072050
788.2978723404,9120.9963640522,50.3750388362
789.5431789737,9120.4259926131,49.8046673971
790.7884856070,9119.8598944215,49.2385692055
792.0337922403,9119.2980459521,48.6767207361
793.2790988736,9118.7404238351,48.1190986190
794.5244055069,9118.1870048548,47.5656796387
795.7697121402,9117.6377659488,47.0164407328
797.0150187735,9117.0926842066,46.4713589906
798.2603254068,9116.5517368682,45.9304116522
799.5056320401,9116.0149013232,45.3935761072
800.7509386733,9115.4821551094,44.8608298934
801.9962453066,9114.9534759118,44.3321506958
803.2415519399,9114.4288415614,43.8075163453
804.4868585732,9113.9082300338,43.2869048177
805.7321652065,9113.3916194485,42.7702942325
806.9774718398,9112.8789880675,42.2576628515
808.2227784731,9112.3703142942,41.7489890782
809.4680851064,9111.8655766724,41.2442514563
810.7133917397,9111.3647538849,40.7434286689
811.9586983730,9110.8678247530,40.2464995370
813.2040050063,9110.3747682349,39.7534430188
814.4493116395,9109.8855634246,39.2642382086
815.6946182728,9109.4001895514,38.7788643353
816.9399249061,9108.9186259783,38.2973007622
818.1852315394,9108.4408522011,37.8195269851
819.4305381727,9107.9668478477,37.3455226317
820.6758448060,9107.4965926766,36.8752674606
821.9211514393,9107.0300665762,36.4087413601
823.1664580726,9106.5672495635,35.9459243475
824.4117647059,9106.1081217837,35.4867965676
825.6570713392,9105.6526635084,35.0313382924
826.9023779725,9105.2008551355,34.5795299195
828.1476846058,9104.7526771875,34.1313519714
829.3929912390,9104.3081103108,33.6867850948
830.6382978723,9103.8671352751,33.2458100591
831.8836045056,9103.4297329718,32.8084077558
833.1289111389,9102.9958844137,32.3745591977
834.3742177722,9102.5655707337,31.9442455176
835.6195244055,9102.1387731839,31.5174479679
836.8648310388,9101.7154731349,31.0941479189
838.1101376721,9101.2956520748,30.6743268588
839.3554443054,9100.8792916083,30.2579663922
840.6007509387,9100.4663734556,29.8450482396
841.8460575720,9100.0568794521,29.4355542360
843.0913642053,9099.6507915468,29.0294663308
844.3366708385,9099.2480918022,28.6267665862
845.5819774718,9098.8487623928,28.2274371768
846.8272841051,9098.4527856046,27.8314603886
848.0725907384,9098.0601438342,27.4388186181
849.3178973717,9097.6708195879,27.0494943719
850.5632040050,9097.2847954811,26.6634702650
851.8085106383,9096.9020542371,26.2807290211
853.0538172716,9096.5225786868,25.9012534707
854.2991239049,9096.1463517673,25.5250265512
855.5444305382,9095.7733565217,25.1520313056
856.7897371715,9095.4035760978,24.7822508818
858.0350438048,9095.0369937479,24.4156685319
859.2803504380,9094.6735928274,24.0522676114
860.5256570713,9094.3133567943,23.6920315783
861.7709637046,9093.9562692088,23.3349439928
863.0162703379,9093.6023137319,22.9809885158
864.2615769712,9093.2514741250,22.6301489089
865.5068836045,9092.9037342492,22.2824090332
866.7521902378,9092.5590780647,21.9377528487
867.9974968711,9092.2174896295,21.5961644135
869.2428035044,9091.8789530993,21.2576278833
870.4881101377,9091.5434527264,20.9221275104
871.7334167710,9091.2109728594,20.5896476433
872.9787234043,9090.8814979417,20.2601727257
874.2240300375,9090.5550125120,19.9336872960
875.4693366708,9090.2315012024,19.6101759864
876.7146433041,9089.9109487386,19.2896235226
877.9599499374,9089.5933399387,18.9720147226
879.2052565707,9089.2786597127,18.6573344967
880.4505632040,9088.9668930621,18.3455678461
881.6958698373,9088.6580250786,18.0366998626
882.9411764706,9088.3520409442,17.7307157282
884.1864831039,9088.0489259299,17.4276007139
885.4317897372,9087.7486653955,17.1273401794
886.6770963705,9087.4512447887,16.8299195727
887.9224030038,9087.1566496447,16.5353244286
889.1677096370,9086.8648655852,16.2435403692
890.4130162703,9086.5758783183,15.9545531023
891.6583229036,9086.2896736374,15.6683484214
892.9036295369,9086.0062374209,15.3849122049
894.1489361702,9085.7255556314,15.1042304153
895.3942428035,9085.4476143151,14.8262890991
896.6395494368,9085.1723996015,14.5510743855
897.8848560701,9084.8998977025,14.2785724865
899.1301627034,9084.6300949118,14.0087696958
900.3754693367,9084.3629776045,13.7416523885
901.6207759700,9084.0985322365,13.4772070205
902.8660826033,9083.8367453437,13.2154201277
904.1113892365,9083.5776035418,12.9562783258
905.3566958698,9083.3210935254,12.6997683094
906.6020025031,9083.0672020677,12.4458768517
907.8473091364,9082.8159160197,12.1945908037
909.0926157697,9082.5672223099,11.9458970939
910.3379224030,9082.3211079436,11.6997827275
911.5832290363,9082.0775600022,11.4562347862
912.8285356696,9081.8365656433,11.2152404273
914.0738423029,9081.5981120993,10.9767868833
915.3191489362,9081.3621866775,10.7408614615
916.5644555695,9081.1287767594,10.5074515433
917.8097622028,9080.8978698000,10.2765445840
919.0550688360,9080.6694533278,10.0481281117
920.3003754693,9080.4435149435,9.8221897274
921.5456821026,9080.2200423202,9.5987171042
922.7909887359,9079.9990232026,9.3776979865
924.0362953692,9079.7804454065,9.1591201904
925.2816020025,9079.5642968183,8.9429716023
926.5269086358,9079.3505653947,8.7292401787
927.7722152691,9079.1392391620,8.5179139460
929.0175219024,9078.9303062156,8.3089809996
930.2628285357,9078.7237547197,8.1024295037
931.5081351690,9078.5195729067,7.8982476907
932.7534418023,9078.3177490768,7.6964238607
933.9987484355,9078.1182715975,7.4969463814
935.2440550688,9077.9211289030,7.2998036870
936.4893617021,9077.7263094943,7.1049842782
937.7346683354,9077.5338019377,6.9124767217
938.9799749687,9077.3435948656,6.7222696495
940.2252816020,9077.1556769749,6.5343517589
941.4705882353,9076.9700370275,6.3487118114
942.7158948686,9076.7866638491,6.1653386331
943.9612015019,9076.6055463295,5.9842211135
945.2065081352,9076.4266734214,5.8053482054
946.4518147685,9076.2500341405,5.6287089245
947.6971214018,9076.0756175650,5.4542923490
948.9424280350,9075.9034128350,5.2820876190
950.1877346683,9075.7334091521,5.1120839361
951.4330413016,9075.5655957792,4.9442705632
952.6783479349,9075.3999620400,4.7786368239
953.9236545682,9075.2364973182,4.6151721022
955.1689612015,9075.0751910579,4.4538658419
956.4142678348,9074.9160327624,4.2947075464
957.6595744681,9074.7590119942,4.1376867782
958.9048811014,9074.6041183746,3.9827931586
960.1501877347,9074.4513415832,3.8300163672
961.3954943680,9074.3006713575,3.6793461414
962.6408010013,9074.1520974926,3.5307722765
963.8861076345,9074.0056098407,3.3842846247
965.1314142678,9073.8611983110,3.2398730950
966.3767209011,9073.7188528689,3.0975276529
967.6220275344,9073.5785635360,2.9572383199
968.8673341677,9073.4403203893,2.8189951733
970.1126408010,9073.3041135615,2.6827883455
971.3579474343,9073.1699332399,2.5486080238
972.6032540676,9073.0377696664,2.4164444504
973.8485607009,9072.9076131373,2.2862879213
975.0938673342,9072.7794540026,2.1581287865
976.3391739675,9072.6532826657,2.0319574497
977.5844806008,9072.5290895835,1.9077643674
978.8297872340,9072.4068652652,1.7855400491
980.0750938673,9072.2866002727,1.6652750567
981.3204005006,9072.1682852201,1.5469600041
982.5657071339,9072.0519107731,1.4305855571
983.8110137672,9071.9374676488,1.3161424327
985.0563204005,9071.8249466153,1.2036213993
986.3016270338,9071.7143384918,1.0930132758
987.5469336671,9071.6056341475,0.9843089315
988.7922403004,9071.4988245019,0.8774992859
990.0375469337,9071.3939005242,0.7725753082
991.2828535670,9071.2908532330,0.6695280170
992.5281602003,9071.1896736961,0.5683484801
993.7734668335,9071.0903530300,0.4690278140
995.0187734668,9070.9928823998,0.3715571837
996.2640801001,9070.8972530185,0.2759278025
997.5093867334,9070.8034561472,0.1821309312
998.7546933667,9070.7114830945,0.0901578784
1000.0000000000,9070.6213252160,0.0000000000
