abs_error_mean,abs_error_median,algorithm,algorithm_key,amplification_factor_median,budget,estimate_mean,estimate_median,grover_power_max_median,n_points,n_runs,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_q25,normalized_abs_error_q75,normalized_abs_error_se,normalized_abs_error_std,normalized_rmse,normalized_rmse_median,normalized_sq_error_mean,normalized_standard_deviation,query_budget_actual,query_budget_actual_mean,query_budget_actual_median,query_budget_actual_q25,query_budget_actual_q75,run_kind,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_se,runtime_wall_seconds_std,success_rate,total_repetitions
0.017766115224820293,0.012185444646643617,CABIQAE,cabiqae_latentt,nan,198,0.582638035847849,0.581997831485739,nan,20,20,0.03402842785859912,0.020011223623810515,0.026962167651748244,0.013266287192666308,0.011166167321219386,0.04102705922560191,0.009455451180777848,0.04228606319629984,0.05344753957047299,0.05344753957047299,0.0028566394861372765,0.03538125531956568,198.5,198.5,210.0,167.5,220.0,ideal_simulation,0.04583509994972701,0.04511707550045685,0.0024494848133222204,0.010954429104883735,0.05,400
0.004963043422576379,0.0033853771734335125,CABIQAE,cabiqae_latentt,nan,931,0.6044541073562889,0.668580769726132,nan,14,14,0.009229097714380994,0.004931229607135728,0.009895623525637106,0.0032730525122458987,0.0031108297761380595,0.012164697920209359,0.003118435519183378,0.011668117295530717,0.014546359192476687,0.014546359192476687,0.00021159656575655102,0.012918324013068905,930.7142857142857,930.7142857142857,980.0,882.5,1010.0,ideal_simulation,0.12586726485694402,0.13025969649970648,0.005180642018901348,0.019384187478253694,0.035,400
0.0032049288470176436,0.0016534712278787889,CABIQAE,cabiqae_latentt,nan,1653,0.5923378347246854,0.5762299166297007,nan,22,22,0.005576258099779783,0.002801813953454905,0.0043847394719952705,0.0016087311104061425,0.0011011783858579048,0.006355871110429914,0.0017360417056793837,0.00814275737602933,0.009715210305308964,0.009715210305308964,9.43853112763815e-05,0.004448991659666329,1653.1818181818182,1653.1818181818182,1630.0,1495.0,1917.5,ideal_simulation,0.2140931082273131,0.20525619499949244,0.011942590051232245,0.056015712589410224,0.055,400
0.0002806012692980296,0.0002220182551289085,CABIQAE,cabiqae_latentt,nan,10301,0.5757277195091541,0.5686285208532349,nan,17,17,0.0005284529447545526,0.00038597182144187685,0.0005679670700785622,0.0002393485448516649,0.0001224752649431706,0.0005882287839154947,0.0001415632474718693,0.0005836802220319694,0.0007745353209352467,0.0007745353209352467,5.999049633762656e-07,0.0005543944982306505,10300.588235294117,10300.588235294117,9910.0,9600.0,11200.0,ideal_simulation,1.1621814745880437,1.1744256880010653,0.04009894890181335,0.16533220179842173,0.0425,400
0.002204879948940927,2.6701888279523356e-05,CABIQAE,cabiqae_latentt,nan,110762,0.5884338432189533,0.5881773114315334,nan,20,20,0.004154003057028364,4.5360245123734407e-05,6.27268105995743e-05,3.22148713825633e-05,2.696816252456318e-05,6.365317669443629e-05,0.003796477745410738,0.0169783646276071,0.017061868700537525,0.017061868700537525,0.00029110736355438205,0.014363637654540665,110761.5,110761.5,105425.0,98125.0,118127.5,ideal_simulation,11.571193577550456,11.182440442999905,0.4017201621725191,1.7965471810999847,0.05,400
0.02777045069355461,0.02359671714208117,Classical MC,classical_mc,1.0,212,0.5782927307544611,0.5669413919413919,0.0,50,50,0.04789867805964217,0.038397359105645734,0.05240872448533581,0.032986994692970555,0.025244129515538533,0.06802797927340265,0.004545620808818465,0.032142392986182156,0.057504383469452615,0.057504383469452615,0.003306754118201855,0.05372065404037493,212.0,212.0,215.0,200.0,237.5,ideal_simulation,4.163996782153845e-06,4.199915565550327e-06,2.3862864528610065e-08,1.6873593326716105e-07,0.125,400
0.018655593943257574,0.013376420479159268,Classical MC,classical_mc,1.0,317,0.6032590839910746,0.6430803571428572,0.0,30,30,0.03339738170741074,0.02196582322190866,0.03215571279808669,0.01969394117165053,0.017233668680680644,0.04305662294325743,0.005278681802255037,0.028912530969871085,0.04385721229655151,0.04385721229655151,0.0019234550704247894,0.04117177216758747,316.6666666666667,316.6666666666667,285.0,280.0,327.5,ideal_simulation,3.976662022372087e-06,3.900029696524143e-06,2.2328893734895423e-08,1.2230038782738001e-07,0.075,400
0.01597764113645941,0.015057099566053611,Classical MC,classical_mc,1.0,983,0.6145293839447584,0.672972972972973,0.0,29,29,0.027180238202248536,0.026589117182452673,0.028370140529189545,0.020481704643899302,0.01707774543971043,0.03419241686969363,0.0030964923781587454,0.0166751217804207,0.03173699371514001,0.03173699371514001,0.0010072367700748363,0.02329136291357605,983.1034482758621,983.1034482758621,1010.0,960.0,1050.0,ideal_simulation,4.055171177305024e-06,4.09991480410099e-06,2.3059243385483582e-08,1.2417782595865528e-07,0.0725,400
0.00810039598349185,0.006960375958599663,Classical MC,classical_mc,1.0,1679,0.5823249396431425,0.5929203539823009,0.0,73,73,0.014524226789413742,0.011009032350025887,0.015560815528678922,0.01004002797495502,0.005872198775885825,0.020025666068690686,0.00132693740656403,0.011337358171485004,0.018377379880111386,0.018377379880111386,0.00033772809125792274,0.017690859007330237,1679.3150684931506,1679.3150684931506,1610.0,1400.0,1960.0,ideal_simulation,3.9904094492531805e-06,3.999914042651653e-06,2.342063857721156e-08,2.001060237214238e-07,0.1825,400
0.0064690445317909075,0.005895293790030648,Classical MC,classical_mc,1.0,2777,0.582648241071691,0.5927105850060045,0.0,58,58,0.011927070080102764,0.010056121700740703,0.01371293057293757,0.007611665451780246,0.004005293646183638,0.01768373883424664,0.0012831868406955984,0.009772459831168014,0.015365851859865777,0.015365851859865777,0.0002361094033793406,0.014237626503633041,2776.7241379310344,2776.7241379310344,2670.0,2480.0,2952.5,ideal_simulation,3.998282220985355e-06,3.900029696524143e-06,3.923596550342533e-08,2.9881221086359073e-07,0.145,400
