a_true,abs_error,algorithm,algorithm_key,budget,epsilon_target,estimate,normalized_abs_error,normalized_sq_error,objective_ry_offset,phase,query_budget_actual,repetition,run_kind,runtime_wall_seconds,step_index
0.7041348196258655,2.2683612650231666e-05,CABIQAE,cabiqae_latentt,122890,0.0001,0.7041575032385158,3.22148713825633e-05,1.0377979381950958e-09,0.67,1_iterative,122890.0,110002,ideal_simulation_v2,12.668062877999546,100000
0.7041348196258655,0.00258372276360308,CABIQAE,cabiqae_latentt,2090,0.005,0.7067185423894686,0.003669358042790603,1.3464188446192084e-05,0.67,1_iterative,2090.0,5010005,ideal_simulation_v2,0.2702429860000848,5000000
0.7041348196258655,0.00019298874865048,CABIQAE,cabiqae_latentt,10410,0.001,0.704327808374516,0.00027407925765270705,7.511943947545897e-08,0.67,1_iterative,10410.0,1010008,ideal_simulation_v2,1.266307568999764,1000000
0.7041348196258655,0.08252666558156041,CABIQAE,cabiqae_latentt,210,0.05,0.786661485207426,0.11720293228136348,0.013736527335349875,0.67,1_iterative,210.0,50010011,ideal_simulation_v2,0.041279389000919764,50000000
0.7041348196258655,0.0003353602523548105,CABIQAE,cabiqae_latentt,990,0.01,0.7037994593735107,0.00047627278613064547,2.2683576680864756e-07,0.67,1_iterative,990.0,10010014,ideal_simulation_v2,0.14985562699985167,10000000
0.7041348196258655,4.416813146723708e-05,CABIQAE,cabiqae_latentt,84750,0.0001,0.7041789877573328,6.27268105995743e-05,3.934652767994867e-09,0.67,1_iterative,84750.0,210017,ideal_simulation_v2,8.652633472000161,100000
0.7041348196258655,0.0018795431556273279,CABIQAE,cabiqae_latentt,2110,0.005,0.7060143627814929,0.002669294435156612,7.125132781558057e-06,0.67,1_iterative,2110.0,5110020,ideal_simulation_v2,0.2287771880000946,5000000
0.7041348196258655,3.472088430378495e-05,CABIQAE,cabiqae_latentt,11240,0.001,0.7041000987415618,4.930999481354085e-05,2.4314755885114256e-09,0.67,1_iterative,11240.0,1110023,ideal_simulation_v2,1.4559396160002507,1000000
0.7041348196258655,0.0066210161371095255,CABIQAE,cabiqae_latentt,240,0.05,0.697513803488756,0.009403051734648673,8.84173819244794e-05,0.67,1_iterative,240.0,50110026,ideal_simulation_v2,0.07921454999996058,50000000
0.7041348196258655,0.0020762168862792363,CABIQAE,cabiqae_latentt,820,0.01,0.7020586027395863,0.00294860704003022,8.694283476515775e-06,0.67,1_iterative,820.0,10110029,ideal_simulation_v2,0.11331205300120928,10000000
0.7041348196258655,5.9378877391158547e-05,CABIQAE,cabiqae_latentt,98700,0.0001,0.7040754407484744,8.432884688575531e-05,7.1113544170811634e-09,0.67,1_iterative,98700.0,310032,ideal_simulation_v2,9.885680318000595,100000
0.7041348196258655,0.00036476126062279235,CABIQAE,cabiqae_latentt,1850,0.005,0.7044995808864883,0.0005180275857066752,2.6835257955308676e-07,0.67,1_iterative,1850.0,5210035,ideal_simulation_v2,0.22214799300127197,5000000
0.7041348196258655,0.00010957124306754107,CABIQAE,cabiqae_latentt,7980,0.001,0.704025248382798,0.00015561116992589654,2.421483620570625e-08,0.67,1_iterative,7980.0,1210038,ideal_simulation_v2,0.7564220169988403,1000000
0.7041348196258655,0.013789029755914561,CABIQAE,cabiqae_latentt,160,0.05,0.7179238493817801,0.01958293976037318,0.00038349152965840483,0.67,1_iterative,160.0,50210041,ideal_simulation_v2,0.0392325359989627,50000000
0.7041348196258655,0.006715914307340642,CABIQAE,cabiqae_latentt,1010,0.01,0.7108507339332062,0.009537824462237318,9.09700954724526e-05,0.67,1_iterative,1010.0,10210044,ideal_simulation_v2,0.12239189399952011,10000000
0.5682384803402307,1.4165490866857589e-05,CABIQAE,cabiqae_latentt,109190,0.0001,0.5682526458310976,2.4928777893352193e-05,6.21443967256085e-10,0.52,1_iterative,109190.0,410047,ideal_simulation_v2,11.662483019999854,100000
0.5682384803402307,0.0010320078499062024,CABIQAE,cabiqae_latentt,1570,0.005,0.5692704881901369,0.0018161526992826877,3.2984106271117924e-06,0.52,1_iterative,1570.0,5310050,ideal_simulation_v2,0.17337879600017914,5000000
0.5682384803402307,0.0003900405130041751,CABIQAE,cabiqae_latentt,9060,0.001,0.5686285208532349,0.0006864028510892816,4.7114887398349453e-07,0.52,1_iterative,9060.0,1310053,ideal_simulation_v2,1.0124490189991775,1000000
0.5682384803402307,0.026239417899854844,CABIQAE,cabiqae_latentt,200,0.05,0.5419990624403759,0.04617677050689015,0.0021322941344459998,0.52,1_iterative,200.0,50310056,ideal_simulation_v2,0.03452220699909958,50000000
0.5682384803402307,0.005921220169206487,CABIQAE,cabiqae_latentt,1090,0.01,0.5623172601710242,0.010420308328399686,0.00010858282565891586,0.52,1_iterative,1090.0,10310059,ideal_simulation_v2,0.19804862399905687,10000000
0.49216902723816036,1.1922044226675421e-05,CABIQAE,cabiqae_latentt,101450,0.0001,0.49218094928238704,2.422347520236447e-05,5.867767508795664e-10,0.44,1_iterative,101450.0,510062,ideal_simulation_v2,10.352015448999737,100000
0.49216902723816036,0.0024776003335140184,CABIQAE,cabiqae_latentt,1850,0.005,0.4946466275716744,0.005034043583394997,2.5341594799520337e-05,0.44,1_iterative,1850.0,5410065,ideal_simulation_v2,0.212463765999928,5000000
0.49216902723816036,0.00014309967949877045,CABIQAE,cabiqae_latentt,9410,0.001,0.49231212691765913,0.00029075311850033296,8.453737591766866e-08,0.44,1_iterative,9410.0,1410068,ideal_simulation_v2,0.9193062749982346,1000000
