target_name,algorithm,algorithm_key,budget,query_budget_actual_median,normalized_abs_error_median,processed_relative_error_median,cva_relative_error_median,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
cva,BIQAE,biqae,1024,512.0,0.4317728559845454,0.4317728559845454,0.4317728559845454,0.05967337483644577,0.057370995407209587,3.0,0.25323245216537393,0.10969473582675662,1.0,0.06241017055998118,0.0569633565865608,80,80,0.4700055400998361,0.42846773297880575,0.44910051318598293,0.4549131848770975,0.41311102879207245,0.010571599685707351,0.0945552621126282,0.25323245216537393,0.26680413030158345,0.24228739113076936,0.006200186219715,0.4549131848770975,0.4134863011174791,0.01057159968570735,587.2,2.734762206906217,2.416176613434827,2.5714111572418874,2.2260288823574017,2.3275840521850824,2.1541298086977685,0.08249027722051663,1.0,80
cva,BIQAE,biqae,2048,512.0,0.41659965284509054,0.41659965284509054,0.41659965284509054,0.058899175086039625,0.055354884955705244,3.0,0.24433345032922088,0.11093089780967302,1.0,0.061851029401682196,0.056050090376729075,79,79,0.4643991286877198,0.4215956986816009,0.44327390280624757,0.4549131848770975,0.3946352941267093,0.011131938828000686,0.09894283654493434,0.24433345032922088,0.26680413030158345,0.23145147236001135,0.006528822105645408,0.4549131848770975,0.3946352941267093,0.011131938828000681,716.1518987341772,3.6014465789745187,2.8087768415008703,3.1889196796798105,2.2510969262986786,2.4247723055628336,2.1541298086977685,0.2036966134821171,0.9875,80
cva,BIQAE,biqae,4096,1664.0,0.6033742177866838,0.6033742177866838,0.6033742177866838,0.06628413236541592,0.0801721993350771,9.0,0.35387572568701564,0.15524074915897257,4.0,0.07543114275346668,0.056365767326587185,19,19,0.5662251862398945,0.4250094159800547,0.4988529296857336,0.6280385283094685,0.38685887737565766,0.03755622876936324,0.16370380590614927,0.35387572568701564,0.3683412108329289,0.2268906458614619,0.02202652569176332,0.6280385283094685,0.3868588773756577,0.03755622876936322,2405.0526315789475,13.80318099721088,8.521585491076335,11.079576685623886,8.02227565285284,18.468123500002548,7.927622300000318,1.3742135674936133,0.2375,80
cva,BIQAE,biqae,8192,1664.0,0.3832278133904811,0.3832278133904812,0.3832278133904812,0.049373529608147455,0.050920665385058905,9.0,0.22476104641075317,0.08349956468674516,4.0,0.05125773203435774,0.04720373716007761,5,5,0.385764569617071,0.3552542929068525,0.37158410338943454,0.38685887737565766,0.34421881917661434,0.008709854574076067,0.019475826901771565,0.22476104641075317,0.2268906458614619,0.20188248161825972,0.005108282749196322,0.3868588773756577,0.3442188191766144,0.008709854574076071,2969.6,26.685055862947287,7.964995254635179,14.244299346047802,8.02227565285284,39.065234500099905,7.9044107628495635,6.205466080146815,0.0625,80
cva,CABIQAE,cabiqae_latentt,1024,896.0,0.10608524857170439,0.1060852485717044,0.1060852485717044,0.016419069174064056,0.014095875236765198,3.0,0.06221842633698932,0.12742175208750353,1.0,0.018846888501067343,0.014094537843965286,80,80,0.1419337980039855,0.10587496448500036,0.12356955530533749,0.12534381488654348,0.09039912713073772,0.009242195853861171,0.08266471276240117,0.06221842633698932,0.07395236210768252,0.05301860068235842,0.005420498039713936,0.12357926410007176,0.0903991271307376,0.009242195853861171,923.2,1.9564335879884673,1.8587922327049335,1.9087105572648955,1.8752928077222295,1.9515252972293333,1.8520262368378768,0.025195069036410018,1.0,80
cva,CABIQAE,cabiqae_latentt,2048,1792.0,0.1471384798663266,0.1471384798663266,0.1471384798663266,0.018439637342064913,0.019550745109685574,5.0,0.0862959251560016,0.1212426265015796,2.0,0.020058573498283615,0.016762682179083926,80,80,0.15159738220113972,0.1264174004441872,0.13877630712159683,0.1604798287471921,0.12394268078379757,0.006423681697376839,0.05745515576462338,0.0862959251560016,0.09330898788453218,0.0728053658675007,0.0037674546827343707,0.16047982874719213,0.12439587660632487,0.006423681697376841,1724.8,3.670446598084879,3.4507834650176004,3.5602422458127263,3.686750115003088,3.7884451444260776,3.5540420014405534,0.05621506057678189,1.0,80
cva,CABIQAE,cabiqae_latentt,4096,3712.0,0.1739941737503961,0.1739941737503961,0.1739941737503961,0.021428590906814034,0.02311914425549831,7.0,0.10204664482863654,0.11549921001969476,3.0,0.022857015851700677,0.019871832336007464,80,80,0.1722125459255545,0.14986558313776518,0.1612711062425955,0.1826135202629173,0.15601314923339785,0.005756701253804031,0.05148950131865634,0.10204664482863654,0.1071018450876981,0.09156641336338922,0.0033762742485517814,0.18261352026291738,0.15612490212886707,0.005756701253804032,3740.8,7.894844009750087,7.58754917239609,7.741553372734496,7.7048615550534585,7.869969245135272,7.4989066117799235,0.07812954390915555,1.0,80
cva,CABIQAE,cabiqae_latentt,8192,8064.0,0.19235229158602607,0.1923522915860261,0.1923522915860261,0.025408577046135625,0.025558444177748718,7.0,0.11281358196287794,0.11177213110084726,3.0,0.026438398077642297,0.02422899003615211,66,66,0.1989510601100092,0.18222039828846873,0.19122439483304998,0.1963834508985765,0.1885723574621371,0.0042976144549335136,0.034913984880198506,0.11281358196287794,0.11508400369754135,0.11063319768092866,0.0025205277075665087,0.19622848046290248,0.1886346371522798,0.004297614454933514,7934.060606060606,16.506644527671853,16.155676749158207,16.32909691710851,16.28569733198784,16.569719788395826,16.031440553706965,0.09185254188266327,0.825,80
cva,CABIQAE,cabiqae_latentt,16384,16128.0,0.20028891336173318,0.20028891336173318,0.20028891336173318,0.025800842054752027,0.026613007671335148,7.0,0.11746836784465498,0.11398878013918197,3.0,0.027555514482785527,0.023676330786341758,35,35,0.20728415389196297,0.17810134720000687,0.19417657270395758,0.21136823719998551,0.19225371184484236,0.00758852361666069,0.04489431115210029,0.11746836784465498,0.1239663315424826,0.11275576547615868,0.004450628188240305,0.21136823719998557,0.19225371184484244,0.0075885236166606945,16032.914285714285,32.72220535862936,32.32406069507154,32.52859590925866,32.55198825353778,32.75032189308086,32.33424643396731,0.10286231086766015,0.4375,80
cva,CABIQAE,cabiqae_latentt,32768,32768.0,0.014567258740410682,0.014567258740410557,0.014567258740410557,0.0019355967442326871,0.0019355967442326871,11.0,0.008543618713015344,0.1348086910391253,5.0,0.0019355967442326871,0.0019355967442326871,1,1,0.014567258740410682,0.014567258740410682,0.014567258740410682,0.014567258740410682,0.014567258740410682,0.0,0.0,0.008543618713015344,0.008543618713015344,0.008543618713015344,0.0,0.014567258740410557,0.014567258740410557,0.0,32768.0,67.20410478149735,67.20410478149735,67.20410478149735,67.20410478149735,67.20410478149735,67.20410478149735,0.0,0.0125,80
