backend_name,objective_ry_offset,a_true,grover_power,amplification_factor,p_ideal,logical_num_qubits,logical_num_clbits,logical_depth_raw,logical_size_raw,logical_2q_raw,logical_depth_decomposed,logical_size_decomposed,logical_2q_decomposed,isa_num_qubits,isa_num_clbits,isa_depth,isa_size,isa_2q,isa_duration_seconds,isa_cz_count,isa_ecr_count,isa_cx_count,isa_rzz_count,isa_swap_count,isa_ops
ibm_basquecountry,-0.1,0.07333612840868373,1,3,0.5372592976143002,3,1,193,286,79,228,322,93,156,1,262,425,54,,54,0,0,0,0,cz:54;measure:1;rz:181;sx:168;x:21
ibm_basquecountry,-0.1,0.07333612840868373,2,5,0.9606694246278756,3,1,348,508,143,383,544,157,156,1,441,714,92,,92,0,0,0,0,cz:92;measure:1;rz:302;sx:285;x:34
ibm_basquecountry,-0.1,0.07333612840868373,3,7,0.8831812247397612,3,1,503,730,207,538,766,221,156,1,620,1003,130,,130,0,0,0,0,cz:130;measure:1;rz:423;sx:402;x:47
ibm_basquecountry,-0.1,0.07333612840868373,4,9,0.3890497138106993,3,1,658,952,271,693,988,285,156,1,799,1292,168,,168,0,0,0,0,cz:168;measure:1;rz:544;sx:519;x:60
ibm_basquecountry,-0.1,0.07333612840868373,5,11,0.015557450355854445,3,1,813,1174,335,848,1210,349,156,1,978,1581,206,,206,0,0,0,0,cz:206;measure:1;rz:665;sx:636;x:73
ibm_basquecountry,-0.1,0.07333612840868373,6,13,0.16881267571636682,3,1,968,1396,399,1003,1432,413,156,1,1157,1870,244,,244,0,0,0,0,cz:244;measure:1;rz:786;sx:753;x:86
ibm_basquecountry,-0.1,0.07333612840868373,7,15,0.6821768376722112,3,1,1123,1618,463,1158,1654,477,156,1,1336,2159,282,,282,0,0,0,0,cz:282;measure:1;rz:907;sx:870;x:99
ibm_basquecountry,-0.1,0.07333612840868373,8,17,0.9974551959870693,3,1,1278,1840,527,1313,1876,541,156,1,1515,2448,320,,320,0,0,0,0,cz:320;measure:1;rz:1028;sx:987;x:112
ibm_basquecountry,-0.1,0.07333612840868373,9,19,0.7718370631146679,3,1,1433,2062,591,1468,2098,605,156,1,1694,2737,358,,358,0,0,0,0,cz:358;measure:1;rz:1149;sx:1104;x:125
