a_true,abs_error,algorithm,algorithm_key,amplification_factor,budget,estimate,grover_power,k_max_budget,normalized_abs_error,normalized_sq_error,objective_ry_offset,query_budget,query_budget_actual,repetition,run_kind,runtime_wall_seconds,step_index,time_to_budget_seconds
0.7041348196258655,0.009593172837677244,BAE,bae,1,100,0.7137279924635428,0,0,0.013624056885547107,0.00018561492602062117,0.67,100.0,100.0,0,ideal_simulation,0.04031870719863026,0,0.04031870719863026
0.7041348196258655,0.01538380763084779,BAE,bae,15,400,0.7195186272567133,7,7,0.02184781550644209,0.000477327042403532,0.67,400.0,400.0,0,ideal_simulation,0.16127482879452104,1,0.16127482879452104
0.7041348196258655,0.0013853213625942828,BAE,bae,19,780,0.7055201409884598,9,9,0.0019674092574066405,3.870699186129514e-06,0.67,780.0,780.0,0,ideal_simulation,0.314485916149316,2,0.314485916149316
0.7041348196258655,0.00037568233613172186,BAE,bae,89,2560,0.7045105019619973,44,44,0.0005335375068248104,2.8466227118873995e-07,0.67,2560.0,2560.0,0,ideal_simulation,1.0321589042849346,3,1.0321589042849346
0.7041348196258655,0.0006042024027884674,BAE,bae,93,4420,0.704739022028654,46,46,0.0008580777231120367,7.362973789010258e-07,0.67,4420.0,4420.0,0,ideal_simulation,1.7820868581794576,4,1.7820868581794576
0.7041348196258655,0.0003755472954366512,BAE,bae,97,6360,0.7037592723304289,48,48,0.0005333457243830013,2.844576617176445e-07,0.67,6360.0,6360.0,0,ideal_simulation,2.5642697778328847,5,2.5642697778328847
0.7041348196258655,0.0009982243115195244,BAE,bae,99,8340,0.703136595314346,49,49,0.0014176607713419428,2.009762062601931e-06,0.67,8340.0,8340.0,0,ideal_simulation,3.3625801803657636,6,3.3625801803657636
0.7041348196258655,0.0008295019714553709,BAE,bae,97,10280,0.7033053176544102,48,49,0.0011780442442771368,1.3877882414745056e-06,0.67,10280.0,10280.0,0,ideal_simulation,4.1447631000191905,7,4.1447631000191905
0.7041348196258655,0.029026826359501046,BIQAE,biqae,1,10,0.6751079932663645,0,0,0.04122339295040705,0.0016993681263436655,0.67,10.0,10.0,0,ideal_simulation,0.0011527859081189966,0,0.0011527859081189966
0.7041348196258655,0.12837887753682042,BIQAE,biqae,1,20,0.5757559420890451,0,0,0.18232144464185587,0.033241109176293304,0.67,20.0,20.0,0,ideal_simulation,0.002305571816237993,1,0.002305571816237993
0.7041348196258655,0.06565985584827483,BIQAE,biqae,1,30,0.6384749637775907,0,0,0.09324898303305393,0.008695372836698785,0.67,30.0,30.0,0,ideal_simulation,0.00345835772435699,2,0.00345835772435699
0.7041348196258655,0.03010155634296907,BIQAE,biqae,1,40,0.6740332632828965,0,0,0.04274970574379947,0.0018275373411814385,0.67,40.0,40.0,0,ideal_simulation,0.004611143632475986,3,0.004611143632475986
0.7041348196258655,0.04310962656541306,BIQAE,biqae,1,50,0.6610251930604525,0,0,0.061223540384381075,0.0037483218971979372,0.67,50.0,50.0,0,ideal_simulation,0.005763929540594983,4,0.005763929540594983
0.7041348196258655,0.03706177523077192,BIQAE,biqae,1,60,0.6670730443950936,0,0,0.05263448731375661,0.0027703892547820087,0.67,60.0,60.0,0,ideal_simulation,0.00691671544871398,5,0.00691671544871398
0.7041348196258655,0.03263628640302518,BIQAE,biqae,1,70,0.6714985332228404,0,0,0.04634948520279983,0.002148274778564558,0.67,70.0,70.0,0,ideal_simulation,0.008069501356832976,6,0.008069501356832976
0.7041348196258655,0.029258273733487106,BIQAE,biqae,1,80,0.6748765458923784,0,0,0.0415520904775497,0.001726576223054477,0.67,80.0,80.0,0,ideal_simulation,0.009222287264951973,7,0.009222287264951973
0.7041348196258655,0.005705728736087545,BIQAE,biqae,1,90,0.698429090889778,0,0,0.008103176518268508,6.566146968621847e-05,0.67,90.0,90.0,0,ideal_simulation,0.01037507317307097,8,0.01037507317307097
0.7041348196258655,0.024442744775329595,BIQAE,biqae,1,100,0.679692074850536,0,0,0.03471316017054374,0.0012050034890258223,0.67,100.0,100.0,0,ideal_simulation,0.011527859081189966,9,0.011527859081189966
