a_true,abs_error,algorithm,algorithm_key,amplification_factor,budget,estimate,grover_power,k_max_budget,normalized_abs_error,normalized_sq_error,objective_ry_offset,query_budget,query_budget_actual,repetition,run_kind,runtime_wall_seconds,step_index,time_to_budget_seconds
0.7041348196258655,0.015130835784849417,BAE,bae,1,100,0.719265655410715,0,0,0.021488549299250707,0.0004617577509863279,0.67,100.0,100.0,0,ideal_simulation,0.029543472369030162,0,0.029543472369030162
0.7041348196258655,0.021088256077284928,BAE,bae,9,280,0.7252230757031505,4,4,0.02994917377966047,0.0008969530100843006,0.67,280.0,280.0,0,ideal_simulation,0.08272172263328445,1,0.08272172263328445
0.7041348196258655,0.0003745900338592012,BAE,bae,19,660,0.7037602295920063,9,9,0.0005319862381727346,2.830093576051871e-07,0.67,660.0,660.0,0,ideal_simulation,0.19498691763559906,2,0.19498691763559906
0.7041348196258655,0.00039118166566465273,BAE,bae,67,2000,0.7045260012915302,33,33,0.0005555493845234112,3.086351186444537e-07,0.67,2000.0,2000.0,0,ideal_simulation,0.5908694473806032,3,0.5908694473806032
0.7041348196258655,0.0008190184048836313,BAE,bae,63,3260,0.7049538380307492,31,33,0.0011631556657272083,1.3529311027133379e-06,0.67,3260.0,3260.0,0,ideal_simulation,0.9631171992303833,4,0.9631171992303833
0.7041348196258655,0.0006927822729864141,BAE,bae,95,5160,0.7034420373528791,47,47,0.0009838773111014686,9.680145633003173e-07,0.67,5160.0,5160.0,0,ideal_simulation,1.5244431742419564,5,1.5244431742419564
0.7041348196258655,0.0014172070657286762,BAE,bae,99,7140,0.7027176125601369,49,49,0.002012692777331611,4.050932215922895e-06,0.67,7140.0,7140.0,0,ideal_simulation,2.1094039271487537,6,2.1094039271487537
0.7041348196258655,0.0009246313124603445,BAE,bae,99,9120,0.7032101883134052,49,49,0.0013131452765702417,1.7243505173786973e-06,0.67,9120.0,9120.0,0,ideal_simulation,2.6943646800555507,7,2.6943646800555507
0.7041348196258655,0.0007903134763008746,BAE,bae,97,11060,0.7033445061495647,48,49,0.001122389426389678,1.2597580244712813e-06,0.67,11060.0,11060.0,0,ideal_simulation,3.2675080440147357,8,3.2675080440147357
0.7041348196258655,0.00029010502633675106,BAE,bae,201,15080,0.7038447145995288,100,100,0.0004120021027945973,1.6974573270714995e-07,0.67,15080.0,15080.0,0,ideal_simulation,4.455155633249748,9,4.455155633249748
0.7041348196258655,6.174600518016327e-05,BAE,bae,373,22540,0.7041965656310457,186,186,8.769060052018353e-05,7.68964141960624e-09,0.67,22540.0,22540.0,0,ideal_simulation,6.6590986719793985,10,6.6590986719793985
0.7041348196258655,6.774622356287008e-05,BAE,bae,389,30320,0.7042025658494284,194,194,9.621200610256188e-05,9.256750118276603e-09,0.67,30320.0,30320.0,0,ideal_simulation,8.957580822289945,11,8.957580822289945
0.7041348196258655,0.00014561544651048308,BAE,bae,797,46260,0.704280435072376,398,398,0.00020680051951962023,4.276645487362279e-08,0.67,46260.0,46260.0,0,ideal_simulation,13.666810317913352,12,13.666810317913352
0.7041348196258655,5.2946814231513706e-05,BAE,bae,1581,77880,0.7041877664400971,790,790,7.519414287685195e-05,5.654159122996638e-09,0.67,77880.0,77880.0,0,ideal_simulation,23.00845628100069,13,23.00845628100069
0.7041348196258655,0.03267155278521561,BIQAE,biqae,1,10,0.6714632668406499,0,0,0.046399569904205684,0.00215292008729527,0.67,10.0,10.0,0,ideal_simulation,0.0010144791206738613,0,0.0010144791206738613
0.7041348196258655,0.12921149045402414,BIQAE,biqae,1,20,0.5749233291718414,0,0,0.18350390699707092,0.033673683883189635,0.67,20.0,20.0,0,ideal_simulation,0.0020289582413477226,1,0.0020289582413477226
0.7041348196258655,0.06667318229890717,BIQAE,biqae,1,30,0.6374616373269584,0,0,0.09468809159918161,0.008965834690694998,0.67,30.0,30.0,0,ideal_simulation,0.0030434373620215837,2,0.0030434373620215837
0.7041348196258655,0.031056315498495524,BIQAE,biqae,1,40,0.67307850412737,0,0,0.04410563805805962,0.0019453073085085616,0.67,40.0,40.0,0,ideal_simulation,0.004057916482695445,3,0.004057916482695445
0.7041348196258655,0.04381743800441806,BIQAE,biqae,1,50,0.6603173816214475,0,0,0.062228761855151526,0.0038724188020251684,0.67,50.0,50.0,0,ideal_simulation,0.005072395603369306,4,0.005072395603369306
0.7041348196258655,0.03767395080266678,BIQAE,biqae,1,60,0.6664608688231988,0,0,0.05350388839268654,0.0028626660731370527,0.67,60.0,60.0,0,ideal_simulation,0.006086874724043167,5,0.006086874724043167
0.7041348196258655,0.03317502133748529,BIQAE,biqae,1,70,0.6709597982883803,0,0,0.04711458716828189,0.002219784324037631,0.67,70.0,70.0,0,ideal_simulation,0.007101353844717029,6,0.007101353844717029
0.7041348196258655,0.029739028880730545,BIQAE,biqae,1,80,0.674395790745135,0,0,0.042234850559630124,0.0017837826017942926,0.67,80.0,80.0,0,ideal_simulation,0.00811583296539089,7,0.00811583296539089
0.7041348196258655,0.006190451820208609,BIQAE,biqae,1,90,0.6979443678056569,0,0,0.008791571795154,7.729173462934727e-05,0.67,90.0,90.0,0,ideal_simulation,0.00913031208606475,8,0.00913031208606475
0.7041348196258655,0.024838029231475045,BIQAE,biqae,1,100,0.6792967903943905,0,0,0.035274536266609376,0.0012442929088243397,0.67,100.0,100.0,0,ideal_simulation,0.010144791206738613,9,0.010144791206738613
0.7041348196258655,0.02302926582322684,BIQAE,biqae,1,110,0.6811055538026387,0,0,0.03270576199521449,0.001069666867687615,0.67,110.0,110.0,0,ideal_simulation,0.011159270327412475,10,0.011159270327412475
0.7041348196258655,0.029451678556107086,BIQAE,biqae,1,120,0.6746831410697585,0,0,0.041826760636203046,0.0017494779053182253,0.67,120.0,120.0,0,ideal_simulation,0.012173749448086335,11,0.012173749448086335
0.7041348196258655,0.012861387381389755,BIQAE,biqae,1,130,0.6912734322444758,0,0,0.018265518225932236,0.00033362915606186336,0.67,130.0,130.0,0,ideal_simulation,0.013188228568760198,12,0.013188228568760198
0.7041348196258655,0.012251570904952103,BIQAE,biqae,1,140,0.6918832487209134,0,0,0.01739946749325909,0.00030274146904897824,0.67,140.0,140.0,0,ideal_simulation,0.014202707689434059,13,0.014202707689434059
0.7041348196258655,0.005307287328159216,BIQAE,biqae,1,150,0.6988275322977063,0,0,0.007537316974296465,5.6811147171018037e-05,0.67,150.0,150.0,0,ideal_simulation,0.015217186810107919,14,0.015217186810107919
0.7041348196258655,0.0007992567956898178,BIQAE,biqae,1,160,0.7049340764215554,0,0,0.0011350905727322137,1.2884306083057665e-06,0.67,160.0,160.0,0,ideal_simulation,0.01623166593078178,15,0.01623166593078178
