abs_error_mean,abs_error_median,algorithm,algorithm_key,amplification_factor_median,budget,estimate_mean,estimate_median,grover_power_max_median,n_points,n_runs,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_q25,normalized_abs_error_q75,normalized_abs_error_se,normalized_abs_error_std,normalized_rmse,normalized_rmse_median,normalized_sq_error_mean,normalized_standard_deviation,query_budget_actual,query_budget_actual_mean,query_budget_actual_median,query_budget_actual_q25,query_budget_actual_q75,run_kind,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_se,runtime_wall_seconds_std,success_rate,total_repetitions
0.03918176725094045,0.031746443826122905,BAE,bae,1.0,100,0.5704699958646732,0.5895820710881652,0.0,300,300,0.0708871656586827,0.054444875451680294,0.06172169807222731,0.04890651442440218,0.025733662464206573,0.09952373513353696,0.0034227425443801272,0.059283639880939536,0.09234622377839463,0.09234622377839463,0.008527825046129337,0.09136770495744716,100.0,100.0,100.0,100.0,100.0,ideal_simulation,0.0404583272734225,0.04000553676580296,0.00034154354174484547,0.005915707672990942,1.0,300
0.0159908502603834,0.009006262707972224,BAE,bae,9.0,282,0.5753944610824827,0.5818188009430678,4.0,208,208,0.029904175960132527,0.015408663138270785,0.02004763383159737,0.012509236400247713,0.008584509144259272,0.0331838240026858,0.0033966084368552254,0.048986583527020414,0.05729230451492592,0.05729230451492592,0.0032824081566310004,0.056313325100826886,282.5,282.5,280.0,240.0,320.0,ideal_simulation,0.1138355149255404,0.11413216226923781,0.0015105886846717498,0.021786019834878788,0.6933333333333334,300
0.02229174192600029,0.010357022431731255,BAE,bae,13.0,405,0.5602862701880595,0.597763286911435,6.0,105,95,0.04166442530237719,0.018020817824344622,0.022359712205965478,0.011717002457840518,0.007971425655281984,0.03872155948061131,0.005932313033026505,0.06078811957768305,0.0734569770658053,0.0734569770658053,0.0053959274796462455,0.07111749500321932,405.14285714285717,405.14285714285717,400.0,360.0,460.0,ideal_simulation,0.16593471658766495,0.16456707644773536,0.002935395770590145,0.03007885593984325,0.31666666666666665,300
0.006448228888533348,0.005021609496723978,BAE,bae,17.0,659,0.5692054168681313,0.6025519145596381,8.0,128,126,0.011480542415027599,0.008204687589496502,0.01033174906442397,0.006237161616704155,0.004114108145520936,0.015042326486713232,0.001102449510738029,0.01247279239933843,0.016916205527733336,0.016916205527733336,0.00028615800945651587,0.015569781178362298,658.90625,658.90625,660.0,620.0,700.0,ideal_simulation,0.26727808096962236,0.2638790178485697,0.004590492107690576,0.05193548957330134,0.42,300
0.006807318854725468,0.0036108044065968348,BAE,bae,31.0,982,0.584681071680879,0.5999101517100792,15.0,146,143,0.013040428532861392,0.006344772949880511,0.007512320718033561,0.004960178819297869,0.0028224610852333825,0.011557604934901794,0.0026517045026024813,0.03204066741333351,0.034490949651225816,0.034490949651225816,0.0011896256078433945,0.03277514841058134,982.1917808219179,982.1917808219179,970.0,860.0,1100.0,ideal_simulation,0.39455726500782573,0.38611647448482156,0.006531956824136793,0.07892593460357966,0.4766666666666667,300
0.005256994940597379,0.002381322734475444,BAE,bae,45.0,1466,0.5790122466346442,0.6071054377594693,22.0,121,116,0.009805543972968702,0.0043720197276061025,0.0049521407055869516,0.003497774201441073,0.002283206270978915,0.007115617759763266,0.002996671539144405,0.03296338693058846,0.03426008654729282,0.03426008654729282,0.0011737535302279944,0.033236236936110594,1465.7851239669421,1465.7851239669421,1440.0,1340.0,1600.0,ideal_simulation,0.5822672223947384,0.5668635038513725,0.010795357255388913,0.11874892980927805,0.38666666666666666,300
0.002287467064376052,0.0012488864013763257,BAE,bae,69.0,2271,0.5748798255600198,0.603994333571068,34.0,157,150,0.004065503049776123,0.002174398677338101,0.0030389375945488856,0.0018020613302566454,0.0011010016200408129,0.004440739248026056,0.0006238353566050115,0.007816634613926173,0.00878856764115844,0.00878856764115844,7.723892118321721e-05,0.008560679628834349,2271.082802547771,2271.082802547771,2280.0,2080.0,2480.0,ideal_simulation,0.931606133964919,0.9324929703714722,0.012178838862587046,0.15260041355912213,0.5,300
0.001978247095045326,0.0008248816754194144,BAE,bae,91.0,3305,0.5695936605337465,0.5695642125493477,45.0,242,231,0.003726273323906362,0.0014066156850645324,0.0016120792780922027,0.0011908605853094836,0.0006257554328385617,0.0026745442975927517,0.0017680918528601498,0.027505054256198185,0.0276999453739662,0.0276999453739662,0.0007672869737207113,0.027207995486292966,3304.793388429752,3304.793388429752,3260.0,2940.0,3660.0,ideal_simulation,1.3523737823552735,1.3374554212623,0.017471709037847956,0.27179600667077275,0.77,300
0.0006968464382726138,0.0005894853389287746,BAE,bae,97.0,5048,0.5688561178403786,0.5691323387468494,49.0,322,300,0.0012705104628197232,0.001077475593831137,0.0011718130503310363,0.0009210241577938055,0.0005256123222459582,0.0018553528376235712,5.369308899794093e-05,0.0009634880349943841,0.0015936194909405472,0.0015936194909405472,2.5396230819056086e-06,0.0015720539133801282,5047.76397515528,5047.76397515528,5040.0,4525.0,5520.0,ideal_simulation,2.0503767827384305,1.9874996654307489,0.021616141583772914,0.3878877927754994,1.0,300
0.0005371470747537234,0.00046350667872208096,BAE,bae,99.0,7676,0.5737578084121547,0.5695580380044603,49.0,503,300,0.0009616392440797023,0.0008180536282319397,0.0008785467127520167,0.000714399966274703,0.0004296099486566768,0.001361808678554695,3.299735354573081e-05,0.000740053475455688,0.0012129881932431193,0.0012129881932431193,1.4713403569472072e-06,0.001202914551377465,7676.262425447316,7676.262425447316,7700.0,6820.0,8500.0,ideal_simulation,3.116230696400199,3.0997031531865664,0.026119604171681642,0.5858016406676585,1.0,300
0.0004427850151223305,0.0003771324323643688,BAE,bae,99.0,10824,0.5732516020651972,0.6049624653543242,50.0,397,300,0.0007986552491655695,0.0006785846516947873,0.0007446982678591217,0.0005914829250598779,0.00032783956349977876,0.0011268205568286753,3.116700386004007e-05,0.0006209981525382067,0.001011196088968886,0.001011196088968886,1.0225175303459713e-06,0.000988982889112276,10823.727959697733,10823.727959697733,10580.0,10000.0,11380.0,ideal_simulation,4.378257114476116,4.327282199985348,0.03585693290512694,0.7144443267554315,1.0,300
0.08567896103283017,0.08206474767767802,BIQAE,biqae,1.0,10,0.5468001925135462,0.5576624469919096,0.0,300,300,0.15613137644046343,0.13246722397812155,0.1610905822891803,0.12551583381294978,0.07925825496187329,0.21928193748309452,0.006589148671521468,0.11412740277700155,0.19328386868438407,0.19328386868438407,0.037358653893602226,0.1730571472440368,10.0,10.0,10.0,10.0,10.0,ideal_simulation,0.0010774208424324128,0.0010546013320780214,6.392254218294265e-06,0.00011071709080982144,1.0,300
0.06707974566070452,0.058010662785319245,BIQAE,biqae,1.0,25,0.5600420056909556,0.5757559420890451,0.0,600,300,0.12443557858884724,0.09945284249041178,0.1093871125868742,0.08769474617851607,0.05242766545391935,0.1723923166148483,0.004161357370200551,0.1019320219436143,0.1608012233196381,0.1608012233196381,0.02585703342109212,0.15482314028002533,25.0,25.0,25.0,20.0,30.0,ideal_simulation,0.002693552106081032,0.0027989871591501576,2.4840798750966847e-05,0.0006084728174303448,1.0,300
0.05011772901700603,0.04545720320938074,BIQAE,biqae,1.0,49,0.5838551799376483,0.6087511684769937,0.0,756,300,0.09139292225677627,0.07420904747346466,0.08142128158580092,0.07145083929948345,0.0384606122319889,0.12510259813094612,0.002597638200184255,0.07142324208271919,0.11596205424198383,0.11596205424198383,0.013447198024020801,0.11452396258126005,49.15343915343915,49.15343915343915,50.0,40.0,60.0,ideal_simulation,0.0053027343367059426,0.005163073248238292,3.8083516568414916e-05,0.0010471235844291974,1.0,300
