a_true,abs_error,algorithm,algorithm_key,confidence_interval,elapsed_runtime_seconds,epsilon_target,final_estimate,max_queries_bae,n_shots,num_queries,objective_ry_offset,phase,rel_error,repetition
0.7041348196258655,3.798898841733678e-05,BIQAE,biqae,"[np.float64(0.7040844864983945), np.float64(0.7042611307301714)]",11.396239255000182,0.0001,0.7041728086142829,,,109820,0.67,1_iterative,5.395129932293622e-05,0
0.7041348196258655,8.8879265024433e-06,IQAE,iqae,"[np.float64(0.7040833896939698), np.float64(0.7042040254107661)]",14.324247827998988,0.0001,0.704143707552368,,,139910,0.67,1_iterative,1.2622478330450698e-05,0
0.7041348196258655,2.2683612650231666e-05,CABIQAE,cabiqae_latentt,"(0.7040912521613149, 0.7042237543157167)",12.668062877999546,0.0001,0.7041575032385158,,,122890,0.67,1_iterative,3.22148713825633e-05,0
0.7041348196258655,0.003351972490741706,BIQAE,biqae,"[np.float64(0.6966163758972175), np.float64(0.7049493183730303)]",0.4891041999999288,0.005,0.7007828471351238,,,2200,0.67,1_iterative,0.0047604129171211,0
0.7041348196258655,0.0007723039707309143,IQAE,iqae,"[np.float64(0.6999110421494282), np.float64(0.706813989160841)]",0.32353419099854364,0.005,0.7033625156551346,,,3100,0.67,1_iterative,0.0010968126404276807,0
0.7041348196258655,0.00258372276360308,CABIQAE,cabiqae_latentt,"(0.7031429014869811, 0.7102941832919563)",0.2702429860000848,0.005,0.7067185423894686,,,2090,0.67,1_iterative,0.003669358042790603,0
0.7041348196258655,0.00033539985586783505,BIQAE,biqae,"[np.float64(0.7036355690896392), np.float64(0.7053048698738275)]",1.4056204589996923,0.001,0.7044702194817334,,,10480,0.67,1_iterative,0.00047632903034967953,0
0.7041348196258655,6.0484947793981725e-05,IQAE,iqae,"[np.float64(0.703319009588655), np.float64(0.7050715995586642)]",1.113601158000165,0.001,0.7041953045736595,,,10780,0.67,1_iterative,8.589966879655199e-05,0
0.7041348196258655,0.00019298874865048,CABIQAE,cabiqae_latentt,"(0.7035370179481267, 0.7051185988009053)",1.266307568999764,0.001,0.704327808374516,,,10410,0.67,1_iterative,0.00027407925765270705,0
0.7041348196258655,0.0014197832859660364,BIQAE,biqae,"[np.float64(0.6589923731836226), np.float64(0.7464376994961763)]",0.08454870900095557,0.05,0.7027150363398995,,,260,0.67,1_iterative,0.0020163514804173764,0
