a_true,algorithm,algorithm_key,amplification_factor_max,ci_high,ci_low,coverage,final_abs_error,final_estimate,final_normalized_abs_error,final_queries,k_max,objective_ry_offset,repetition,run_kind,runtime_wall_seconds
0.7041348196258655,BAE,bae,1581,0.704295346578327,0.7040801863018671,1.0,5.2946814231513706e-05,0.7041877664400971,7.519414287685195e-05,77880.0,790,0.67,0,ideal_simulation,23.00845628100069
0.7041348196258655,BIQAE,biqae,1345,0.7044883668348,0.7039894428425565,1.0,0.0001040852128126879,0.7042389048386782,0.0001478200053620306,33230.0,672,0.67,0,ideal_simulation,3.371114117999241
0.7041348196258655,IQAE,iqae,783,0.7046520514625217,0.7040613823579815,1.0,0.00022189728438604117,0.7043567169102516,0.0003151346563204244,36350.0,391,0.67,0,ideal_simulation,3.411558503001288
0.7041348196258655,CABIQAE,cabiqae_latentt,3011,0.7042905045989875,0.7040655911129828,1.0,4.322823011959631e-05,0.7041780478559851,6.139197908514901e-05,71220.0,1505,0.67,0,ideal_simulation,6.684845565003343
0.7041348196258655,BAE,bae,793,0.7041102921896013,0.7038091254988573,0.0,0.00017511078163623406,0.7039597088442293,0.00024868928045523625,52400.0,396,0.67,1,ideal_simulation,15.855324276999454
0.7041348196258655,BIQAE,biqae,1905,0.7042434172734745,0.7038953602925521,1.0,6.543084285226541e-05,0.7040693887830133,9.292374276709024e-05,49020.0,952,0.67,1,ideal_simulation,5.124839210999198
0.7041348196258655,IQAE,iqae,1113,0.7043923987332492,0.7038907618322435,1.0,6.760656880877569e-06,0.7041415802827464,9.601367085453567e-06,42260.0,556,0.67,1,ideal_simulation,4.015248176001478
0.7041348196258655,CABIQAE,cabiqae_latentt,2497,0.7041898190944731,0.7039368429801812,1.0,7.148858853833762e-05,0.7040633310373272,0.00010152684762318998,63890.0,1248,0.67,1,ideal_simulation,5.9479989589999605
0.7041348196258655,BAE,bae,783,0.7042645943904228,0.7039346258040263,1.0,3.5209528641000354e-05,0.7040996100972245,5.000395898573594e-05,55480.0,391,0.67,2,ideal_simulation,18.85644520200003
0.7041348196258655,BIQAE,biqae,1179,0.7044522173735303,0.7039338192577802,1.0,5.819868978973464e-05,0.7041930183156553,8.265276502113315e-05,35490.0,589,0.67,2,ideal_simulation,3.6274319069998455
0.7041348196258655,IQAE,iqae,831,0.7044047452335138,0.7038590200920283,1.0,2.9369630945019765e-06,0.704131882662771,4.1710238048766e-06,42320.0,415,0.67,2,ideal_simulation,4.562957041998743
0.7041348196258655,CABIQAE,cabiqae_latentt,1167,0.70426097818364,0.7039282108041521,1.0,4.022513196944022e-05,0.7040945944938961,5.712703142675633e-05,51930.0,583,0.67,2,ideal_simulation,4.86170151099941
0.5682384803402307,BAE,bae,1541,0.5683306302527791,0.5680993510219874,1.0,2.348970284749008e-05,0.5682149906373832,4.1337754587520555e-05,71920.0,770,0.52,3,ideal_simulation,20.072587568996823
0.5682384803402307,BIQAE,biqae,1003,0.568610296021027,0.568049641797829,1.0,9.148856919727333e-05,0.568329968909428,0.00016100382561648214,34080.0,501,0.52,3,ideal_simulation,3.545844266998756
0.5682384803402307,IQAE,iqae,1443,0.568529645207222,0.5679675816719972,1.0,1.0133099378917265e-05,0.5682486134396096,1.7832476556058133e-05,38280.0,721,0.52,3,ideal_simulation,3.5857308139966335
0.5682384803402307,CABIQAE,cabiqae_latentt,2041,0.5683528593165043,0.5680145330884463,1.0,5.478413775539259e-05,0.5681836962024753,9.641046787713284e-05,52320.0,1020,0.52,3,ideal_simulation,4.8103928879972955
0.49216902723816036,BAE,bae,795,0.4922095449825508,0.4917468394441455,1.0,0.00019083502481220815,0.49197819221334815,0.00038774285712998185,52920.0,397,0.44,4,ideal_simulation,24.850197936000768
0.49216902723816036,BIQAE,biqae,1181,0.49235823439681625,0.49176564525713434,1.0,0.00010708741118503617,0.4920619398269753,0.00021758258902630342,34300.0,590,0.44,4,ideal_simulation,3.3511881649974384
