a_true,algorithm,algorithm_key,amplification_factor_max,ci_high,ci_low,coverage,final_abs_error,final_estimate,final_normalized_abs_error,final_queries,k_max,objective_ry_offset,repetition,run_kind,runtime_wall_seconds
0.7041348196258655,BAE,bae,99,0.7042314944266791,0.7023791408821413,1.0,0.0008295019714553709,0.7033053176544102,0.0011780442442771368,10280.0,49,0.67,0,ideal_simulation,4.1447631000191905
0.7041348196258655,BIQAE,biqae,389,0.7046609778161742,0.7029478912450919,1.0,0.00033038509523242165,0.7038044345306331,0.0004692071546866099,9580.0,194,0.67,0,ideal_simulation,1.1043688999779988
0.7041348196258655,CABIQAE,cabiqae_latentt,269,0.7048403342450092,0.703072629919447,1.0,0.00017833754363738574,0.7039564820822282,0.0002532718716170626,9740.0,134,0.67,0,ideal_simulation,0.9314014999836218
0.7041348196258655,BAE,bae,99,0.7049987869761788,0.7032044702527632,1.0,3.319101139453995e-05,0.704101628614471,4.7137295968655027e-05,11940.0,49,0.67,1,ideal_simulation,4.907794200000353
0.7041348196258655,BIQAE,biqae,323,0.7046325595078251,0.7030632050539002,1.0,0.00028693734500284673,0.7038478822808627,0.0004075034169668073,11370.0,161,0.67,1,ideal_simulation,1.2388820000051055
0.7041348196258655,CABIQAE,cabiqae_latentt,537,0.7047839995768161,0.7035550890503892,1.0,3.4724687737131e-05,0.7041695443136027,4.931539638329715e-05,12650.0,268,0.67,1,ideal_simulation,1.2765808000112884
0.7041348196258655,BAE,bae,99,0.7054294728065966,0.703443209798992,1.0,0.0003015216769287621,0.7044363413027943,0.0004282158310094257,10940.0,49,0.67,2,ideal_simulation,4.084734000003664
0.7041348196258655,BIQAE,biqae,463,0.7046455746014273,0.7031657426448616,1.0,0.00022916100272107887,0.7039056586231445,0.0003254504625163134,10390.0,231,0.67,2,ideal_simulation,1.0065022000053432
0.7041348196258655,CABIQAE,cabiqae_latentt,433,0.7051586801332536,0.7036851656939214,1.0,0.00028710328772196814,0.7044219229135875,0.0004077390859246492,10870.0,216,0.67,2,ideal_simulation,1.0752273999969475
0.5682384803402307,BAE,bae,193,0.568679074190224,0.5669917415021851,1.0,0.00040307249402615764,0.5678354078462046,0.000709336850585725,12640.0,96,0.52,3,ideal_simulation,4.1799471999984235
0.5682384803402307,BIQAE,biqae,365,0.5690118693352391,0.5670820403659111,1.0,0.00019152548965561955,0.5680469548505751,0.0003370512492236435,8800.0,182,0.52,3,ideal_simulation,0.8580354000150692
0.5682384803402307,CABIQAE,cabiqae_latentt,295,0.6272117083608941,0.6258011604886616,0.0,0.05826795408454721,0.6265064344247779,0.10254137320946566,9050.0,147,0.52,3,ideal_simulation,0.819611500017345
0.49216902723816036,BAE,bae,101,0.4928448311122426,0.49020838109463855,1.0,0.000642421134719795,0.49152660610344057,0.00130528558110368,10540.0,50,0.44,4,ideal_simulation,4.0946359999943525
0.49216902723816036,BIQAE,biqae,447,0.492864634272725,0.4913149273438899,1.0,7.92464298529083e-05,0.49208978080830745,0.00016101466257965272,10920.0,223,0.44,4,ideal_simulation,1.049697999987984
0.49216902723816036,CABIQAE,cabiqae_latentt,377,0.4930984019448119,0.49129842883657227,1.0,2.938815253172855e-05,0.4921984153906921,5.9711503376476466e-05,8860.0,188,0.44,4,ideal_simulation,0.8136245000059716
0.7041348196258655,BAE,bae,97,0.7054867415604223,0.7034544025337041,1.0,0.0003357524211976548,0.7044705720470632,0.00047682973748699607,10820.0,48,0.67,5,ideal_simulation,4.894516800006386
0.7041348196258655,BIQAE,biqae,261,0.7050646039188228,0.7031294162680245,1.0,3.780953244192364e-05,0.7040970100934236,5.369643907400195e-05,9470.0,130,0.67,5,ideal_simulation,0.9719583000114653
0.7041348196258655,CABIQAE,cabiqae_latentt,357,0.7053623007273664,0.7035003598515649,1.0,0.00029651066360003586,0.7044313302894656,0.00042109927720600953,7740.0,178,0.67,5,ideal_simulation,0.7561555999855045
0.3602728053304129,BAE,bae,101,0.3612047329550973,0.35920238455536807,1.0,6.924657518020405e-05,0.3602035587552327,0.00019220594548260929,10080.0,50,0.3,6,ideal_simulation,4.262450899987016
0.3602728053304129,BIQAE,biqae,667,0.36089696396726845,0.3598163569092194,1.0,8.385510783104344e-05,0.36035666043824394,0.00023275447547071548,14800.0,333,0.3,6,ideal_simulation,1.5990214000048582
0.3602728053304129,CABIQAE,cabiqae_latentt,281,0.3612963545378844,0.35967246159365646,1.0,0.00021160273535753005,0.3604844080657704,0.000587340293873875,10470.0,140,0.3,6,ideal_simulation,1.0000899999868125
0.530324472540106,BAE,bae,101,0.5309752782481989,0.5290431684843422,1.0,0.00031524917383540796,0.5300092233662705,0.0005944458348781314,11920.0,50,0.48,7,ideal_simulation,5.783332799997879
0.530324472540106,BIQAE,biqae,361,0.5314530860862365,0.5294656673412439,1.0,0.00013490417363426488,0.5304593767137402,0.0002543804418229308,9510.0,180,0.48,7,ideal_simulation,0.9790934000047855
0.530324472540106,CABIQAE,cabiqae_latentt,407,0.5314439633079349,0.5297081576633164,1.0,0.0002515879455196046,0.5305760604856256,0.0004744038009684311,9700.0,203,0.48,7,ideal_simulation,1.0790306999988388
0.49216902723816036,BAE,bae,99,0.49305883677984985,0.4903959151582514,1.0,0.00044165126910972186,0.49172737596905064,0.0008973568929927949,10220.0,49,0.44,8,ideal_simulation,4.4283581000054255
0.49216902723816036,BIQAE,biqae,419,0.4929051624673333,0.49115502976262826,1.0,0.00013893112317958645,0.4920300961149808,0.0002822833528538108,10640.0,209,0.44,8,ideal_simulation,1.1569621000089683
0.49216902723816036,CABIQAE,cabiqae_latentt,371,0.4925830895744576,0.49114599685378335,1.0,0.00030448402403987496,0.4918645432141205,0.0006186574269992314,11660.0,185,0.44,8,ideal_simulation,1.0791506000095978
0.530324472540106,BAE,bae,101,0.5313891128516975,0.5292723215189626,1.0,6.244645224140477e-06,0.5303307171853301,1.1775140593136071e-05,10860.0,50,0.48,9,ideal_simulation,3.8915781999821775
0.530324472540106,BIQAE,biqae,531,0.530805360802756,0.5295621577678975,1.0,0.00014071325477926777,0.5301837592853267,0.00026533426621873704,14970.0,265,0.48,9,ideal_simulation,1.5637595000152942
0.530324472540106,CABIQAE,cabiqae_latentt,263,0.5311066973836601,0.5291260196497827,1.0,0.00020811402338449803,0.5301163585167215,0.0003924277195575947,9250.0,131,0.48,9,ideal_simulation,0.9176828000054229
0.6056665183230261,BAE,bae,101,0.6053530835109802,0.6033388607380303,0.0,0.0013205461985208444,0.6043459721245052,0.002180318968559105,10840.0,50,0.56,10,ideal_simulation,4.337349799985532
0.6056665183230261,BIQAE,biqae,487,0.6066198145922505,0.6051594805167418,1.0,0.00022312923147005392,0.6058896475544961,0.0003684027839079759,12860.0,243,0.56,10,ideal_simulation,1.3907689999905415
0.6056665183230261,CABIQAE,cabiqae_latentt,355,0.6070126571163386,0.6052031007800445,1.0,0.0004413606251654212,0.6061078789481915,0.000728718877159437,9550.0,177,0.56,10,ideal_simulation,1.2245547999918927
0.3602728053304129,BAE,bae,101,0.3604865182007095,0.35842818731201526,1.0,0.0008154525740505236,0.35945735275636237,0.002263430827932341,10120.0,50,0.3,11,ideal_simulation,3.7320099999778904
0.3602728053304129,BIQAE,biqae,313,0.3615107639689872,0.35976382265615586,1.0,0.00036448798215865663,0.36063729331257155,0.0010116999583811993,10010.0,156,0.3,11,ideal_simulation,1.026498699997319
0.3602728053304129,CABIQAE,cabiqae_latentt,511,0.36090459269625974,0.35951837430034483,1.0,6.132183211060571e-05,0.3602114834983023,0.0001702094390787179,11040.0,255,0.3,11,ideal_simulation,1.0743776999879628
0.6692728078979026,BAE,bae,97,0.6706391705675827,0.6686601443095794,1.0,0.0003768495406785144,0.6696496574385811,0.0005630731388328012,10420.0,48,0.63,12,ideal_simulation,4.115442499984056
