model,contrast_prefactor,slope_log_contrast,t_eff,rmse_log_contrast,r2_log_contrast,fit_points,calibration_status
free_intercept,1.1603033548425017,-0.029449780300553667,33.95611070080545,0.2025852987108202,0.869993415469535,24,ok
zero_intercept,1.0,-0.025842324525331358,38.696209352984965,0.2156844191528919,0.948298641102409,24,ok
