a_true,abs_error,algorithm,algorithm_key,amplification_factor,budget,estimate,grover_power,normalized_abs_error,query_budget_actual,repetition,replay_probability_extrapolated,replay_probability_source,run_kind,runtime_wall_seconds
0.3602728053304129,0.03348855183153776,CABIQAE,cabiqae_latentt,1,256,0.39376135716195065,0,0.09295331575422348,256.0,250,True,measured,hardware_replay,0.007062031523886453
0.3602728053304129,0.03348855183153776,CABIQAE,cabiqae_latentt,1,512,0.39376135716195065,0,0.09295331575422348,256.0,250,True,measured,hardware_replay,0.007062031523886453
0.3602728053304129,0.013033217839321376,CABIQAE,cabiqae_latentt,3,1024,0.37330602316973427,1,0.036175969005954725,1024.0,250,True,measured,hardware_replay,0.028248126095545813
0.3602728053304129,0.013033217839321376,CABIQAE,cabiqae_latentt,3,2048,0.37330602316973427,1,0.036175969005954725,1024.0,250,True,measured,hardware_replay,0.028248126095545813
0.3602728053304129,0.013033217839321376,CABIQAE,cabiqae_latentt,3,4096,0.37330602316973427,1,0.036175969005954725,1024.0,250,True,measured,hardware_replay,0.028248126095545813
0.3602728053304129,0.00013467807965811263,CABIQAE,cabiqae_latentt,13,8192,0.360407483410071,6,0.0003738224969120188,4352.0,250,True,measured,hardware_replay,0.12005453590606971
0.3602728053304129,0.0012312421805146245,CABIQAE,cabiqae_latentt,33,16384,0.3615040475109275,16,0.0034175273911818834,12800.0,250,True,measured,hardware_replay,0.3531015761943227
0.3602728053304129,0.0003018219708897929,CABIQAE,cabiqae_latentt,33,32768,0.3605746273013027,16,0.0008377595156342327,29696.0,250,True,measured,hardware_replay,0.8191956567708286
0.3602728053304129,0.0004298831823325022,CABIQAE,cabiqae_latentt,33,65536,0.3607026885127454,16,0.0011932157408834907,63488.0,250,True,measured,hardware_replay,1.7513838179238403
0.3602728053304129,0.0059792569086750125,BIQAE,biqae,1,256,0.3542935484217379,0,0.016596470286430097,256.0,250,True,measured,hardware_replay,0.007339259129746453
0.3602728053304129,0.0059792569086750125,BIQAE,biqae,1,512,0.3542935484217379,0,0.016596470286430097,256.0,250,True,measured,hardware_replay,0.007339259129746453
0.3602728053304129,0.003696632767166419,BIQAE,biqae,3,1024,0.3639694380975793,1,0.010260648909584414,1024.0,250,True,measured,hardware_replay,0.029357036518985812
0.3602728053304129,0.003696632767166419,BIQAE,biqae,3,2048,0.3639694380975793,1,0.010260648909584414,1024.0,250,True,measured,hardware_replay,0.029357036518985812
0.3602728053304129,0.003696632767166419,BIQAE,biqae,3,4096,0.3639694380975793,1,0.010260648909584414,1024.0,250,True,measured,hardware_replay,0.029357036518985812
0.3602728053304129,0.0023873743949830994,BIQAE,biqae,23,8192,0.362660179725396,11,0.00662657397300247,6912.0,250,True,measured,hardware_replay,0.19815999650315422
0.3602728053304129,0.0023873743949830994,BIQAE,biqae,23,16384,0.362660179725396,11,0.00662657397300247,6912.0,250,True,measured,hardware_replay,0.19815999650315422
0.3602728053304129,0.0023873743949830994,BIQAE,biqae,23,32768,0.362660179725396,11,0.00662657397300247,6912.0,250,True,measured,hardware_replay,0.19815999650315422
