profile,phase,repetition,scenario_id,algorithm,algorithm_key,epsilon_target,objective_ry_offset,a_true,final_estimate,abs_error,rel_error,num_queries,elapsed_runtime_seconds,confidence_interval,max_queries_bae_target,n_shots,bae_kind,noise_profile
realistic,iterative,0,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.1903945283282128,0.0019490122643955887,0.01013297487605096,392576,94.37086560000898,"(0.1902948697076927, 0.19049418694873288)",nan,,hardware,realistic
realistic,iterative,0,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.19018289181514922,0.0021606487774591676,0.011233279634981408,80896,16.150055700010853,"(0.18918928263826204, 0.1911765009920364)",nan,,hardware,realistic
realistic,iterative,0,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.19019539103496524,0.002148149557643142,0.011168295805643986,24576,4.8101832999964245,"(0.1877587264115033, 0.19263205565842723)",nan,,hardware,realistic
realistic,iterative,0,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.190450410332637,0.0018931302599713984,0.009842442611478838,11776,2.2589747000019997,"(0.18554490880795454, 0.19535591185731946)",nan,,hardware,realistic
realistic,iterative,0,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.1885757691897541,0.003767771402854281,0.01958875973295395,5376,1.1454217999998946,"(0.18120905295530104, 0.19594248542420717)",nan,,hardware,realistic
realistic,iterative,0,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.18287918544891332,0.009464355143695063,0.04920547430153093,4096,0.8278145999938715,"(0.17306089213410944, 0.1926974787637172)",nan,,hardware,realistic
realistic,iterative,1,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.18893043172743554,0.003413108865172848,0.017744858260678245,386688,91.70184219998191,"(0.18883076325134082, 0.18903010020353025)",nan,,hardware,realistic
realistic,iterative,1,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.18880977638515295,0.0035337642074554365,0.018372149106582664,73088,14.655042900005355,"(0.18781011836678133, 0.18980943440352457)",nan,,hardware,realistic
realistic,iterative,1,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.19154405784823553,0.0007994827443728592,0.004156535446470734,20096,4.057729599997401,"(0.18909614620389825, 0.19399196949257277)",nan,,hardware,realistic
realistic,iterative,1,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.1816596969838773,0.010683843608731092,0.05554563244398166,9088,1.793122899980517,"(0.1767928796801087, 0.18652651428764586)",nan,,hardware,realistic
realistic,iterative,1,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.18761296633481023,0.004730574257798159,0.024594401471571704,5376,1.1327512999996543,"(0.18017240408509835, 0.19505352858452213)",nan,,hardware,realistic
realistic,iterative,1,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.19224607272547917,9.746786712921951e-05,0.0005067384474098899,5120,0.8967247999971732,"(0.1834896838285284, 0.2010024616224299)",nan,,hardware,realistic
realistic,iterative,2,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.18992248899078018,0.0024210516018282058,0.012587121950490106,366336,94.94907640002202,"(0.1898228074433376, 0.1900221705382228)",nan,,hardware,realistic
realistic,iterative,2,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.19029529673042236,0.002048243862186022,0.010648883013567312,76416,16.84433690001606,"(0.1892980199806553, 0.19129257348018944)",nan,,hardware,realistic
realistic,iterative,2,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.1869112654256031,0.005432275167005285,0.028242566141126982,21248,4.671915299986722,"(0.18443519037310646, 0.18938734047809974)",nan,,hardware,realistic
realistic,iterative,2,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.1937181873816536,0.0013746467890452252,0.007146831054528544,11776,2.4774678999965545,"(0.18878947192109913, 0.1986469028422081)",nan,,hardware,realistic
realistic,iterative,2,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.1977175682980896,0.005374027705481205,0.02793973579213465,6016,1.3101361000153702,"(0.19032443436108576, 0.20511070223509342)",nan,,hardware,realistic
realistic,iterative,2,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.18946454930421913,0.0028789912883892543,0.014967964505171908,3968,0.8126839000033215,"(0.17972209387923446, 0.1992070047292038)",nan,,hardware,realistic
