profile,scenario_id,objective_ry_offset,a_true,rep,algorithm,final_queries,final_estimate,final_abs_error,final_normalized_abs_error,coverage,runtime_seconds,k_max
realistic,1,0.3,0.3602728053304129,1,CABIQAE_latentt,33792,0.3621240977059341,0.0018512923755212296,0.00513858483940628,1.0,5.316763099999662,9
realistic,1,0.3,0.3602728053304129,1,BIQAE,11392,0.3696487704496646,0.009375965119251706,0.026024626284664572,0.0,2.2162795000003825,71
realistic,1,0.3,0.3602728053304129,1,BAE,16272,0.36130773696968477,0.0010349316392718744,0.002872633248914581,1.0,59.17805159999989,23
realistic,1,0.3,0.3602728053304129,2,CABIQAE_latentt,29184,0.35809166169355655,0.002181143636856342,0.006054144538764103,1.0,4.7318711999978404,9
realistic,1,0.3,0.3602728053304129,2,BIQAE,12032,0.3787195698904483,0.01844676456003541,0.05120221201019472,0.0,2.285583699998824,77
realistic,1,0.3,0.3602728053304129,2,BAE,17552,0.35343172140965523,0.006841083920757662,0.01898862145446581,0.0,66.10255120000147,21
realistic,1,0.3,0.3602728053304129,3,CABIQAE_latentt,31360,0.35950810096842634,0.0007647043619865568,0.002122570315251056,1.0,4.825947699999233,11
realistic,1,0.3,0.3602728053304129,3,BIQAE,51456,0.3597050889010571,0.000567716429355769,0.0015757959550544087,0.0,8.78908269999738,331
realistic,1,0.3,0.3602728053304129,3,BAE,15888,0.35964714369495093,0.0006256616354619604,0.001736632979800278,1.0,81.91337030000068,21
realistic,1,0.3,0.3602728053304129,4,CABIQAE_latentt,24448,0.35938319764997406,0.0008896076804388309,0.0024692612577931193,1.0,3.7903063999983715,11
realistic,1,0.3,0.3602728053304129,4,BIQAE,13184,0.38662705331517067,0.026354247984757773,0.07315081125978355,0.0,2.58725890000278,83
realistic,1,0.3,0.3602728053304129,4,BAE,16400,0.3623586978420209,0.002085892511608012,0.0057897584295739475,1.0,55.48644570000033,23
realistic,1,0.3,0.3602728053304129,5,CABIQAE_latentt,34688,0.3585643329979192,0.0017084723324937157,0.004742162903266717,1.0,5.107958900000085,11
realistic,1,0.3,0.3602728053304129,5,BIQAE,11520,0.373125380104708,0.012852574774295134,0.03567456267621365,0.0,2.0441563999993377,73
realistic,1,0.3,0.3602728053304129,5,BAE,15888,0.3582242731748536,0.0020485321555592795,0.005686058246002033,1.0,55.393737400001555,21
realistic,1,0.3,0.3602728053304129,6,CABIQAE_latentt,24576,0.3562135411803907,0.004059264150022168,0.01126719555282376,0.0,3.796311500002048,9
realistic,1,0.3,0.3602728053304129,6,BIQAE,14080,0.3800235850788919,0.019750779748478997,0.05482173357593613,0.0,2.548356600000261,91
realistic,1,0.3,0.3602728053304129,6,BAE,15760,0.35790541496624484,0.002367390364168054,0.006571104810414086,1.0,56.65073200000188,21
realistic,1,0.3,0.3602728053304129,7,CABIQAE_latentt,21632,0.3630204568823026,0.002747651551889718,0.007626586051561111,1.0,3.2265442999996594,11
realistic,1,0.3,0.3602728053304129,7,BIQAE,12928,0.3683559287122129,0.008083123381800006,0.02243611858071503,0.0,2.264920199999324,83
realistic,1,0.3,0.3602728053304129,7,BAE,17168,0.3591024418395067,0.0011703634909062122,0.003248547971398646,1.0,63.67680169999949,23
realistic,1,0.3,0.3602728053304129,8,CABIQAE_latentt,29056,0.35632281377274394,0.003949991557668953,0.010963890416448008,0.0,4.652828599999339,9
realistic,1,0.3,0.3602728053304129,8,BIQAE,13184,0.38721845065554694,0.02694564532513405,0.07479233771314406,0.0,2.470763600002101,83
realistic,1,0.3,0.3602728053304129,8,BAE,16528,0.35926974567482794,0.001003059655584948,0.002784166999962774,1.0,64.19067599999835,23
realistic,1,0.3,0.3602728053304129,9,CABIQAE_latentt,35712,0.3623378228081405,0.002065017477727582,0.005731816132593511,1.0,5.958071299999574,11
