profile,scenario_id,objective_ry_offset,a_true,rep,algorithm,final_queries,final_estimate,final_abs_error,final_nrmse,coverage,runtime_seconds,k_max
realistic,1,0.3,0.1974749920998408,1,CABIQAE_latentt,22016,0.20117234210709142,0.0036973500072506327,0.018723130295816397,0.0,8.75281950016506,5
realistic,1,0.3,0.1974749920998408,1,BIQAE,20480,0.20384416325564053,0.006369171155799741,0.032253051832404026,0.0,6.288928099907935,129
realistic,1,0.3,0.1974749920998408,1,BAE,16784,0.19640228169233553,0.0010727104075052563,0.0054321329303454674,1.0,46.80951720010489,25
realistic,1,0.3,0.1974749920998408,2,CABIQAE_latentt,15616,0.1993238749874673,0.0018488828876264962,0.009362617858425968,1.0,5.521831300109625,5
realistic,1,0.3,0.1974749920998408,2,BIQAE,19072,0.1924707084994905,0.0050042836003502955,0.02534135359185225,0.0,5.0084842999931425,123
realistic,1,0.3,0.1974749920998408,2,BAE,15120,0.1970767887411931,0.00039820335864768075,0.0020164748681005353,1.0,45.34018009994179,19
realistic,1,0.3,0.1974749920998408,3,CABIQAE_latentt,18816,0.19698562254195773,0.0004893695578830626,0.002478134333261012,1.0,7.153662099968642,5
realistic,1,0.3,0.1974749920998408,3,BIQAE,8192,0.18605835623944314,0.01141663586039765,0.05781307161478729,0.0,2.7839254999998957,51
realistic,1,0.3,0.1974749920998408,3,BAE,15760,0.20113768490690603,0.003662692807065243,0.0185476285787794,1.0,51.73214880004525,19
realistic,1,0.3,0.1974749920998408,4,CABIQAE_latentt,18176,0.19773509850223825,0.00026010640239745864,0.0013171612244752095,1.0,6.78425920009613,5
realistic,1,0.3,0.1974749920998408,4,BIQAE,23936,0.20606731140344042,0.008592319303599633,0.04351092364776735,0.0,6.546453000046313,155
realistic,1,0.3,0.1974749920998408,4,BAE,16272,0.19603028528597344,0.0014447068138673524,0.007315897565079671,1.0,50.078410800080746,19
realistic,1,0.3,0.1974749920998408,5,CABIQAE_latentt,20736,0.19771907973098335,0.00024408763114255883,0.0012360432505760085,1.0,7.055239100009203,5
realistic,1,0.3,0.1974749920998408,5,BIQAE,23168,0.20441398456530058,0.006938992465459787,0.03513858839377253,0.0,6.033116600010544,149
realistic,1,0.3,0.1974749920998408,5,BAE,15120,0.19489639393653196,0.002578598163308826,0.013057846646248353,1.0,40.093430700013414,19
realistic,1,0.3,0.1974749920998408,6,CABIQAE_latentt,20608,0.19696316808932085,0.0005118240105199401,0.0025918421622782924,1.0,7.620023499941453,5
realistic,1,0.3,0.1974749920998408,6,BIQAE,26240,0.19709307848885207,0.00038191361098871557,0.0019339846880238132,1.0,6.7146497999783605,169
realistic,1,0.3,0.1974749920998408,6,BAE,16400,0.19792660337678197,0.00045161127694118286,0.0022869289530739875,1.0,39.60913069988601,19
realistic,1,0.3,0.1974749920998408,7,CABIQAE_latentt,14848,0.19395617449568875,0.0035188176041520414,0.017819054284974843,0.0,5.4952050999272615,5
realistic,1,0.3,0.1974749920998408,7,BIQAE,26112,0.19708956693042795,0.00038542516941283966,0.0019517669823122398,1.0,7.088368900120258,169
realistic,1,0.3,0.1974749920998408,7,BAE,15376,0.19694239211373993,0.0005325999861008623,0.0026970502970400764,1.0,39.7664691999089,19
realistic,1,0.3,0.1974749920998408,8,CABIQAE_latentt,20096,0.19541997320015042,0.0020550188996903695,0.010406476677570286,1.0,6.802376700099558,5
realistic,1,0.3,0.1974749920998408,8,BIQAE,13824,0.16951713580119607,0.027957856298644723,0.1415766928326276,0.0,3.7066981999669224,87
realistic,1,0.3,0.1974749920998408,8,BAE,16144,0.1994674336653286,0.001992441565487807,0.010089589290781966,1.0,39.18907560012303,25
realistic,1,0.3,0.1974749920998408,9,CABIQAE_latentt,21376,0.19376759778073596,0.0037073943191048286,0.01877399401150713,0.0,7.606079800054431,5
realistic,1,0.3,0.1974749920998408,9,BIQAE,31360,0.24636135544991844,0.04888636335007765,0.2475572366416976,0.0,7.790119200013578,195
realistic,1,0.3,0.1974749920998408,9,BAE,16144,0.19527848976996098,0.002196502329879807,0.011122939196114939,1.0,39.84313860000111,23
realistic,1,0.3,0.1974749920998408,10,CABIQAE_latentt,18816,0.19575629323132354,0.0017186988685172488,0.008703374793139868,1.0,6.938160700025037,5
realistic,1,0.3,0.1974749920998408,10,BIQAE,22400,0.1889474349982768,0.008527557101563998,0.043182972238087626,0.0,6.79225719999522,145
realistic,1,0.3,0.1974749920998408,10,BAE,16400,0.20129769661877167,0.0038227045189308806,0.01935791706221804,1.0,51.082038099877536,19
realistic,1,0.3,0.1974749920998408,11,CABIQAE_latentt,15616,0.1960098093762485,0.0014651827235922787,0.007419586186647378,1.0,5.398744900012389,5
realistic,1,0.3,0.1974749920998408,11,BIQAE,15616,0.1718589386431541,0.025616053456686688,0.12971796167352442,0.0,4.404655399965122,101
realistic,1,0.3,0.1974749920998408,11,BAE,16912,0.19860753703042106,0.0011325449305802648,0.005735130907146282,1.0,40.793968699872494,25
