profile,scenario_id,objective_ry_offset,a_true,rep,budget,algorithm,estimate,abs_error,nrmse,k_max_budget,time_to_budget_seconds
realistic,1,0.3,0.1974749920998408,1,128,CABIQAE_latentt,0.19671406456174936,0.0007609275380914271,0.0038532855730244162,1,0.05088848546607593
realistic,1,0.3,0.1974749920998408,1,128,BIQAE,0.21549252221368145,0.018017530113840663,0.09123955353663837,1,0.0393058006244246
realistic,1,0.3,0.1974749920998408,1,128,BAE,0.31294169936927,0.11546670726942923,0.5847155938158021,1,0.35698392526295436
realistic,1,0.3,0.1974749920998408,1,253,CABIQAE_latentt,0.19671406456174936,0.0007609275380914271,0.0038532855730244162,1,0.1005842720540407
realistic,1,0.3,0.1974749920998408,1,253,BIQAE,0.21549252221368145,0.018017530113840663,0.09123955353663837,1,0.07769037154671424
realistic,1,0.3,0.1974749920998408,1,253,BAE,0.31294169936927,0.11546670726942923,0.5847155938158021,1,0.7056010397775583
realistic,1,0.3,0.1974749920998408,1,499,CABIQAE_latentt,0.18224520463955643,0.01522978746028436,0.07712261334125983,1,0.19838558005915538
realistic,1,0.3,0.1974749920998408,1,499,BIQAE,0.21549252221368145,0.018017530113840663,0.09123955353663837,1,0.15323120712178023
realistic,1,0.3,0.1974749920998408,1,499,BAE,0.31294169936927,0.11546670726942923,0.5847155938158021,1,1.3916795211422988
realistic,1,0.3,0.1974749920998408,1,986,CABIQAE_latentt,0.1890862850602928,0.008388707039547999,0.042479844917815104,5,0.3920003646058662
realistic,1,0.3,0.1974749920998408,1,986,BIQAE,0.20637490630026856,0.008899914200427766,0.04506856339524797,5,0.30277749543502064
realistic,1,0.3,0.1974749920998408,1,986,BAE,0.21584569717220337,0.018370705072362575,0.09302800763285807,7,2.7498917992911958
realistic,1,0.3,0.1974749920998408,1,1947,CABIQAE_latentt,0.19532092210248625,0.0021540699973545407,0.010908064734928415,5,0.7740615718941394
realistic,1,0.3,0.1974749920998408,1,1947,BIQAE,0.20637490630026856,0.008899914200427766,0.04506856339524797,5,0.5978780766855833
realistic,1,0.3,0.1974749920998408,1,1947,BAE,0.1839824659376853,0.013492526162155488,0.06832523966039124,7,5.43006017567947
realistic,1,0.3,0.1974749920998408,1,3846,CABIQAE_latentt,0.20105796482749363,0.0035829727276528445,0.018143931490025533,5,1.5290399617385002
realistic,1,0.3,0.1974749920998408,1,3846,BIQAE,0.20637490630026856,0.008899914200427766,0.04506856339524797,5,1.1810164781370078
realistic,1,0.3,0.1974749920998408,1,3846,BAE,0.19684388577345152,0.0006311063263892691,0.003195879739902407,9,10.726251379385332
realistic,1,0.3,0.1974749920998408,1,7595,CABIQAE_latentt,0.20269353001332263,0.005218537913481841,0.02642632293836688,5,3.01951599308474
realistic,1,0.3,0.1974749920998408,1,7595,BIQAE,0.20514171919719426,0.007666727097353471,0.03882378733544789,25,2.3322465292383185
realistic,1,0.3,0.1974749920998408,1,7595,BAE,0.1965402650628154,0.0009347270370253791,0.004733394477376625,25,21.181975877907334
realistic,1,0.3,0.1974749920998408,1,15000,CABIQAE_latentt,0.20145112170556376,0.003976129605722967,0.020134851321896432,5,5.9634943905557725
realistic,1,0.3,0.1974749920998408,1,15000,BIQAE,0.20514171919719426,0.007666727097353471,0.03882378733544789,25,4.606148510674757
realistic,1,0.3,0.1974749920998408,1,15000,BAE,0.19614807852419694,0.001326913575643851,0.006719400575911813,25,41.83405374175247
realistic,1,0.3,0.1974749920998408,2,128,CABIQAE_latentt,0.16477926200726503,0.03269573009257576,0.1655689651884894,1,0.04526091229598053
realistic,1,0.3,0.1974749920998408,2,128,BIQAE,0.24544572385302077,0.04797073175317998,0.2429205401812428,1,0.033613988590558
