algorithm,n,median_final_mnae,median_runtime_seconds
BAE,200,0.00667624123492345,40.065230400068685
BIQAE,200,0.054192881048060346,4.751475400058553
CABIQAE,200,0.0045720187865208005,8.126827499945648
